#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   0.40000
    0.538008E+00    0.103153E+02    0.484716E-01   -0.459808E+01    0.882776E+01
    0.281337E+01    0.103106E+02    0.484937E-01   -0.459273E+01    0.882240E+01
    0.682055E+01    0.102874E+02    0.486034E-01   -0.456694E+01    0.879662E+01
    0.124157E+02    0.102220E+02    0.489142E-01   -0.449546E+01    0.872513E+01
    0.193966E+02    0.100886E+02    0.495609E-01   -0.434920E+01    0.857888E+01
    0.275110E+02    0.986233E+01    0.506980E-01   -0.410255E+01    0.833223E+01
    0.364658E+02    0.952522E+01    0.524922E-01   -0.374202E+01    0.797169E+01
    0.459371E+02    0.906916E+01    0.551319E-01   -0.326864E+01    0.749832E+01
    0.555828E+02    0.849966E+01    0.588259E-01   -0.269858E+01    0.692825E+01
    0.650541E+02    0.783546E+01    0.638124E-01   -0.205820E+01    0.628788E+01
    0.740088E+02    0.710936E+01    0.703298E-01   -0.138507E+01    0.561475E+01
    0.821233E+02    0.637117E+01    0.784785E-01   -0.725076E+00    0.495479E+01
    0.891042E+02    0.567371E+01    0.881257E-01   -0.120852E+00    0.435069E+01
    0.946993E+02    0.507217E+01    0.985772E-01    0.387482E+00    0.384271E+01
    0.987065E+02    0.461812E+01    0.108269E+00    0.764609E+00    0.346626E+01
    0.100982E+03    0.435183E+01    0.114894E+00    0.983471E+00    0.324814E+01
    0.101592E+03    0.427940E+01    0.116839E+00    0.104274E+01    0.318915E+01
    0.101899E+03    0.424279E+01    0.117847E+00    0.107263E+01    0.315940E+01
    0.102446E+03    0.417728E+01    0.119695E+00    0.112605E+01    0.310627E+01
    0.103224E+03    0.408378E+01    0.122436E+00    0.120239E+01    0.303041E+01
    0.104220E+03    0.396307E+01    0.126165E+00    0.130073E+01    0.293282E+01
    0.105418E+03    0.381627E+01    0.131018E+00    0.141989E+01    0.281479E+01
    0.106798E+03    0.364590E+01    0.137141E+00    0.155838E+01    0.267803E+01
    0.108339E+03    0.345354E+01    0.144779E+00    0.171443E+01    0.252461E+01
    0.110013E+03    0.324246E+01    0.154204E+00    0.188598E+01    0.235711E+01
    0.111794E+03    0.301622E+01    0.165770E+00    0.207065E+01    0.217867E+01
    0.113653E+03    0.277872E+01    0.179939E+00    0.226577E+01    0.199308E+01
    0.115559E+03    0.253653E+01    0.197120E+00    0.246845E+01    0.180487E+01
    0.117481E+03    0.229813E+01    0.217569E+00    0.267556E+01    0.161930E+01
    0.119387E+03    0.206845E+01    0.241727E+00    0.288379E+01    0.144227E+01
    0.121245E+03    0.184812E+01    0.270545E+00    0.308968E+01    0.127998E+01
    0.123027E+03    0.164489E+01    0.303972E+00    0.328966E+01    0.113821E+01
    0.124701E+03    0.150983E+01    0.331162E+00    0.348009E+01    0.102146E+01
    0.126241E+03    0.142139E+01    0.351769E+00    0.365740E+01    0.932019E+00
    0.127622E+03    0.123997E+01    0.403234E+00    0.381809E+01    0.869370E+00
    0.128820E+03    0.139576E+01    0.358229E+00    0.395893E+01    0.830312E+00
    0.129816E+03    0.107102E+01    0.466845E+00    0.407701E+01    0.809687E+00
    0.130594E+03    0.219358E+01    0.227938E+00    0.416985E+01    0.801491E+00
    0.131141E+03    0.216507E+00    0.230939E+01    0.423544E+01    0.800014E+00
    0.131448E+03    0.162813E+01    0.307101E+00    0.427237E+01    0.800760E+00
    0.131592E+03    0.191121E+01    0.261614E+00    0.428978E+01    0.801505E+00
    0.131899E+03    0.152267E+01    0.328371E+00    0.432685E+01    0.803931E+00
    0.132446E+03    0.112181E+01    0.445708E+00    0.439312E+01    0.811100E+00
    0.133224E+03    0.109966E+01    0.454687E+00    0.448790E+01    0.827593E+00
    0.134220E+03    0.128237E+01    0.389903E+00    0.461015E+01    0.859429E+00
    0.135418E+03    0.129414E+01    0.386358E+00    0.475853E+01    0.913278E+00
    0.136798E+03    0.139885E+01    0.357436E+00    0.493134E+01    0.995336E+00
    0.138339E+03    0.158105E+01    0.316245E+00    0.512656E+01    0.111007E+01
    0.140013E+03    0.177634E+01    0.281478E+00    0.534182E+01    0.125921E+01
    0.141794E+03    0.200197E+01    0.249754E+00    0.557440E+01    0.144133E+01
    0.143653E+03    0.226411E+01    0.220837E+00    0.582124E+01    0.165224E+01
    0.145559E+03    0.255401E+01    0.195770E+00    0.607889E+01    0.188591E+01
    0.147481E+03    0.286084E+01    0.174774E+00    0.634357E+01    0.213543E+01
    0.149387E+03    0.317522E+01    0.157469E+00    0.661107E+01    0.239379E+01
    0.151245E+03    0.348897E+01    0.143309E+00    0.687689E+01    0.265430E+01
    0.153027E+03    0.379469E+01    0.131763E+00    0.713633E+01    0.291072E+01
    0.154701E+03    0.408575E+01    0.122376E+00    0.738452E+01    0.315722E+01
    0.156241E+03    0.435620E+01    0.114779E+00    0.761664E+01    0.338839E+01
    0.157622E+03    0.460077E+01    0.108677E+00    0.782792E+01    0.359914E+01
    0.158820E+03    0.481453E+01    0.103852E+00    0.801385E+01    0.378476E+01
    0.159816E+03    0.499306E+01    0.100139E+00    0.817028E+01    0.394103E+01
    0.160594E+03    0.513336E+01    0.974021E-01    0.829362E+01    0.406426E+01
    0.161141E+03    0.523200E+01    0.955657E-01    0.838095E+01    0.415153E+01
    0.161448E+03    0.528765E+01    0.945600E-01    0.843018E+01    0.420074E+01
    0.161777E+03    0.534745E+01    0.935025E-01    0.848317E+01    0.425371E+01
    0.162872E+03    0.554669E+01    0.901438E-01    0.866082E+01    0.443128E+01
