#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   1.00000
    0.638873E+00    0.136584E+02    0.366075E-01   -0.654878E+01    0.119402E+02
    0.334081E+01    0.136524E+02    0.366237E-01   -0.654206E+01    0.119335E+02
    0.809926E+01    0.136220E+02    0.367054E-01   -0.650662E+01    0.118981E+02
    0.147433E+02    0.135363E+02    0.369377E-01   -0.640684E+01    0.117983E+02
    0.230330E+02    0.133581E+02    0.374304E-01   -0.620050E+01    0.115920E+02
    0.326688E+02    0.130514E+02    0.383100E-01   -0.584952E+01    0.112411E+02
    0.433023E+02    0.125880E+02    0.397203E-01   -0.532988E+01    0.107217E+02
    0.545493E+02    0.119540E+02    0.418269E-01   -0.463864E+01    0.100308E+02
    0.660033E+02    0.111569E+02    0.448152E-01   -0.380289E+01    0.919607E+01
    0.772504E+02    0.102276E+02    0.488873E-01   -0.287767E+01    0.827322E+01
    0.878839E+02    0.921756E+01    0.542443E-01   -0.192318E+01    0.732423E+01
    0.975196E+02    0.819524E+01    0.610110E-01   -0.998026E+00    0.641083E+01
    0.105809E+03    0.724132E+01    0.690482E-01   -0.157186E+00    0.559187E+01
    0.112453E+03    0.643625E+01    0.776850E-01    0.548468E+00    0.491982E+01
    0.117212E+03    0.584516E+01    0.855408E-01    0.107212E+01    0.443573E+01
    0.119914E+03    0.550751E+01    0.907851E-01    0.137673E+01    0.416218E+01
    0.120625E+03    0.541883E+01    0.922708E-01    0.145781E+01    0.409057E+01
    0.120932E+03    0.538067E+01    0.929253E-01    0.149292E+01    0.405974E+01
    0.121479E+03    0.531252E+01    0.941173E-01    0.155567E+01    0.400490E+01
    0.122256E+03    0.521561E+01    0.958661E-01    0.164534E+01    0.392715E+01
    0.123253E+03    0.509233E+01    0.981869E-01    0.176087E+01    0.382813E+01
    0.124451E+03    0.494439E+01    0.101125E+00    0.190087E+01    0.370996E+01
    0.125831E+03    0.477572E+01    0.104696E+00    0.206362E+01    0.357534E+01
    0.127371E+03    0.458960E+01    0.108942E+00    0.224704E+01    0.342750E+01
    0.129046E+03    0.439076E+01    0.113875E+00    0.244875E+01    0.327016E+01
    0.130827E+03    0.418491E+01    0.119477E+00    0.266603E+01    0.310749E+01
    0.132686E+03    0.397736E+01    0.125711E+00    0.289582E+01    0.294401E+01
    0.134592E+03    0.377402E+01    0.132485E+00    0.313476E+01    0.278439E+01
    0.136514E+03    0.358085E+01    0.139632E+00    0.337920E+01    0.263322E+01
    0.138419E+03    0.340330E+01    0.146916E+00    0.362516E+01    0.249472E+01
    0.140278E+03    0.324547E+01    0.154061E+00    0.386844E+01    0.237236E+01
    0.142060E+03    0.310947E+01    0.160799E+00    0.410473E+01    0.226856E+01
    0.143734E+03    0.299635E+01    0.166870E+00    0.432968E+01    0.218441E+01
    0.145274E+03    0.291336E+01    0.171623E+00    0.453909E+01    0.211960E+01
    0.146655E+03    0.287330E+01    0.174016E+00    0.472893E+01    0.207259E+01
    0.147853E+03    0.282263E+01    0.177140E+00    0.489539E+01    0.204082E+01
    0.148849E+03    0.278970E+01    0.179231E+00    0.503501E+01    0.202111E+01
    0.149627E+03    0.278362E+01    0.179622E+00    0.514484E+01    0.201011E+01
    0.150174E+03    0.285480E+01    0.175143E+00    0.522247E+01    0.200475E+01
    0.150480E+03    0.282234E+01    0.177158E+00    0.526619E+01    0.200261E+01
    0.150625E+03    0.278144E+01    0.179763E+00    0.528680E+01    0.200182E+01
    0.150932E+03    0.266483E+01    0.187629E+00    0.533069E+01    0.200061E+01
    0.151479E+03    0.251901E+01    0.198490E+00    0.540917E+01    0.200005E+01
    0.152256E+03    0.270359E+01    0.184939E+00    0.552145E+01    0.200282E+01
    0.153253E+03    0.275458E+01    0.181516E+00    0.566631E+01    0.201259E+01
    0.154451E+03    0.280547E+01    0.178223E+00    0.584219E+01    0.203377E+01
    0.155831E+03    0.283463E+01    0.176390E+00    0.604705E+01    0.207116E+01
    0.157371E+03    0.290318E+01    0.172225E+00    0.627848E+01    0.212949E+01
    0.159046E+03    0.300642E+01    0.166310E+00    0.653356E+01    0.221287E+01
    0.160827E+03    0.314291E+01    0.159088E+00    0.680899E+01    0.232426E+01
    0.162686E+03    0.331261E+01    0.150938E+00    0.710104E+01    0.246500E+01
    0.164592E+03    0.351338E+01    0.142313E+00    0.740552E+01    0.263447E+01
    0.166514E+03    0.374192E+01    0.133621E+00    0.771787E+01    0.283000E+01
    0.168419E+03    0.399334E+01    0.125208E+00    0.803305E+01    0.304699E+01
    0.170278E+03    0.425985E+01    0.117375E+00    0.834571E+01    0.327924E+01
    0.172060E+03    0.453284E+01    0.110306E+00    0.865020E+01    0.351939E+01
    0.173734E+03    0.480350E+01    0.104091E+00    0.894077E+01    0.375952E+01
    0.175274E+03    0.506317E+01    0.987523E-01    0.921179E+01    0.399170E+01
    0.176655E+03    0.530380E+01    0.942721E-01    0.945781E+01    0.420830E+01
    0.177853E+03    0.551810E+01    0.906109E-01    0.967373E+01    0.440235E+01
    0.178849E+03    0.569997E+01    0.877198E-01    0.985496E+01    0.456770E+01
    0.179627E+03    0.584401E+01    0.855577E-01    0.999757E+01    0.469921E+01
    0.180174E+03    0.594633E+01    0.840855E-01    0.100984E+02    0.479287E+01
    0.180480E+03    0.600400E+01    0.832778E-01    0.101552E+02    0.484585E+01
    0.180848E+03    0.607360E+01    0.823235E-01    0.102234E+02    0.490972E+01
    0.182107E+03    0.631437E+01    0.791844E-01    0.104586E+02    0.513156E+01
    0.184362E+03    0.675521E+01    0.740170E-01    0.108864E+02    0.554037E+01
    0.187598E+03    0.740624E+01    0.675106E-01    0.115145E+02    0.615005E+01
    0.191793E+03    0.827730E+01    0.604062E-01    0.123541E+02    0.697600E+01
    0.196922E+03    0.937631E+01    0.533259E-01    0.134191E+02    0.803307E+01
    0.202956E+03    0.107106E+02    0.466828E-01    0.147244E+02    0.933474E+01
