
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    6.596431E-02    1.000000E-04    1.250000E+00    1.432788E+00
    6.596431E-02    1.001000E-01    1.250000E+00    1.432787E+00
    6.596431E-02    2.001000E-01    1.250000E+00    1.431756E+00
    6.596431E-02    3.001000E-01    1.250000E+00    1.418771E+00
    6.596431E-02    4.001000E-01    1.250000E+00    1.375686E+00
    6.596431E-02    5.001000E-01    1.250000E+00    1.287548E+00
    6.596431E-02    6.001000E-01    1.250000E+00    1.137486E+00
    6.596431E-02    7.001000E-01    1.250000E+00    8.911613E-01
    6.596431E-02    8.001000E-01    1.250000E+00    3.952502E-01
    6.596431E-02    9.001000E-01    1.250000E+00    2.819079E-06
    6.596431E-02    1.000100E+00    1.250000E+00    1.301929E-06
    6.596431E-02    1.100100E+00    1.250000E+00    8.770358E-07
    6.596431E-02    1.200100E+00    1.250000E+00    6.735910E-07
    6.596431E-02    1.300100E+00    1.250000E+00    5.516609E-07
    6.596431E-02    1.400100E+00    1.250000E+00    4.738185E-07
    6.596431E-02    1.500100E+00    1.250000E+00    4.170976E-07
