
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    7.295125E-03    1.000000E-01    6.000000E-01    2.260675E+00
    7.295125E-03    2.000000E-01    6.000000E-01    2.260655E+00
    7.295125E-03    3.000000E-01    6.000000E-01    2.259592E+00
    7.295125E-03    4.000000E-01    6.000000E-01    2.252279E+00
    7.295125E-03    5.000000E-01    6.000000E-01    2.230580E+00
    7.295125E-03    6.000000E-01    6.000000E-01    2.186947E+00
    7.295125E-03    7.000000E-01    6.000000E-01    2.114826E+00
    7.295125E-03    8.000000E-01    6.000000E-01    2.007422E+00
    7.295125E-03    9.000000E-01    6.000000E-01    1.855789E+00
    7.295125E-03    1.000000E+00    6.000000E-01    1.645409E+00
    7.295125E-03    1.100000E+00    6.000000E-01    1.346856E+00
    7.295125E-03    1.200000E+00    6.000000E-01    8.712757E-01
    7.295125E-03    1.300000E+00    6.000000E-01    7.929831E-06
    7.295125E-03    1.400000E+00    6.000000E-01    2.165301E-06
    7.295125E-03    1.500000E+00    6.000000E-01    1.296545E-06
