#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   0.80000
    0.538008E+00    0.102554E+02    0.487549E-01   -0.464607E+01    0.882269E+01
    0.281337E+01    0.102510E+02    0.487756E-01   -0.464172E+01    0.881833E+01
    0.682055E+01    0.102292E+02    0.488799E-01   -0.461841E+01    0.879504E+01
    0.124157E+02    0.101678E+02    0.491748E-01   -0.455249E+01    0.872914E+01
    0.193966E+02    0.100401E+02    0.498004E-01   -0.441495E+01    0.859165E+01
    0.275110E+02    0.982087E+01    0.509120E-01   -0.417799E+01    0.835481E+01
    0.364658E+02    0.949161E+01    0.526781E-01   -0.382624E+01    0.800329E+01
    0.459371E+02    0.904270E+01    0.552932E-01   -0.335827E+01    0.753582E+01
    0.555828E+02    0.848125E+01    0.589536E-01   -0.278976E+01    0.696839E+01
    0.650541E+02    0.782886E+01    0.638663E-01   -0.215044E+01    0.633142E+01
    0.740088E+02    0.712168E+01    0.702082E-01   -0.147800E+01    0.566398E+01
    0.821233E+02    0.640649E+01    0.780458E-01   -0.814042E+00    0.500991E+01
    0.891042E+02    0.573912E+01    0.871214E-01   -0.202386E+00    0.441563E+01
    0.946993E+02    0.517494E+01    0.966195E-01    0.313391E+00    0.392522E+01
    0.987065E+02    0.475966E+01    0.105050E+00    0.696239E+00    0.357109E+01
    0.100982E+03    0.452167E+01    0.110579E+00    0.918492E+00    0.337078E+01
    0.101592E+03    0.445807E+01    0.112156E+00    0.978686E+00    0.331732E+01
    0.101899E+03    0.442600E+01    0.112969E+00    0.100905E+01    0.329049E+01
    0.102446E+03    0.436878E+01    0.114448E+00    0.106332E+01    0.324279E+01
    0.103224E+03    0.428738E+01    0.116621E+00    0.114087E+01    0.317519E+01
    0.104220E+03    0.418378E+01    0.119509E+00    0.124079E+01    0.308912E+01
    0.105418E+03    0.405936E+01    0.123172E+00    0.136187E+01    0.298649E+01
    0.106798E+03    0.391730E+01    0.127639E+00    0.150263E+01    0.286972E+01
    0.108339E+03    0.376028E+01    0.132969E+00    0.166127E+01    0.274172E+01
    0.110013E+03    0.359299E+01    0.139160E+00    0.183569E+01    0.260588E+01
    0.111794E+03    0.341912E+01    0.146236E+00    0.202346E+01    0.246606E+01
    0.113653E+03    0.324406E+01    0.154128E+00    0.222186E+01    0.232645E+01
    0.115559E+03    0.307396E+01    0.162657E+00    0.242790E+01    0.219133E+01
    0.117481E+03    0.291398E+01    0.171587E+00    0.263838E+01    0.206486E+01
    0.119387E+03    0.276703E+01    0.180699E+00    0.284996E+01    0.195075E+01
    0.121245E+03    0.263604E+01    0.189678E+00    0.305915E+01    0.185194E+01
    0.123027E+03    0.252873E+01    0.197728E+00    0.326235E+01    0.177036E+01
    0.124701E+03    0.245675E+01    0.203521E+00    0.345589E+01    0.170670E+01
    0.126241E+03    0.240010E+01    0.208325E+00    0.363610E+01    0.166034E+01
    0.127622E+03    0.233326E+01    0.214292E+00    0.379945E+01    0.162948E+01
    0.128820E+03    0.238865E+01    0.209323E+00    0.394263E+01    0.161136E+01
    0.129816E+03    0.228456E+01    0.218861E+00    0.406268E+01    0.160269E+01
    0.130594E+03    0.358909E+01    0.139311E+00    0.415707E+01    0.160008E+01
    0.131141E+03    0.198026E+01    0.252493E+00    0.422376E+01    0.160047E+01
    0.131448E+03    0.219692E+01    0.227591E+00    0.426132E+01    0.160150E+01
    0.131592E+03    0.225206E+01    0.222019E+00    0.427902E+01    0.160220E+01
    0.131899E+03    0.229791E+01    0.217589E+00    0.431671E+01    0.160410E+01
    0.132446E+03    0.225060E+01    0.222163E+00    0.438409E+01    0.160898E+01
    0.133224E+03    0.225064E+01    0.222159E+00    0.448047E+01    0.161922E+01
    0.134220E+03    0.232305E+01    0.215235E+00    0.460479E+01    0.163806E+01
    0.135418E+03    0.234125E+01    0.213562E+00    0.475568E+01    0.166932E+01
    0.136798E+03    0.239957E+01    0.208371E+00    0.493144E+01    0.171706E+01
    0.138339E+03    0.249682E+01    0.200254E+00    0.513000E+01    0.178513E+01
    0.140013E+03    0.260966E+01    0.191596E+00    0.534893E+01    0.187670E+01
    0.141794E+03    0.274965E+01    0.181842E+00    0.558546E+01    0.199375E+01
    0.143653E+03    0.292105E+01    0.171171E+00    0.583643E+01    0.213676E+01
    0.145559E+03    0.312157E+01    0.160176E+00    0.609831E+01    0.230445E+01
    0.147481E+03    0.334656E+01    0.149407E+00    0.636723E+01    0.249381E+01
    0.149387E+03    0.358988E+01    0.139280E+00    0.663890E+01    0.270027E+01
    0.151245E+03    0.384434E+01    0.130061E+00    0.690874E+01    0.291809E+01
    0.153027E+03    0.410210E+01    0.121889E+00    0.717197E+01    0.314075E+01
    0.154701E+03    0.435525E+01    0.114804E+00    0.742368E+01    0.336144E+01
    0.156241E+03    0.459628E+01    0.108784E+00    0.765899E+01    0.357343E+01
    0.157622E+03    0.481832E+01    0.103771E+00    0.787310E+01    0.377027E+01
    0.158820E+03    0.501542E+01    0.996925E-01    0.806147E+01    0.394605E+01
    0.159816E+03    0.518187E+01    0.964902E-01    0.821991E+01    0.409552E+01
    0.160594E+03    0.531342E+01    0.941013E-01    0.834481E+01    0.421423E+01
    0.161141E+03    0.540677E+01    0.924767E-01    0.843322E+01    0.429870E+01
    0.161448E+03    0.545950E+01    0.915835E-01    0.848306E+01    0.434647E+01
    0.161777E+03    0.551626E+01    0.906411E-01    0.853671E+01    0.439799E+01
    0.162872E+03    0.570637E+01    0.876213E-01    0.871648E+01    0.457140E+01
    0.164833E+03    0.605275E+01    0.826071E-01    0.904367E+01    0.488957E+01
    0.167648E+03    0.656069E+01    0.762115E-01    0.952475E+01    0.536180E+01
    0.171298E+03    0.723564E+01    0.691024E-01    0.101690E+02    0.599937E+01
    0.175760E+03    0.808391E+01    0.618513E-01    0.109892E+02    0.681559E+01
    0.181008E+03    0.911169E+01    0.548746E-01    0.120008E+02    0.782536E+01
    0.187017E+03    0.103250E+02    0.484264E-01    0.132203E+02    0.904420E+01
    0.193760E+03    0.117314E+02    0.426205E-01    0.146625E+02    0.104862E+02
    0.201213E+03    0.133425E+02    0.374741E-01    0.163358E+02    0.121595E+02
    0.209355E+03    0.151705E+02    0.329586E-01    0.182394E+02    0.140631E+02
    0.218167E+03    0.172301E+02    0.290189E-01    0.203786E+02    0.162023E+02
    0.227639E+03    0.195379E+02    0.255912E-01    0.227762E+02    0.185999E+02
    0.237763E+03    0.221119E+02    0.226122E-01    0.254625E+02    0.212862E+02
    0.248543E+03    0.249751E+02    0.200199E-01    0.284503E+02    0.242740E+02
    0.259986E+03    0.281524E+02    0.177605E-01    0.317344E+02    0.275581E+02
    0.272113E+03    0.316742E+02    0.157857E-01    0.353479E+02    0.311715E+02
    0.284953E+03    0.355766E+02    0.140542E-01    0.393502E+02    0.351738E+02
    0.298547E+03    0.399033E+02    0.125303E-01    0.437539E+02    0.395776E+02
    0.312953E+03    0.447064E+02    0.111841E-01    0.485907E+02    0.444143E+02
    0.328244E+03    0.500495E+02    0.999010E-02    0.539552E+02    0.497789E+02
    0.344512E+03    0.560101E+02    0.892696E-02    0.599021E+02    0.557257E+02
    0.361878E+03    0.626850E+02    0.797639E-02    0.665505E+02    0.623742E+02
    0.380493E+03    0.701965E+02    0.712286E-02    0.740165E+02    0.698402E+02
    0.400551E+03    0.787017E+02    0.635310E-02    0.824669E+02    0.782906E+02
    0.422302E+03    0.884060E+02    0.565572E-02    0.921073E+02    0.879310E+02
    0.446073E+03    0.995838E+02    0.502090E-02    0.103209E+03    0.990328E+02
    0.472304E+03    0.112612E+03    0.444004E-02    0.116150E+03    0.111974E+03
    0.501595E+03    0.128020E+03    0.390565E-02    0.131458E+03    0.127282E+03
    0.534803E+03    0.146587E+03    0.341094E-02    0.149909E+03    0.145732E+03
    0.573199E+03    0.169521E+03    0.294950E-02    0.172701E+03    0.168525E+03
    0.618790E+03    0.198790E+03    0.251522E-02    0.201822E+03    0.197646E+03
    0.675015E+03    0.237922E+03    0.210153E-02    0.240813E+03    0.236637E+03
    0.748546E+03    0.294078E+03    0.170023E-02    0.296807E+03    0.292631E+03
    0.855221E+03    0.385267E+03    0.129780E-02    0.387858E+03    0.383682E+03
    0.105216E+04    0.584097E+03    0.856022E-03    0.587545E+03    0.583369E+03
