
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    5.836100E-02    1.000000E-01    1.200000E+00    6.072889E-01
    5.836100E-02    2.000000E-01    1.200000E+00    5.592797E-01
    5.836100E-02    3.000000E-01    1.200000E+00    3.628636E-01
    5.836100E-02    4.000000E-01    1.200000E+00    2.278040E-06
    5.836100E-02    5.000000E-01    1.200000E+00    8.668658E-07
    5.836100E-02    6.000000E-01    1.200000E+00    5.619720E-07
    5.836100E-02    7.000000E-01    1.200000E+00    4.324000E-07
    5.836100E-02    8.000000E-01    1.200000E+00    3.647292E-07
    5.836100E-02    9.000000E-01    1.200000E+00    3.084647E-07
    5.836100E-02    1.000000E+00    1.200000E+00    2.785189E-07
    5.836100E-02    1.100000E+00    1.200000E+00    2.416981E-07
