#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.06000 temp=   0.40000
    0.373482E+03    0.487294E+02    0.102607E-01    0.561448E+02    0.451428E+02
    0.390953E+03    0.565519E+02    0.884144E-02    0.639362E+02    0.529342E+02
    0.409630E+03    0.652943E+02    0.765764E-02    0.726174E+02    0.616153E+02
    0.429514E+03    0.750277E+02    0.666420E-02    0.822331E+02    0.712310E+02
    0.450623E+03    0.858355E+02    0.582510E-02    0.928564E+02    0.818543E+02
    0.472992E+03    0.978149E+02    0.511169E-02    0.104590E+03    0.935884E+02
    0.496677E+03    0.111081E+03    0.450120E-02    0.117557E+03    0.106555E+03
    0.521755E+03    0.125773E+03    0.397543E-02    0.131896E+03    0.120894E+03
    0.548329E+03    0.142053E+03    0.351980E-02    0.147779E+03    0.136777E+03
    0.576534E+03    0.160126E+03    0.312253E-02    0.165412E+03    0.154410E+03
    0.606544E+03    0.180236E+03    0.277413E-02    0.185040E+03    0.174038E+03
    0.638578E+03    0.202678E+03    0.246696E-02    0.206992E+03    0.195990E+03
    0.672916E+03    0.227813E+03    0.219479E-02    0.231468E+03    0.220465E+03
    0.709915E+03    0.256084E+03    0.195249E-02    0.259110E+03    0.248107E+03
    0.750038E+03    0.288051E+03    0.173580E-02    0.290494E+03    0.279492E+03
    0.793887E+03    0.324453E+03    0.154106E-02    0.326697E+03    0.315695E+03
    0.842273E+03    0.366392E+03    0.136466E-02    0.369114E+03    0.358112E+03
    0.896305E+03    0.415582E+03    0.120313E-02    0.419792E+03    0.408790E+03
    0.957562E+03    0.474752E+03    0.105318E-02    0.480849E+03    0.469847E+03
    0.102839E+04    0.548343E+03    0.911838E-03    0.557934E+03    0.546932E+03
    0.111249E+04    0.643584E+03    0.776899E-03    0.656934E+03    0.645932E+03
    0.121620E+04    0.773006E+03    0.646825E-03    0.787946E+03    0.776943E+03
    0.135184E+04    0.960329E+03    0.520655E-03    0.973819E+03    0.962817E+03
    0.154862E+04    0.126511E+04    0.395224E-03    0.127660E+04    0.126560E+04
    0.191190E+04    0.193422E+04    0.258502E-03    0.194523E+04    0.193422E+04
