#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.40000
    0.245674E+03    0.212047E+02    0.235797E-01    0.253298E+02    0.198707E+02
    0.256562E+03    0.242150E+02    0.206483E-01    0.284562E+02    0.229972E+02
    0.268201E+03    0.275756E+02    0.181320E-01    0.319356E+02    0.264766E+02
    0.280593E+03    0.313161E+02    0.159662E-01    0.357997E+02    0.303407E+02
    0.293748E+03    0.354707E+02    0.140961E-01    0.400895E+02    0.346304E+02
    0.307689E+03    0.400795E+02    0.124752E-01    0.447939E+02    0.393349E+02
    0.322450E+03    0.451907E+02    0.110642E-01    0.499599E+02    0.445009E+02
    0.338078E+03    0.508619E+02    0.983055E-02    0.556571E+02    0.501981E+02
    0.354639E+03    0.571614E+02    0.874717E-02    0.619466E+02    0.564876E+02
    0.372217E+03    0.641731E+02    0.779142E-02    0.689153E+02    0.634562E+02
    0.390919E+03    0.720007E+02    0.694437E-02    0.766707E+02    0.712117E+02
    0.410883E+03    0.807728E+02    0.619021E-02    0.853389E+02    0.798798E+02
    0.432282E+03    0.906521E+02    0.551559E-02    0.950917E+02    0.896327E+02
    0.455340E+03    0.101848E+03    0.490929E-02    0.106144E+03    0.100685E+03
    0.480345E+03    0.114632E+03    0.436177E-02    0.118771E+03    0.113312E+03
    0.507672E+03    0.129369E+03    0.386492E-02    0.133335E+03    0.127876E+03
    0.537826E+03    0.146553E+03    0.341173E-02    0.150331E+03    0.144872E+03
    0.571499E+03    0.166884E+03    0.299609E-02    0.170450E+03    0.164991E+03
    0.609675E+03    0.191385E+03    0.261254E-02    0.194700E+03    0.189241E+03
    0.653814E+03    0.221630E+03    0.225601E-02    0.224665E+03    0.219206E+03
    0.706225E+03    0.260207E+03    0.192155E-02    0.262938E+03    0.257479E+03
    0.770861E+03    0.311768E+03    0.160376E-02    0.314166E+03    0.308707E+03
    0.855391E+03    0.385853E+03    0.129583E-02    0.387792E+03    0.382333E+03
    0.978023E+03    0.506811E+03    0.986560E-03    0.507949E+03    0.502490E+03
    0.120442E+04    0.772515E+03    0.647236E-03    0.772284E+03    0.766825E+03
