
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.999995E-02    1.000000E-04    1.058019E+00    1.543456E+00
    3.999995E-02    1.001000E-01    1.058019E+00    1.540824E+00
    3.999995E-02    2.001000E-01    1.058019E+00    1.540203E+00
    3.999995E-02    3.001000E-01    1.058019E+00    1.530682E+00
    3.999995E-02    4.001000E-01    1.058019E+00    1.496177E+00
    3.999995E-02    5.001000E-01    1.058019E+00    1.422864E+00
    3.999995E-02    6.001000E-01    1.058019E+00    1.297205E+00
    3.999995E-02    7.001000E-01    1.058019E+00    1.097178E+00
    3.999995E-02    8.001000E-01    1.058019E+00    7.635319E-01
    3.999995E-02    9.001000E-01    1.058019E+00    1.033370E-05
    3.999995E-02    1.000100E+00    1.058019E+00    1.972366E-06
    3.999995E-02    1.100100E+00    1.058019E+00    1.111552E-06
    3.999995E-02    1.200100E+00    1.058019E+00    7.836690E-07
    3.999995E-02    1.300100E+00    1.058019E+00    6.248060E-07
