#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.02000 temp=   0.90000
    0.719171E+00    0.160489E+02    0.311548E-01   -0.860170E+01    0.148561E+02
    0.376071E+01    0.160414E+02    0.311693E-01   -0.858933E+01    0.148437E+02
    0.911723E+01    0.160026E+02    0.312450E-01   -0.853287E+01    0.147873E+02
    0.165964E+02    0.158931E+02    0.314602E-01   -0.838162E+01    0.146360E+02
    0.259280E+02    0.156690E+02    0.319101E-01   -0.807773E+01    0.143321E+02
    0.367748E+02    0.152845E+02    0.327129E-01   -0.756554E+01    0.138199E+02
    0.487449E+02    0.147026E+02    0.340076E-01   -0.679856E+01    0.130530E+02
    0.614055E+02    0.139083E+02    0.359497E-01   -0.577589E+01    0.120303E+02
    0.742991E+02    0.129129E+02    0.387209E-01   -0.455670E+01    0.108112E+02
    0.869598E+02    0.117537E+02    0.425397E-01   -0.324960E+01    0.950450E+01
    0.989298E+02    0.104940E+02    0.476464E-01   -0.196178E+01    0.821796E+01
    0.109777E+03    0.921597E+01    0.542536E-01   -0.763585E+00    0.702375E+01
    0.119108E+03    0.801443E+01    0.623874E-01    0.299370E+00    0.597099E+01
    0.126587E+03    0.699050E+01    0.715257E-01    0.117728E+01    0.511328E+01
    0.131944E+03    0.623195E+01    0.802317E-01    0.182389E+01    0.449549E+01
    0.134985E+03    0.579558E+01    0.862726E-01    0.219835E+01    0.414656E+01
    0.135777E+03    0.568218E+01    0.879944E-01    0.229667E+01    0.405637E+01
    0.136084E+03    0.563806E+01    0.886830E-01    0.233490E+01    0.402148E+01
    0.136631E+03    0.555942E+01    0.899374E-01    0.240316E+01    0.395945E+01
    0.137408E+03    0.544810E+01    0.917752E-01    0.250058E+01    0.387154E+01
    0.138405E+03    0.530549E+01    0.942421E-01    0.262590E+01    0.375961E+01
    0.139603E+03    0.513496E+01    0.973716E-01    0.277745E+01    0.362611E+01
    0.140983E+03    0.493941E+01    0.101227E+00    0.295323E+01    0.347413E+01
    0.142523E+03    0.472408E+01    0.105841E+00    0.315085E+01    0.330740E+01
    0.144198E+03    0.449395E+01    0.111261E+00    0.336760E+01    0.313023E+01
    0.145979E+03    0.425510E+01    0.117506E+00    0.360043E+01    0.294748E+01
    0.147838E+03    0.401431E+01    0.124554E+00    0.384602E+01    0.276448E+01
    0.149744E+03    0.377876E+01    0.132318E+00    0.410072E+01    0.258675E+01
    0.151665E+03    0.355570E+01    0.140619E+00    0.436065E+01    0.241977E+01
    0.153571E+03    0.335181E+01    0.149173E+00    0.462176E+01    0.226851E+01
    0.155430E+03    0.317271E+01    0.157594E+00    0.487981E+01    0.213702E+01
    0.157212E+03    0.302224E+01    0.165440E+00    0.513043E+01    0.202809E+01
    0.158886E+03    0.290192E+01    0.172300E+00    0.536915E+01    0.194284E+01
    0.160426E+03    0.281120E+01    0.177860E+00    0.559148E+01    0.188066E+01
    0.161806E+03    0.275169E+01    0.181706E+00    0.579304E+01    0.183925E+01
    0.163005E+03    0.272484E+01    0.183497E+00    0.596974E+01    0.181498E+01
    0.164001E+03    0.268589E+01    0.186158E+00    0.611791E+01    0.180345E+01
    0.164779E+03    0.294207E+01    0.169949E+00    0.623441E+01    0.180007E+01
    0.165326E+03    0.265816E+01    0.188100E+00    0.631672E+01    0.180072E+01
    0.165632E+03    0.268016E+01    0.186556E+00    0.636307E+01    0.180219E+01
    0.165777E+03    0.267667E+01    0.186799E+00    0.638491E+01    0.180315E+01
    0.166084E+03    0.266249E+01    0.187794E+00    0.643142E+01    0.180580E+01
    0.166631E+03    0.266421E+01    0.187673E+00    0.651457E+01    0.181252E+01
    0.167408E+03    0.269523E+01    0.185513E+00    0.663348E+01    0.182653E+01
    0.168405E+03    0.271277E+01    0.184313E+00    0.678685E+01    0.185220E+01
    0.169603E+03    0.275982E+01    0.181172E+00    0.697296E+01    0.189462E+01
    0.170983E+03    0.283562E+01    0.176329E+00    0.718970E+01    0.195915E+01
    0.172523E+03    0.294082E+01    0.170020E+00    0.743451E+01    0.205080E+01
    0.174198E+03    0.308196E+01    0.162235E+00    0.770442E+01    0.217349E+01
