#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.04000 temp=   0.20000
    0.947423E+00    0.255221E+02    0.195909E-01   -0.137254E+02    0.228965E+02
    0.495429E+01    0.255081E+02    0.196016E-01   -0.137112E+02    0.228824E+02
    0.120109E+02    0.254405E+02    0.196537E-01   -0.136336E+02    0.228047E+02
    0.218638E+02    0.252538E+02    0.197990E-01   -0.134143E+02    0.225854E+02
    0.341570E+02    0.248700E+02    0.201045E-01   -0.129661E+02    0.221373E+02
    0.484465E+02    0.242093E+02    0.206532E-01   -0.122114E+02    0.213826E+02
    0.642156E+02    0.232064E+02    0.215458E-01   -0.111048E+02    0.202759E+02
    0.808945E+02    0.218337E+02    0.229004E-01   -0.965071E+01    0.188218E+02
    0.978803E+02    0.201058E+02    0.248684E-01   -0.789078E+01    0.170619E+02
    0.114559E+03    0.180816E+02    0.276525E-01   -0.590294E+01    0.150741E+02
    0.130328E+03    0.158655E+02    0.315150E-01   -0.380926E+01    0.129804E+02
    0.144618E+03    0.136000E+02    0.367646E-01   -0.176289E+01    0.109340E+02
    0.156911E+03    0.114528E+02    0.436573E-01    0.996599E-01    0.907146E+01
    0.166764E+03    0.959592E+01    0.521055E-01    0.166531E+01    0.750581E+01
    0.173820E+03    0.819067E+01    0.610451E-01    0.282870E+01    0.634242E+01
    0.177827E+03    0.736339E+01    0.679035E-01    0.350662E+01    0.566449E+01
    0.178847E+03    0.714947E+01    0.699352E-01    0.368122E+01    0.548990E+01
    0.179154E+03    0.708484E+01    0.705732E-01    0.373393E+01    0.543718E+01
    0.179701E+03    0.696945E+01    0.717417E-01    0.382806E+01    0.534306E+01
    0.180479E+03    0.680439E+01    0.734819E-01    0.396239E+01    0.520873E+01
    0.181475E+03    0.659206E+01    0.758488E-01    0.413516E+01    0.503596E+01
    0.182673E+03    0.633498E+01    0.789268E-01    0.434408E+01    0.482704E+01
    0.184053E+03    0.603650E+01    0.828295E-01    0.458634E+01    0.458478E+01
    0.185593E+03    0.570047E+01    0.877121E-01    0.485862E+01    0.431250E+01
    0.187268E+03    0.533125E+01    0.937867E-01    0.515713E+01    0.401399E+01
    0.189049E+03    0.493394E+01    0.101339E+00    0.547755E+01    0.369356E+01
    0.190908E+03    0.451463E+01    0.110751E+00    0.581513E+01    0.335599E+01
