#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.05000 temp=   0.10000
    0.353116E+03    0.433517E+02    0.115336E-01    0.510126E+02    0.400733E+02
    0.369539E+03    0.502191E+02    0.995638E-02    0.578402E+02    0.469009E+02
    0.387094E+03    0.578912E+02    0.863689E-02    0.654661E+02    0.545268E+02
    0.405784E+03    0.664313E+02    0.752658E-02    0.739209E+02    0.629816E+02
    0.425626E+03    0.759130E+02    0.658649E-02    0.832718E+02    0.723325E+02
    0.446652E+03    0.864229E+02    0.578551E-02    0.935988E+02    0.826595E+02
    0.468915E+03    0.980628E+02    0.509877E-02    0.105008E+03    0.940683E+02
    0.492487E+03    0.110956E+03    0.450630E-02    0.117625E+03    0.106685E+03
    0.517465E+03    0.125252E+03    0.399197E-02    0.131601E+03    0.120662E+03
    0.543977E+03    0.141134E+03    0.354273E-02    0.147137E+03    0.136198E+03
    0.572185E+03    0.158832E+03    0.314799E-02    0.164480E+03    0.153541E+03
    0.602296E+03    0.178625E+03    0.279916E-02    0.183927E+03    0.172988E+03
    0.634572E+03    0.200860E+03    0.248930E-02    0.205847E+03    0.194908E+03
    0.669350E+03    0.225962E+03    0.221276E-02    0.230490E+03    0.219551E+03
    0.707063E+03    0.254469E+03    0.196487E-02    0.258541E+03    0.247602E+03
    0.748280E+03    0.287071E+03    0.174173E-02    0.290531E+03    0.279592E+03
    0.793761E+03    0.324701E+03    0.153988E-02    0.327860E+03    0.316921E+03
    0.844549E+03    0.368769E+03    0.135586E-02    0.371649E+03    0.360710E+03
    0.902128E+03    0.421480E+03    0.118630E-02    0.425281E+03    0.414341E+03
    0.968702E+03    0.486498E+03    0.102775E-02    0.491484E+03    0.480544E+03
    0.104775E+04    0.570157E+03    0.876951E-03    0.577737E+03    0.566798E+03
    0.114524E+04    0.683769E+03    0.731241E-03    0.695164E+03    0.684225E+03
    0.127273E+04    0.849255E+03    0.588751E-03    0.862648E+03    0.851709E+03
    0.145770E+04    0.111952E+04    0.446622E-03    0.113172E+04    0.112079E+04
    0.179917E+04    0.171167E+04    0.292113E-03    0.172261E+04    0.171167E+04
