
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    4.221716E-03    1.000000E-01    5.000000E-01    1.807430E+00
    4.221716E-03    2.000000E-01    5.000000E-01    1.805987E+00
    4.221716E-03    3.000000E-01    5.000000E-01    1.801820E+00
    4.221716E-03    4.000000E-01    5.000000E-01    1.782598E+00
    4.221716E-03    5.000000E-01    5.000000E-01    1.736613E+00
    4.221716E-03    6.000000E-01    5.000000E-01    1.653839E+00
    4.221716E-03    7.000000E-01    5.000000E-01    1.522995E+00
    4.221716E-03    8.000000E-01    5.000000E-01    1.325899E+00
    4.221716E-03    9.000000E-01    5.000000E-01    1.021198E+00
    4.221716E-03    1.000000E+00    5.000000E-01    4.097739E-01
    4.221716E-03    1.100000E+00    5.000000E-01    3.044128E-06
