
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    4.221716E-03    1.000000E-01    5.000000E-01    1.817366E+00
    4.221716E-03    2.000000E-01    5.000000E-01    1.817205E+00
    4.221716E-03    3.000000E-01    5.000000E-01    1.813179E+00
    4.221716E-03    4.000000E-01    5.000000E-01    1.794424E+00
    4.221716E-03    5.000000E-01    5.000000E-01    1.749325E+00
    4.221716E-03    6.000000E-01    5.000000E-01    1.667953E+00
    4.221716E-03    7.000000E-01    5.000000E-01    1.539267E+00
    4.221716E-03    8.000000E-01    5.000000E-01    1.345750E+00
    4.221716E-03    9.000000E-01    5.000000E-01    1.048453E+00
    4.221716E-03    1.000000E+00    5.000000E-01    4.772822E-01
    4.221716E-03    1.100000E+00    5.000000E-01    3.318263E-06
    4.221716E-03    1.200000E+00    5.000000E-01    1.493642E-06
    4.221716E-03    1.300000E+00    5.000000E-01    9.854521E-07
    4.221716E-03    1.400000E+00    5.000000E-01    7.379019E-07
    4.221716E-03    1.500000E+00    5.000000E-01    6.157490E-07
    4.221716E-03    1.600000E+00    5.000000E-01    5.095269E-07
