
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    2.462105E-02    1.000000E-01    9.000000E-01    2.340898E+00
    2.462105E-02    2.000000E-01    9.000000E-01    2.335937E+00
    2.462105E-02    3.000000E-01    9.000000E-01    2.335087E+00
    2.462105E-02    4.000000E-01    9.000000E-01    2.328803E+00
    2.462105E-02    5.000000E-01    9.000000E-01    2.309626E+00
    2.462105E-02    6.000000E-01    9.000000E-01    2.270538E+00
    2.462105E-02    7.000000E-01    9.000000E-01    2.205653E+00
    2.462105E-02    8.000000E-01    9.000000E-01    2.109286E+00
    2.462105E-02    9.000000E-01    9.000000E-01    1.974538E+00
    2.462105E-02    1.000000E+00    9.000000E-01    1.791111E+00
    2.462105E-02    1.100000E+00    9.000000E-01    1.540459E+00
    2.462105E-02    1.200000E+00    9.000000E-01    1.179456E+00
    2.462105E-02    1.300000E+00    9.000000E-01    5.107807E-01
    2.462105E-02    1.400000E+00    9.000000E-01    3.834146E-06
