
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    4.495283E-02    1.000000E-01    1.100000E+00    1.728813E+00
    4.495283E-02    2.000000E-01    1.100000E+00    1.728553E+00
    4.495283E-02    3.000000E-01    1.100000E+00    1.723131E+00
    4.495283E-02    4.000000E-01    1.100000E+00    1.700123E+00
    4.495283E-02    5.000000E-01    1.100000E+00    1.647533E+00
    4.495283E-02    6.000000E-01    1.100000E+00    1.555253E+00
    4.495283E-02    7.000000E-01    1.100000E+00    1.411232E+00
    4.495283E-02    8.000000E-01    1.100000E+00    1.194167E+00
    4.495283E-02    9.000000E-01    1.100000E+00    8.477799E-01
    4.495283E-02    1.000000E+00    1.100000E+00    1.696998E-05
    4.495283E-02    1.100000E+00    1.100000E+00    2.206784E-06
    4.495283E-02    1.200000E+00    1.100000E+00    1.242112E-06
    4.495283E-02    1.300000E+00    1.100000E+00    8.899840E-07
    4.495283E-02    1.400000E+00    1.100000E+00    6.565298E-07
