#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03000 temp=   0.00000
    0.302228E+03    0.316098E+02    0.158179E-01    0.372266E+02    0.294639E+02
    0.316029E+03    0.364208E+02    0.137284E-01    0.421419E+02    0.343792E+02
    0.330782E+03    0.418017E+02    0.119612E-01    0.476094E+02    0.398467E+02
    0.346489E+03    0.477995E+02    0.104604E-01    0.536826E+02    0.459198E+02
    0.363164E+03    0.544687E+02    0.917959E-02    0.603855E+02    0.526228E+02
    0.380835E+03    0.618736E+02    0.808099E-02    0.677817E+02    0.600190E+02
    0.399544E+03    0.700895E+02    0.713373E-02    0.759308E+02    0.681681E+02
    0.419354E+03    0.792066E+02    0.631260E-02    0.849188E+02    0.771561E+02
    0.440345E+03    0.893335E+02    0.559700E-02    0.948560E+02    0.870933E+02
    0.462626E+03    0.100603E+03    0.497006E-02    0.105875E+03    0.981120E+02
    0.486331E+03    0.113176E+03    0.441788E-02    0.118146E+03    0.110383E+03
    0.511636E+03    0.127259E+03    0.392900E-02    0.131879E+03    0.124116E+03
    0.538761E+03    0.143107E+03    0.349388E-02    0.147340E+03    0.139577E+03
    0.567988E+03    0.161052E+03    0.310459E-02    0.164881E+03    0.157118E+03
    0.599682E+03    0.181526E+03    0.275443E-02    0.184945E+03    0.177182E+03
    0.634321E+03    0.205106E+03    0.243776E-02    0.208106E+03    0.200343E+03
    0.672542E+03    0.232585E+03    0.214976E-02    0.235096E+03    0.227333E+03
    0.715224E+03    0.265081E+03    0.188621E-02    0.267047E+03    0.259284E+03
    0.763612E+03    0.304244E+03    0.164342E-02    0.305610E+03    0.297847E+03
    0.819561E+03    0.352608E+03    0.141801E-02    0.353313E+03    0.345551E+03
    0.885993E+03    0.414342E+03    0.120673E-02    0.414330E+03    0.406567E+03
    0.967922E+03    0.496949E+03    0.100614E-02    0.496076E+03    0.488314E+03
    0.107507E+04    0.615844E+03    0.811894E-03    0.613699E+03    0.605936E+03
    0.123051E+04    0.810500E+03    0.616903E-03    0.806392E+03    0.798630E+03
    0.151748E+04    0.123951E+04    0.403384E-03    0.123163E+04    0.122387E+04
