
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.377373E-02    1.000000E-01    1.000000E+00    2.232109E+00
    3.377373E-02    2.000000E-01    1.000000E+00    2.232085E+00
    3.377373E-02    3.000000E-01    1.000000E+00    2.230897E+00
    3.377373E-02    4.000000E-01    1.000000E+00    2.223059E+00
    3.377373E-02    5.000000E-01    1.000000E+00    2.200387E+00
    3.377373E-02    6.000000E-01    1.000000E+00    2.155573E+00
    3.377373E-02    7.000000E-01    1.000000E+00    2.082455E+00
    3.377373E-02    8.000000E-01    1.000000E+00    1.974741E+00
    3.377373E-02    9.000000E-01    1.000000E+00    1.824182E+00
    3.377373E-02    1.000000E+00    1.000000E+00    1.617369E+00
    3.377373E-02    1.100000E+00    1.000000E+00    1.327182E+00
    3.377373E-02    1.200000E+00    1.000000E+00    8.732894E-01
    3.377373E-02    1.300000E+00    1.000000E+00    9.110455E-06
    3.377373E-02    1.400000E+00    1.000000E+00    2.252057E-06
