
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.377373E-02    1.000000E-01    1.000000E+00    1.893213E+00
    3.377373E-02    2.000000E-01    1.000000E+00    1.889367E+00
    3.377373E-02    3.000000E-01    1.000000E+00    1.886016E+00
    3.377373E-02    4.000000E-01    1.000000E+00    1.869624E+00
    3.377373E-02    5.000000E-01    1.000000E+00    1.829433E+00
    3.377373E-02    6.000000E-01    1.000000E+00    1.756625E+00
    3.377373E-02    7.000000E-01    1.000000E+00    1.642371E+00
    3.377373E-02    8.000000E-01    1.000000E+00    1.474180E+00
    3.377373E-02    9.000000E-01    1.000000E+00    1.228119E+00
    3.377373E-02    1.000000E+00    1.000000E+00    8.365994E-01
    3.377373E-02    1.100000E+00    1.000000E+00    1.041064E-05
