#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.16000 temp=   0.03000
    0.159733E+01    0.732284E+02    0.682795E-02   -0.428431E+02    0.645269E+02
    0.835280E+01    0.731839E+02    0.683210E-02   -0.428009E+02    0.644847E+02
    0.202500E+02    0.729663E+02    0.685248E-02   -0.425732E+02    0.642570E+02
    0.368617E+02    0.723471E+02    0.691113E-02   -0.419381E+02    0.636220E+02
    0.575878E+02    0.710685E+02    0.703547E-02   -0.406269E+02    0.623108E+02
    0.816794E+02    0.688732E+02    0.725972E-02   -0.384175E+02    0.601014E+02
    0.108266E+03    0.655680E+02    0.762567E-02   -0.351901E+02    0.568740E+02
    0.136386E+03    0.610609E+02    0.818854E-02   -0.308913E+02    0.525752E+02
    0.165023E+03    0.554012E+02    0.902508E-02   -0.256066E+02    0.472905E+02
    0.193144E+03    0.487889E+02    0.102482E-01   -0.195710E+02    0.412549E+02
    0.219730E+03    0.415715E+02    0.120275E-01   -0.131419E+02    0.348258E+02
    0.243821E+03    0.342141E+02    0.146139E-01   -0.667858E+01    0.283624E+02
    0.264548E+03    0.272575E+02    0.183436E-01   -0.653108E+00    0.223370E+02
    0.281159E+03    0.212502E+02    0.235292E-01    0.443995E+01    0.172439E+02
    0.293056E+03    0.167056E+02    0.299301E-01    0.826228E+01    0.134216E+02
    0.299812E+03    0.140327E+02    0.356310E-01    0.105007E+02    0.111831E+02
    0.301481E+03    0.133612E+02    0.374218E-01    0.110621E+02    0.106217E+02
    0.301788E+03    0.132373E+02    0.377720E-01    0.111657E+02    0.105182E+02
    0.302335E+03    0.130163E+02    0.384133E-01    0.113506E+02    0.103333E+02
    0.303113E+03    0.127014E+02    0.393657E-01    0.116141E+02    0.100697E+02
    0.304109E+03    0.122965E+02    0.406619E-01    0.119528E+02    0.973105E+01
    0.305307E+03    0.118069E+02    0.423482E-01    0.123618E+02    0.932211E+01
    0.306688E+03    0.112407E+02    0.444810E-01    0.128351E+02    0.884880E+01
    0.308228E+03    0.106055E+02    0.471453E-01    0.133657E+02    0.831813E+01
    0.309902E+03    0.990988E+01    0.504547E-01    0.139457E+02    0.773812E+01
    0.311684E+03    0.916679E+01    0.545447E-01    0.145662E+02    0.711769E+01
    0.313542E+03    0.838329E+01    0.596425E-01    0.152173E+02    0.646654E+01
    0.315448E+03    0.757654E+01    0.659932E-01    0.158888E+02    0.579509E+01
    0.317370E+03    0.675039E+01    0.740698E-01    0.165696E+02    0.511426E+01
    0.319276E+03    0.593336E+01    0.842692E-01    0.172485E+02    0.443535E+01
    0.321135E+03    0.513159E+01    0.974356E-01    0.179140E+02    0.376984E+01
    0.322916E+03    0.435731E+01    0.114750E+00    0.185548E+02    0.312906E+01
    0.324591E+03    0.362631E+01    0.137881E+00    0.191599E+02    0.252400E+01
    0.326131E+03    0.295354E+01    0.169288E+00    0.197187E+02    0.196513E+01
    0.327511E+03    0.235425E+01    0.212382E+00    0.202217E+02    0.146217E+01
    0.328709E+03    0.184423E+01    0.271116E+00    0.206598E+02    0.102404E+01
    0.329705E+03    0.143942E+01    0.347361E+00    0.210253E+02    0.658586E+00
    0.330483E+03    0.114533E+01    0.436555E+00    0.213114E+02    0.372470E+00
    0.331030E+03    0.920014E+00    0.543470E+00    0.215129E+02    0.172084E+00
    0.331337E+03    0.640328E+00    0.780850E+00    0.216262E+02    0.774361E-01
    0.331481E+03    0.103864E+00    0.481397E+01    0.216795E+02    0.601055E-01
    0.331788E+03    0.174759E+01    0.286109E+00    0.217929E+02    0.114964E+00
    0.332335E+03    0.133504E+01    0.374520E+00    0.219953E+02    0.311424E+00
    0.333113E+03    0.147655E+01    0.338626E+00    0.222837E+02    0.599866E+00
    0.334109E+03    0.182313E+01    0.274254E+00    0.226542E+02    0.970314E+00
    0.335307E+03    0.231153E+01    0.216307E+00    0.231013E+02    0.141741E+01
    0.336688E+03    0.290810E+01    0.171934E+00    0.236185E+02    0.193461E+01
    0.338228E+03    0.359170E+01    0.139210E+00    0.241981E+02    0.251425E+01
    0.339902E+03    0.434578E+01    0.115054E+00    0.248315E+02    0.314760E+01
    0.341684E+03    0.515521E+01    0.969892E-01    0.255088E+02    0.382496E+01
    0.343542E+03    0.600400E+01    0.832778E-01    0.262196E+02    0.453578E+01
    0.345448E+03    0.688084E+01    0.726656E-01    0.269527E+02    0.526883E+01
    0.347370E+03    0.777608E+01    0.642997E-01    0.276961E+02    0.601228E+01
    0.349276E+03    0.866244E+01    0.577204E-01    0.284379E+02    0.675402E+01
    0.351135E+03    0.953119E+01    0.524594E-01    0.291656E+02    0.748177E+01
    0.352916E+03    0.103686E+02    0.482224E-01    0.298672E+02    0.818331E+01
    0.354591E+03    0.111572E+02    0.448142E-01    0.305305E+02    0.884660E+01
    0.356131E+03    0.118872E+02    0.420619E-01    0.311439E+02    0.946003E+01
    0.357511E+03    0.125422E+02    0.398653E-01    0.316965E+02    0.100126E+02
    0.358709E+03    0.131137E+02    0.381281E-01    0.321783E+02    0.104944E+02
    0.359705E+03    0.135898E+02    0.367924E-01    0.325803E+02    0.108965E+02
    0.360483E+03    0.139619E+02    0.358118E-01    0.328953E+02    0.112114E+02
    0.361030E+03    0.142242E+02    0.351513E-01    0.331172E+02    0.114333E+02
    0.361337E+03    0.143717E+02    0.347906E-01    0.332419E+02    0.115580E+02
    0.362070E+03    0.147243E+02    0.339574E-01    0.335402E+02    0.118564E+02
    0.364885E+03    0.160833E+02    0.310881E-01    0.346933E+02    0.130094E+02
    0.369929E+03    0.185404E+02    0.269682E-01    0.367854E+02    0.151015E+02
    0.377166E+03    0.221183E+02    0.226057E-01    0.398434E+02    0.181595E+02
    0.386549E+03    0.268485E+02    0.186230E-01    0.439084E+02    0.222245E+02
    0.398020E+03    0.327704E+02    0.152577E-01    0.490438E+02    0.273599E+02
    0.411514E+03    0.399327E+02    0.125211E-01    0.553117E+02    0.336278E+02
    0.426963E+03    0.483892E+02    0.103329E-01    0.628120E+02    0.411282E+02
    0.444300E+03    0.582015E+02    0.859085E-02    0.716500E+02    0.499661E+02
    0.463462E+03    0.694328E+02    0.720121E-02    0.819296E+02    0.602457E+02
    0.484394E+03    0.821530E+02    0.608621E-02    0.937384E+02    0.720545E+02
    0.507052E+03    0.964278E+02    0.518523E-02    0.107122E+03    0.854383E+02
    0.531403E+03    0.112324E+03    0.445141E-02    0.122105E+03    0.100421E+03
    0.557434E+03    0.129906E+03    0.384895E-02    0.138691E+03    0.117007E+03
    0.585148E+03    0.149234E+03    0.335044E-02    0.156916E+03    0.135232E+03
    0.614570E+03    0.170381E+03    0.293460E-02    0.176854E+03    0.155170E+03
    0.645748E+03    0.193425E+03    0.258498E-02    0.198662E+03    0.176978E+03
    0.678760E+03    0.218476E+03    0.228858E-02    0.222614E+03    0.200930E+03
    0.713712E+03    0.245696E+03    0.203504E-02    0.249117E+03    0.227434E+03
    0.750750E+03    0.275342E+03    0.181593E-02    0.278590E+03    0.256906E+03
    0.790063E+03    0.307773E+03    0.162457E-02    0.311625E+03    0.289941E+03
    0.831890E+03    0.343518E+03    0.145553E-02    0.348974E+03    0.327290E+03
    0.876538E+03    0.383301E+03    0.130446E-02    0.391090E+03    0.369406E+03
    0.924398E+03    0.428057E+03    0.116807E-02    0.439106E+03    0.417422E+03
    0.975968E+03    0.478995E+03    0.104385E-02    0.493926E+03    0.472242E+03
    0.103189E+04    0.537670E+03    0.929939E-03    0.557345E+03    0.535661E+03
    0.109301E+04    0.606090E+03    0.824959E-03    0.630285E+03    0.608602E+03
    0.116045E+04    0.687024E+03    0.727777E-03    0.714866E+03    0.693183E+03
    0.123576E+04    0.784156E+03    0.637629E-03    0.814901E+03    0.793217E+03
    0.132113E+04    0.902473E+03    0.554033E-03    0.931793E+03    0.910109E+03
    0.141985E+04    0.104887E+04    0.476702E-03    0.107566E+04    0.105398E+04
    0.153707E+04    0.123497E+04    0.404868E-03    0.125877E+04    0.123708E+04
    0.168162E+04    0.148309E+04    0.337134E-03    0.150511E+04    0.148343E+04
    0.187067E+04    0.184055E+04    0.271658E-03    0.186227E+04    0.184058E+04
    0.214494E+04    0.242664E+04    0.206046E-03    0.244833E+04    0.242664E+04
    0.265127E+04    0.371898E+04    0.134445E-03    0.374066E+04    0.371898E+04
