#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.04000 temp=   0.70000
    0.947423E+00    0.255079E+02    0.196017E-01   -0.137445E+02    0.228946E+02
    0.495429E+01    0.254940E+02    0.196124E-01   -0.137303E+02    0.228804E+02
    0.120109E+02    0.254265E+02    0.196645E-01   -0.136526E+02    0.228027E+02
    0.218638E+02    0.252398E+02    0.198100E-01   -0.134333E+02    0.225834E+02
    0.341570E+02    0.248560E+02    0.201158E-01   -0.129851E+02    0.221353E+02
    0.484465E+02    0.241953E+02    0.206652E-01   -0.122305E+02    0.213806E+02
    0.642156E+02    0.231926E+02    0.215586E-01   -0.111239E+02    0.202741E+02
    0.808945E+02    0.218204E+02    0.229144E-01   -0.966992E+01    0.188200E+02
    0.978803E+02    0.200934E+02    0.248838E-01   -0.791016E+01    0.170603E+02
    0.114559E+03    0.180708E+02    0.276690E-01   -0.592229E+01    0.150724E+02
    0.130328E+03    0.158569E+02    0.315319E-01   -0.382783E+01    0.129779E+02
    0.144618E+03    0.135946E+02    0.367793E-01   -0.177989E+01    0.109300E+02
    0.156911E+03    0.114514E+02    0.436626E-01    0.845839E-01    0.906557E+01
    0.166764E+03    0.960053E+01    0.520804E-01    0.165200E+01    0.749845E+01
    0.173820E+03    0.820339E+01    0.609504E-01    0.281676E+01    0.633485E+01
    0.177827E+03    0.738461E+01    0.677084E-01    0.349548E+01    0.565814E+01
    0.178847E+03    0.717362E+01    0.696998E-01    0.367028E+01    0.548420E+01
    0.179154E+03    0.710992E+01    0.703243E-01    0.372306E+01    0.543172E+01
    0.179701E+03    0.699634E+01    0.714659E-01    0.381730E+01    0.533806E+01
    0.180479E+03    0.683406E+01    0.731629E-01    0.395178E+01    0.520453E+01
    0.181475E+03    0.662573E+01    0.754634E-01    0.412476E+01    0.503303E+01
    0.182673E+03    0.637414E+01    0.784419E-01    0.433392E+01    0.482610E+01
    0.184053E+03    0.608318E+01    0.821939E-01    0.457647E+01    0.458696E+01
    0.185593E+03    0.575762E+01    0.868414E-01    0.484907E+01    0.431954E+01
    0.187268E+03    0.540329E+01    0.925363E-01    0.514792E+01    0.402860E+01
    0.189049E+03    0.502722E+01    0.994585E-01    0.546872E+01    0.371988E+01
    0.190908E+03    0.463800E+01    0.107805E+00    0.580668E+01    0.340026E+01
    0.192814E+03    0.424530E+01    0.117777E+00    0.615662E+01    0.307784E+01
    0.194736E+03    0.386037E+01    0.129521E+00    0.651299E+01    0.276192E+01
    0.196642E+03    0.349564E+01    0.143035E+00    0.686999E+01    0.246269E+01
    0.198500E+03    0.316318E+01    0.158069E+00    0.722163E+01    0.219049E+01
    0.200282E+03    0.287400E+01    0.173973E+00    0.756188E+01    0.195466E+01
    0.201956E+03    0.263626E+01    0.189663E+00    0.788469E+01    0.176199E+01
    0.203496E+03    0.245383E+01    0.203763E+00    0.818419E+01    0.161540E+01
    0.204877E+03    0.232509E+01    0.215045E+00    0.845477E+01    0.151327E+01
    0.206075E+03    0.224288E+01    0.222928E+00    0.869127E+01    0.144977E+01
    0.207071E+03    0.219854E+01    0.227424E+00    0.888908E+01    0.141619E+01
    0.207849E+03    0.220974E+01    0.226271E+00    0.904429E+01    0.140267E+01
    0.208396E+03    0.170975E+01    0.292441E+00    0.915379E+01    0.140000E+01
    0.208703E+03    0.211664E+01    0.236223E+00    0.921538E+01    0.140101E+01
    0.208847E+03    0.212053E+01    0.235791E+00    0.924439E+01    0.140212E+01
    0.209154E+03    0.213246E+01    0.234471E+00    0.930614E+01    0.140579E+01
    0.209701E+03    0.216245E+01    0.231220E+00    0.941641E+01    0.141684E+01
    0.210479E+03    0.218316E+01    0.229026E+00    0.957385E+01    0.144249E+01
    0.211475E+03    0.223750E+01    0.223463E+00    0.977645E+01    0.149218E+01
    0.212673E+03    0.232961E+01    0.214628E+00    0.100216E+02    0.157631E+01
    0.214053E+03    0.247090E+01    0.202356E+00    0.103059E+02    0.170450E+01
    0.215593E+03    0.267251E+01    0.187090E+00    0.106257E+02    0.188368E+01
    0.217268E+03    0.293698E+01    0.170243E+00    0.109764E+02    0.211650E+01
    0.219049E+03    0.326078E+01    0.153337E+00    0.113530E+02    0.240073E+01
    0.220908E+03    0.363900E+01    0.137400E+00    0.117499E+02    0.272973E+01
    0.222814E+03    0.405840E+01    0.123201E+00    0.121612E+02    0.309379E+01
    0.224736E+03    0.450637E+01    0.110954E+00    0.125804E+02    0.348175E+01
    0.226642E+03    0.496913E+01    0.100621E+00    0.130008E+02    0.388226E+01
    0.228500E+03    0.543371E+01    0.920182E-01    0.134154E+02    0.428456E+01
    0.230282E+03    0.588827E+01    0.849146E-01    0.138170E+02    0.467874E+01
    0.231956E+03    0.632240E+01    0.790839E-01    0.141984E+02    0.505578E+01
    0.233496E+03    0.672666E+01    0.743311E-01    0.145528E+02    0.540747E+01
    0.234877E+03    0.709216E+01    0.705003E-01    0.148733E+02    0.572636E+01
    0.236075E+03    0.741184E+01    0.674596E-01    0.151536E+02    0.600580E+01
    0.237071E+03    0.767920E+01    0.651110E-01    0.153884E+02    0.623994E+01
    0.237849E+03    0.788887E+01    0.633804E-01    0.155727E+02    0.642388E+01
    0.238396E+03    0.803683E+01    0.622136E-01    0.157027E+02    0.655376E+01
    0.238703E+03    0.811994E+01    0.615768E-01    0.157759E+02    0.662685E+01
    0.239188E+03    0.825175E+01    0.605932E-01    0.158920E+02    0.674273E+01
    0.240948E+03    0.873204E+01    0.572604E-01    0.163157E+02    0.716608E+01
    0.244100E+03    0.960205E+01    0.520722E-01    0.170863E+02    0.793639E+01
    0.248624E+03    0.108706E+02    0.459955E-01    0.182185E+02    0.906840E+01
    0.254490E+03    0.125500E+02    0.398408E-01    0.197338E+02    0.105837E+02
    0.261661E+03    0.146568E+02    0.341139E-01    0.216615E+02    0.125114E+02
    0.270096E+03    0.172113E+02    0.290506E-01    0.240380E+02    0.148879E+02
    0.279753E+03    0.202376E+02    0.247065E-01    0.269041E+02    0.177540E+02
    0.290591E+03    0.237628E+02    0.210413E-01    0.302986E+02    0.211485E+02
    0.302569E+03    0.278186E+02    0.179736E-01    0.342787E+02    0.251286E+02
    0.315654E+03    0.324403E+02    0.154129E-01    0.388981E+02    0.297479E+02
    0.329818E+03    0.376671E+02    0.132742E-01    0.441419E+02    0.349917E+02
    0.345040E+03    0.435433E+02    0.114828E-01    0.500660E+02    0.409159E+02
    0.361312E+03    0.501185E+02    0.997636E-02    0.566705E+02    0.475204E+02
    0.378637E+03    0.574498E+02    0.870325E-02    0.640042E+02    0.548541E+02
    0.397028E+03    0.656032E+02    0.762158E-02    0.720969E+02    0.629468E+02
    0.416518E+03    0.746556E+02    0.669742E-02    0.810292E+02    0.718791E+02
    0.437154E+03    0.846975E+02    0.590336E-02    0.908880E+02    0.817378E+02
    0.459004E+03    0.958373E+02    0.521718E-02    0.101776E+03    0.926256E+02
    0.482157E+03    0.108206E+03    0.462083E-02    0.113822E+03    0.104672E+03
    0.506731E+03    0.121962E+03    0.409965E-02    0.127184E+03    0.118034E+03
    0.532878E+03    0.137303E+03    0.364159E-02    0.142061E+03    0.132910E+03
    0.560788E+03    0.154475E+03    0.323676E-02    0.158714E+03    0.149564E+03
    0.590706E+03    0.173791E+03    0.287701E-02    0.177486E+03    0.168336E+03
    0.622943E+03    0.195652E+03    0.255555E-02    0.198804E+03    0.189654E+03
    0.657900E+03    0.220584E+03    0.226671E-02    0.223170E+03    0.214019E+03
    0.696105E+03    0.249289E+03    0.200570E-02    0.251245E+03    0.242095E+03
    0.738263E+03    0.282734E+03    0.176845E-02    0.284012E+03    0.274862E+03
    0.785339E+03    0.322286E+03    0.155142E-02    0.322806E+03    0.313655E+03
    0.838710E+03    0.369957E+03    0.135151E-02    0.369636E+03    0.360486E+03
    0.900420E+03    0.428850E+03    0.116591E-02    0.427592E+03    0.418442E+03
    0.973693E+03    0.504072E+03    0.991921E-03    0.501773E+03    0.492623E+03
    0.106406E+04    0.604815E+03    0.826699E-03    0.601218E+03    0.592068E+03
    0.118224E+04    0.749992E+03    0.666674E-03    0.744457E+03    0.735307E+03
    0.135368E+04    0.988011E+03    0.506067E-03    0.979624E+03    0.970473E+03
    0.167020E+04    0.151316E+04    0.330435E-03    0.149902E+04    0.148987E+04
