#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.02000 temp=   0.60000
    0.719171E+00    0.161653E+02    0.309305E-01   -0.807859E+01    0.141078E+02
    0.376071E+01    0.161574E+02    0.309456E-01   -0.806943E+01    0.140986E+02
    0.911723E+01    0.161177E+02    0.310218E-01   -0.802746E+01    0.140567E+02
    0.165964E+02    0.160069E+02    0.312366E-01   -0.791413E+01    0.139433E+02
    0.259280E+02    0.157800E+02    0.316856E-01   -0.767899E+01    0.137082E+02
    0.367748E+02    0.153915E+02    0.324855E-01   -0.727310E+01    0.133023E+02
    0.487449E+02    0.148045E+02    0.337734E-01   -0.665720E+01    0.126864E+02
    0.614055E+02    0.140042E+02    0.357037E-01   -0.582214E+01    0.118514E+02
    0.742991E+02    0.129985E+02    0.384660E-01   -0.479451E+01    0.108237E+02
    0.869598E+02    0.118232E+02    0.422898E-01   -0.363709E+01    0.966630E+01
    0.989298E+02    0.105401E+02    0.474380E-01   -0.243173E+01    0.846095E+01
    0.109777E+03    0.923143E+01    0.541628E-01   -0.125706E+01    0.728635E+01
    0.119108E+03    0.799312E+01    0.625538E-01   -0.186200E+00    0.621581E+01
    0.126587E+03    0.692595E+01    0.721923E-01    0.713414E+00    0.531731E+01
    0.131944E+03    0.612221E+01    0.816699E-01    0.138133E+01    0.465190E+01
    0.134985E+03    0.565262E+01    0.884546E-01    0.176978E+01    0.426647E+01
    0.135777E+03    0.552883E+01    0.904350E-01    0.187198E+01    0.416538E+01
    0.136084E+03    0.548068E+01    0.912295E-01    0.191174E+01    0.412610E+01
    0.136631E+03    0.539492E+01    0.926798E-01    0.198276E+01    0.405600E+01
    0.137408E+03    0.527227E+01    0.948358E-01    0.208418E+01    0.395605E+01
    0.138405E+03    0.511454E+01    0.977606E-01    0.221476E+01    0.382770E+01
    0.139603E+03    0.492401E+01    0.101543E+00    0.237283E+01    0.367292E+01
    0.140983E+03    0.470369E+01    0.106300E+00    0.255638E+01    0.349418E+01
    0.142523E+03    0.445710E+01    0.112181E+00    0.276298E+01    0.329460E+01
    0.144198E+03    0.418888E+01    0.119364E+00    0.298983E+01    0.307798E+01
    0.145979E+03    0.390473E+01    0.128050E+00    0.323374E+01    0.284895E+01
    0.147838E+03    0.361149E+01    0.138447E+00    0.349118E+01    0.261299E+01
    0.149744E+03    0.331701E+01    0.150738E+00    0.375826E+01    0.237650E+01
    0.151665E+03    0.303009E+01    0.165012E+00    0.403081E+01    0.214667E+01
    0.153571E+03    0.276020E+01    0.181146E+00    0.430446E+01    0.193109E+01
    0.155430E+03    0.251665E+01    0.198677E+00    0.457471E+01    0.173712E+01
    0.157212E+03    0.230737E+01    0.216697E+00    0.483693E+01    0.157111E+01
    0.158886E+03    0.213735E+01    0.233934E+00    0.508645E+01    0.143729E+01
    0.160426E+03    0.200906E+01    0.248872E+00    0.531862E+01    0.133709E+01
    0.161806E+03    0.192836E+01    0.259288E+00    0.552893E+01    0.126873E+01
    0.163005E+03    0.189362E+01    0.264045E+00    0.571321E+01    0.122761E+01
