
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.909731E-02    1.000000E-01    1.050000E+00    1.594670E+00
    3.909731E-02    2.000000E-01    1.050000E+00    1.591404E+00
    3.909731E-02    3.000000E-01    1.050000E+00    1.583241E+00
    3.909731E-02    4.000000E-01    1.050000E+00    1.552340E+00
    3.909731E-02    5.000000E-01    1.050000E+00    1.485441E+00
    3.909731E-02    6.000000E-01    1.050000E+00    1.370252E+00
    3.909731E-02    7.000000E-01    1.050000E+00    1.188610E+00
    3.909731E-02    8.000000E-01    1.050000E+00    8.982634E-01
    3.909731E-02    9.000000E-01    1.050000E+00    2.393793E-01
    3.909731E-02    1.000000E+00    1.050000E+00    2.573270E-06
    3.909731E-02    1.100000E+00    1.050000E+00    1.295934E-06
