
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.999995E-02    1.000000E-04    1.058019E+00    1.957655E+00
    3.999995E-02    1.001000E-01    1.058019E+00    1.957655E+00
    3.999995E-02    2.001000E-01    1.058019E+00    1.957566E+00
    3.999995E-02    3.001000E-01    1.058019E+00    1.954829E+00
    3.999995E-02    4.001000E-01    1.058019E+00    1.940687E+00
    3.999995E-02    5.001000E-01    1.058019E+00    1.904920E+00
    3.999995E-02    6.001000E-01    1.058019E+00    1.839137E+00
    3.999995E-02    7.001000E-01    1.058019E+00    1.735404E+00
    3.999995E-02    8.001000E-01    1.058019E+00    1.583388E+00
    3.999995E-02    9.001000E-01    1.058019E+00    1.365127E+00
    3.999995E-02    1.000100E+00    1.058019E+00    1.038286E+00
    3.999995E-02    1.100100E+00    1.058019E+00    3.861728E-01
    3.999995E-02    1.200100E+00    1.058019E+00    3.185945E-06
    3.999995E-02    1.300100E+00    1.058019E+00    1.524561E-06
