
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    5.136562E-02    1.000000E-01    1.150000E+00    9.273778E-01
    5.136562E-02    2.000000E-01    1.150000E+00    9.157986E-01
    5.136562E-02    3.000000E-01    1.150000E+00    8.564499E-01
    5.136562E-02    4.000000E-01    1.150000E+00    7.083368E-01
    5.136562E-02    5.000000E-01    1.150000E+00    3.589138E-01
    5.136562E-02    6.000000E-01    1.150000E+00    2.283496E-06
    5.136562E-02    7.000000E-01    1.150000E+00    1.041040E-06
    5.136562E-02    8.000000E-01    1.150000E+00    6.938191E-07
    5.136562E-02    9.000000E-01    1.150000E+00    5.169774E-07
    5.136562E-02    1.000000E+00    1.150000E+00    4.441768E-07
    5.136562E-02    1.100000E+00    1.150000E+00    3.913243E-07
