
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    1.058019E+00    0.000000E+00    1.699037E+00
    1.058019E+00    1.000000E-01    1.808165E+00
    1.058019E+00    2.000000E-01    1.768155E+00
    1.058019E+00    3.000000E-01    1.692254E+00
    1.058019E+00    4.000000E-01    1.572864E+00
    1.058019E+00    5.000000E-01    1.398404E+00
    1.058019E+00    6.000000E-01    1.144240E+00
    1.058019E+00    7.000000E-01    7.327015E-01
    1.058019E+00    8.000000E-01    5.685707E-06
    1.058019E+00    9.000000E-01    1.666637E-06
    1.058019E+00    1.000000E+00    1.016938E-06
