#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.90000
    0.245674E+03    0.212723E+02    0.235047E-01    0.254242E+02    0.200134E+02
    0.256562E+03    0.242873E+02    0.205869E-01    0.285581E+02    0.231474E+02
    0.268201E+03    0.276526E+02    0.180815E-01    0.320438E+02    0.266330E+02
    0.280593E+03    0.313976E+02    0.159248E-01    0.359133E+02    0.305026E+02
    0.293748E+03    0.355565E+02    0.140621E-01    0.402109E+02    0.348001E+02
    0.307689E+03    0.401693E+02    0.124473E-01    0.449291E+02    0.395184E+02
    0.322450E+03    0.452840E+02    0.110414E-01    0.501087E+02    0.446979E+02
    0.338078E+03    0.509573E+02    0.981213E-02    0.558191E+02    0.504083E+02
    0.354639E+03    0.572570E+02    0.873255E-02    0.621189E+02    0.567082E+02
    0.372217E+03    0.642664E+02    0.778012E-02    0.690965E+02    0.636858E+02
    0.390919E+03    0.720878E+02    0.693599E-02    0.768601E+02    0.714494E+02
    0.410883E+03    0.808490E+02    0.618437E-02    0.855410E+02    0.801303E+02
    0.432282E+03    0.907122E+02    0.551193E-02    0.953120E+02    0.899013E+02
    0.455340E+03    0.101885E+03    0.490747E-02    0.106387E+03    0.100977E+03
    0.480345E+03    0.114640E+03    0.436147E-02    0.119041E+03    0.113630E+03
    0.507672E+03    0.129339E+03    0.386582E-02    0.133628E+03    0.128217E+03
    0.537826E+03    0.146475E+03    0.341354E-02    0.150642E+03    0.145231E+03
    0.571499E+03    0.166749E+03    0.299851E-02    0.170771E+03    0.165360E+03
    0.609675E+03    0.191182E+03    0.261531E-02    0.195022E+03    0.189611E+03
    0.653814E+03    0.221341E+03    0.225896E-02    0.224951E+03    0.219540E+03
    0.706225E+03    0.259782E+03    0.192469E-02    0.263139E+03    0.257728E+03
    0.770861E+03    0.311032E+03    0.160755E-02    0.314347E+03    0.308937E+03
    0.855391E+03    0.384232E+03    0.130130E-02    0.387989E+03    0.382579E+03
    0.978023E+03    0.502888E+03    0.994257E-03    0.508677E+03    0.503266E+03
    0.120442E+04    0.765627E+03    0.653060E-03    0.772640E+03    0.767229E+03
