
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    7.295125E-03    1.000000E-04    6.000000E-01    2.376769E+00
    7.295125E-03    1.001000E-01    6.000000E-01    2.376769E+00
    7.295125E-03    2.001000E-01    6.000000E-01    2.376758E+00
    7.295125E-03    3.001000E-01    6.000000E-01    2.376016E+00
    7.295125E-03    4.001000E-01    6.000000E-01    2.370355E+00
    7.295125E-03    5.001000E-01    6.000000E-01    2.352519E+00
    7.295125E-03    6.001000E-01    6.000000E-01    2.315400E+00
    7.295125E-03    7.001000E-01    6.000000E-01    2.252881E+00
    7.295125E-03    8.001000E-01    6.000000E-01    2.159004E+00
    7.295125E-03    9.001000E-01    6.000000E-01    2.026589E+00
    7.295125E-03    1.000100E+00    6.000000E-01    1.845072E+00
    7.295125E-03    1.100100E+00    6.000000E-01    1.595767E+00
    7.295125E-03    1.200100E+00    6.000000E-01    1.236288E+00
    7.295125E-03    1.300100E+00    6.000000E-01    5.880770E-01
    7.295125E-03    1.400100E+00    6.000000E-01    4.031300E-06
    7.295125E-03    1.500100E+00    6.000000E-01    1.759835E-06
    7.295125E-03    1.600100E+00    6.000000E-01    1.153465E-06
    7.295125E-03    1.700100E+00    6.000000E-01    8.728142E-07
    7.295125E-03    1.800100E+00    6.000000E-01    7.101563E-07
    7.295125E-03    1.900100E+00    6.000000E-01    6.081211E-07
