
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    8.397506E-01    0.000000E+00    2.149493E+00
    8.397506E-01    4.000000E-01    1.901006E+00
    8.397506E-01    6.000000E-01    1.539074E+00
    8.397506E-01    8.000000E-01    7.921596E-01
    8.397506E-01    9.000000E-01    6.744517E-06
    8.397506E-01    1.000000E+00    4.109665E-06
    8.397506E-01    1.200000E+00    8.799873E-07
