#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.06000 temp=   0.60000
    0.110754E+01    0.339305E+02    0.147360E-01   -0.178279E+02    0.301672E+02
    0.579156E+01    0.339119E+02    0.147441E-01   -0.178100E+02    0.301493E+02
    0.140407E+02    0.338189E+02    0.147846E-01   -0.177192E+02    0.300585E+02
    0.255587E+02    0.335593E+02    0.148990E-01   -0.174730E+02    0.298123E+02
    0.399295E+02    0.330237E+02    0.151406E-01   -0.169502E+02    0.292895E+02
    0.566338E+02    0.321019E+02    0.155754E-01   -0.160450E+02    0.283843E+02
    0.750679E+02    0.307085E+02    0.162821E-01   -0.146653E+02    0.270047E+02
    0.945655E+02    0.288052E+02    0.173580E-01   -0.127795E+02    0.251188E+02
    0.114422E+03    0.264099E+02    0.189323E-01   -0.104449E+02    0.227842E+02
    0.133920E+03    0.236010E+02    0.211855E-01   -0.778233E+01    0.201217E+02
    0.152354E+03    0.205243E+02    0.243613E-01   -0.492536E+01    0.172647E+02
    0.169058E+03    0.173799E+02    0.287689E-01   -0.207320E+01    0.144125E+02
    0.183429E+03    0.143990E+02    0.347245E-01    0.560808E+00    0.117785E+02
    0.194947E+03    0.118201E+02    0.423010E-01    0.278723E+01    0.955211E+01
    0.203196E+03    0.986543E+01    0.506820E-01    0.444596E+01    0.789341E+01
    0.207880E+03    0.871471E+01    0.573743E-01    0.541283E+01    0.692664E+01
    0.209060E+03    0.842015E+01    0.593814E-01    0.565930E+01    0.668023E+01
    0.209367E+03    0.834317E+01    0.599293E-01    0.572361E+01    0.661594E+01
    0.209913E+03    0.820582E+01    0.609323E-01    0.583841E+01    0.650118E+01
    0.210691E+03    0.800958E+01    0.624252E-01    0.600217E+01    0.633750E+01
    0.211687E+03    0.775717E+01    0.644565E-01    0.621267E+01    0.612712E+01
    0.212886E+03    0.745180E+01    0.670979E-01    0.646701E+01    0.587299E+01
    0.214266E+03    0.709764E+01    0.704460E-01    0.676166E+01    0.557870E+01
    0.215806E+03    0.669981E+01    0.746290E-01    0.709246E+01    0.524855E+01
    0.217481E+03    0.626418E+01    0.798189E-01    0.745467E+01    0.488751E+01
    0.219262E+03    0.579788E+01    0.862384E-01    0.784296E+01    0.450139E+01
    0.221121E+03    0.530894E+01    0.941807E-01    0.825148E+01    0.409685E+01
    0.223027E+03    0.480693E+01    0.104017E+00    0.867391E+01    0.368176E+01
    0.224948E+03    0.430297E+01    0.116199E+00    0.910352E+01    0.326539E+01
    0.226854E+03    0.381067E+01    0.131211E+00    0.953326E+01    0.285881E+01
    0.228713E+03    0.334538E+01    0.149460E+00    0.995592E+01    0.247490E+01
    0.230494E+03    0.292419E+01    0.170988E+00    0.103642E+02    0.212769E+01
    0.232169E+03    0.256270E+01    0.195106E+00    0.107509E+02    0.183062E+01
    0.233709E+03    0.227420E+01    0.219857E+00    0.111091E+02    0.159361E+01
    0.235089E+03    0.205623E+01    0.243164E+00    0.114323E+02    0.142028E+01
    0.236287E+03    0.190970E+01    0.261821E+00    0.117144E+02    0.130659E+01
    0.237284E+03    0.182297E+01    0.274278E+00    0.119500E+02    0.124181E+01
    0.238062E+03    0.182364E+01    0.274177E+00    0.121348E+02    0.121160E+01
    0.238608E+03    0.173837E+01    0.287626E+00    0.122650E+02    0.120153E+01
    0.238915E+03   -0.489996E+00   -0.102042E+01    0.123383E+02    0.120000E+01
    0.239060E+03    0.151981E+01    0.328989E+00    0.123728E+02    0.120031E+01
    0.239367E+03    0.178320E+01    0.280394E+00    0.124461E+02    0.120317E+01
    0.239913E+03    0.175037E+01    0.285654E+00    0.125771E+02    0.121567E+01
    0.240691E+03    0.182480E+01    0.274003E+00    0.127641E+02    0.124969E+01
    0.241687E+03    0.189834E+01    0.263388E+00    0.130044E+02    0.132041E+01
    0.242886E+03    0.203003E+01    0.246302E+00    0.132948E+02    0.144349E+01
    0.244266E+03    0.223561E+01    0.223652E+00    0.136314E+02    0.163142E+01
    0.245806E+03    0.254374E+01    0.196561E+00    0.140093E+02    0.189011E+01
    0.247481E+03    0.292173E+01    0.171132E+00    0.144232E+02    0.221727E+01
    0.249262E+03    0.337771E+01    0.148029E+00    0.148669E+02    0.260354E+01
    0.251121E+03    0.388810E+01    0.128598E+00    0.153338E+02    0.303548E+01
    0.253027E+03    0.443526E+01    0.112733E+00    0.158167E+02    0.349861E+01
    0.254948E+03    0.500317E+01    0.999367E-01    0.163080E+02    0.397937E+01
    0.256854E+03    0.557716E+01    0.896514E-01    0.167998E+02    0.446575E+01
    0.258713E+03    0.614440E+01    0.813749E-01    0.172838E+02    0.494711E+01
    0.260494E+03    0.669337E+01    0.747008E-01    0.177518E+02    0.541382E+01
    0.262169E+03    0.721334E+01    0.693160E-01    0.181956E+02    0.585694E+01
    0.263709E+03    0.769454E+01    0.649812E-01    0.186071E+02    0.626808E+01
    0.265089E+03    0.812821E+01    0.615141E-01    0.189785E+02    0.663941E+01
    0.266287E+03    0.850625E+01    0.587803E-01    0.193030E+02    0.696384E+01
    0.267284E+03    0.882171E+01    0.566784E-01    0.195743E+02    0.723507E+01
    0.268062E+03    0.906880E+01    0.551341E-01    0.197871E+02    0.744781E+01
    0.268608E+03    0.924282E+01    0.540961E-01    0.199371E+02    0.759785E+01
    0.268915E+03    0.934068E+01    0.535293E-01    0.200215E+02    0.768224E+01
    0.269461E+03    0.951500E+01    0.525486E-01    0.201721E+02    0.783277E+01
    0.271481E+03    0.101626E+02    0.492001E-01    0.207323E+02    0.839298E+01
    0.275100E+03    0.113336E+02    0.441165E-01    0.217503E+02    0.941093E+01
    0.280292E+03    0.130391E+02    0.383461E-01    0.232437E+02    0.109043E+02
    0.287025E+03    0.152954E+02    0.326895E-01    0.252374E+02    0.128980E+02
    0.295255E+03    0.181234E+02    0.275887E-01    0.277649E+02    0.154255E+02
    0.304936E+03    0.215487E+02    0.232032E-01    0.308765E+02    0.185372E+02
    0.316020E+03    0.256019E+02    0.195298E-01    0.346486E+02    0.223092E+02
    0.328459E+03    0.303182E+02    0.164918E-01    0.391391E+02    0.267997E+02
    0.342207E+03    0.357369E+02    0.139911E-01    0.443450E+02    0.320056E+02
    0.357225E+03    0.419010E+02    0.119329E-01    0.503495E+02    0.380102E+02
    0.373482E+03    0.488595E+02    0.102334E-01    0.571693E+02    0.448300E+02
    0.390953E+03    0.566670E+02    0.882347E-02    0.648585E+02    0.525192E+02
    0.409630E+03    0.653848E+02    0.764704E-02    0.734342E+02    0.610949E+02
    0.429514E+03    0.750840E+02    0.665921E-02    0.829545E+02    0.706152E+02
    0.450623E+03    0.858466E+02    0.582434E-02    0.934901E+02    0.811508E+02
    0.472992E+03    0.977693E+02    0.511408E-02    0.105136E+03    0.927963E+02
    0.496677E+03    0.110967E+03    0.450585E-02    0.118008E+03    0.105669E+03
    0.521755E+03    0.125577E+03    0.398162E-02    0.132253E+03    0.119913E+03
    0.548329E+03    0.141766E+03    0.352693E-02    0.148050E+03    0.135711E+03
    0.576534E+03    0.159739E+03    0.313010E-02    0.165630E+03    0.153290E+03
    0.606544E+03    0.179743E+03    0.278175E-02    0.185251E+03    0.172912E+03
    0.638578E+03    0.202074E+03    0.247434E-02    0.207207E+03    0.194868E+03
    0.672916E+03    0.227095E+03    0.220173E-02    0.231664E+03    0.219324E+03
    0.709915E+03    0.255250E+03    0.195886E-02    0.259233E+03    0.246894E+03
    0.750038E+03    0.287100E+03    0.174156E-02    0.290408E+03    0.278069E+03
    0.793887E+03    0.323386E+03    0.154614E-02    0.326487E+03    0.314147E+03
    0.842273E+03    0.365220E+03    0.136904E-02    0.368718E+03    0.356378E+03
    0.896305E+03    0.414326E+03    0.120678E-02    0.419374E+03    0.407035E+03
    0.957562E+03    0.473433E+03    0.105612E-02    0.480418E+03    0.468079E+03
    0.102839E+04    0.546977E+03    0.914116E-03    0.557665E+03    0.545326E+03
    0.111249E+04    0.642196E+03    0.778579E-03    0.656892E+03    0.644553E+03
    0.121620E+04    0.771636E+03    0.647974E-03    0.788017E+03    0.775678E+03
    0.135184E+04    0.958995E+03    0.521379E-03    0.973845E+03    0.961505E+03
    0.154862E+04    0.126378E+04    0.395638E-03    0.127662E+04    0.126429E+04
    0.191190E+04    0.193290E+04    0.258679E-03    0.194524E+04    0.193290E+04
