#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   0.70000
    0.218167E+03    0.171862E+02    0.290932E-01    0.203420E+02    0.161380E+02
    0.227639E+03    0.194934E+02    0.256497E-01    0.227374E+02    0.185334E+02
    0.237763E+03    0.220673E+02    0.226580E-01    0.254228E+02    0.212188E+02
    0.248543E+03    0.249306E+02    0.200557E-01    0.284106E+02    0.242066E+02
    0.259986E+03    0.281086E+02    0.177881E-01    0.316939E+02    0.274900E+02
    0.272113E+03    0.316315E+02    0.158070E-01    0.353062E+02    0.311022E+02
    0.284953E+03    0.355354E+02    0.140705E-01    0.393097E+02    0.351057E+02
    0.298547E+03    0.398641E+02    0.125426E-01    0.437168E+02    0.395128E+02
    0.312953E+03    0.446698E+02    0.111932E-01    0.485557E+02    0.443517E+02
    0.328244E+03    0.500157E+02    0.999686E-02    0.539247E+02    0.497207E+02
    0.344512E+03    0.559798E+02    0.893179E-02    0.598776E+02    0.556736E+02
    0.361878E+03    0.626590E+02    0.797970E-02    0.665313E+02    0.623273E+02
    0.380493E+03    0.701753E+02    0.712501E-02    0.740010E+02    0.697970E+02
    0.400551E+03    0.786854E+02    0.635442E-02    0.824534E+02    0.782494E+02
    0.422302E+03    0.883942E+02    0.565648E-02    0.920941E+02    0.878901E+02
    0.446073E+03    0.995752E+02    0.502133E-02    0.103196E+03    0.989920E+02
    0.472304E+03    0.112604E+03    0.444035E-02    0.116134E+03    0.111930E+03
    0.501595E+03    0.128008E+03    0.390599E-02    0.131435E+03    0.127231E+03
    0.534803E+03    0.146569E+03    0.341137E-02    0.149875E+03    0.145671E+03
    0.573199E+03    0.169489E+03    0.295004E-02    0.172651E+03    0.168447E+03
    0.618790E+03    0.198749E+03    0.251573E-02    0.201761E+03    0.197557E+03
    0.675015E+03    0.237882E+03    0.210188E-02    0.240758E+03    0.236554E+03
    0.748546E+03    0.294051E+03    0.170038E-02    0.296786E+03    0.292582E+03
    0.855221E+03    0.385234E+03    0.129791E-02    0.387833E+03    0.383629E+03
    0.105216E+04    0.584059E+03    0.856078E-03    0.587481E+03    0.583277E+03
