
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    8.309604E-02    1.000000E-04    1.350000E+00    8.111880E-01
    8.309604E-02    1.001000E-01    1.350000E+00    8.109752E-01
    8.309604E-02    2.001000E-01    1.350000E+00    7.929327E-01
    8.309604E-02    3.001000E-01    1.350000E+00    7.073210E-01
    8.309604E-02    4.001000E-01    1.350000E+00    4.890936E-01
    8.309604E-02    5.001000E-01    1.350000E+00    3.993620E-06
    8.309604E-02    6.001000E-01    1.350000E+00    1.169383E-06
    8.309604E-02    7.001000E-01    1.350000E+00    7.297031E-07
    8.309604E-02    8.001000E-01    1.350000E+00    5.456385E-07
    8.309604E-02    9.001000E-01    1.350000E+00    4.456567E-07
    8.309604E-02    1.000100E+00    1.350000E+00    3.877398E-07
    8.309604E-02    1.100100E+00    1.350000E+00    3.383567E-07
    8.309604E-02    1.200100E+00    1.350000E+00    3.066437E-07
    8.309604E-02    1.300100E+00    1.350000E+00    2.845283E-07
    8.309604E-02    1.400100E+00    1.350000E+00    2.632488E-07
    8.309604E-02    1.500100E+00    1.350000E+00    2.466216E-07
