
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    1.729215E-02    1.000000E-01    8.000000E-01    2.666434E+00
    1.729215E-02    2.000000E-01    8.000000E-01    2.666431E+00
    1.729215E-02    3.000000E-01    8.000000E-01    2.666121E+00
    1.729215E-02    4.000000E-01    8.000000E-01    2.663084E+00
    1.729215E-02    5.000000E-01    8.000000E-01    2.652028E+00
    1.729215E-02    6.000000E-01    8.000000E-01    2.626997E+00
    1.729215E-02    7.000000E-01    8.000000E-01    2.582781E+00
    1.729215E-02    8.000000E-01    8.000000E-01    2.514814E+00
    1.729215E-02    9.000000E-01    8.000000E-01    2.418509E+00
    1.729215E-02    1.000000E+00    8.000000E-01    2.288363E+00
    1.729215E-02    1.100000E+00    8.000000E-01    2.116652E+00
    1.729215E-02    1.200000E+00    8.000000E-01    1.890876E+00
    1.729215E-02    1.300000E+00    8.000000E-01    1.587072E+00
    1.729215E-02    1.400000E+00    8.000000E-01    1.143634E+00
    1.729215E-02    1.600000E+00    8.000000E-01    3.133822E-06
    1.729215E-02    1.700000E+00    8.000000E-01    1.627543E-06
    1.729215E-02    1.800000E+00    8.000000E-01    1.096236E-06
