#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.02000 temp=   1.00000
    0.719171E+00    0.160427E+02    0.311669E-01   -0.860176E+01    0.148416E+02
    0.376071E+01    0.160352E+02    0.311814E-01   -0.858947E+01    0.148293E+02
    0.911723E+01    0.159964E+02    0.312571E-01   -0.853331E+01    0.147731E+02
    0.165964E+02    0.158870E+02    0.314722E-01   -0.838279E+01    0.146226E+02
    0.259280E+02    0.156632E+02    0.319219E-01   -0.808028E+01    0.143201E+02
    0.367748E+02    0.152792E+02    0.327242E-01   -0.757037E+01    0.138102E+02
    0.487449E+02    0.146981E+02    0.340180E-01   -0.680681E+01    0.130467E+02
    0.614055E+02    0.139050E+02    0.359583E-01   -0.578832E+01    0.120283E+02
    0.742991E+02    0.129112E+02    0.387260E-01   -0.457276E+01    0.108130E+02
    0.869598E+02    0.117547E+02    0.425363E-01   -0.326740E+01    0.950864E+01
    0.989298E+02    0.104991E+02    0.476231E-01   -0.197941E+01    0.822366E+01
    0.109777E+03    0.922790E+01    0.541835E-01   -0.779900E+00    0.703228E+01
    0.119108E+03    0.803732E+01    0.622098E-01    0.284727E+00    0.598605E+01
    0.126587E+03    0.702834E+01    0.711406E-01    0.116424E+01    0.513939E+01
    0.131944E+03    0.628612E+01    0.795404E-01    0.181210E+01    0.453474E+01
    0.134985E+03    0.586178E+01    0.852983E-01    0.218732E+01    0.419585E+01
    0.135777E+03    0.575194E+01    0.869272E-01    0.228583E+01    0.410861E+01
    0.136084E+03    0.570924E+01    0.875773E-01    0.232414E+01    0.407491E+01
    0.136631E+03    0.563320E+01    0.887596E-01    0.239254E+01    0.401505E+01
    0.137408E+03    0.552563E+01    0.904874E-01    0.249015E+01    0.393034E+01
    0.138405E+03    0.538821E+01    0.927952E-01    0.261572E+01    0.382273E+01
    0.139603E+03    0.522420E+01    0.957084E-01    0.276758E+01    0.369475E+01
    0.140983E+03    0.503675E+01    0.992704E-01    0.294372E+01    0.354958E+01
    0.142523E+03    0.483110E+01    0.103496E+00    0.314174E+01    0.339097E+01
    0.144198E+03    0.461225E+01    0.108407E+00    0.335892E+01    0.322324E+01
    0.145979E+03    0.438620E+01    0.113994E+00    0.359223E+01    0.305119E+01
    0.147838E+03    0.415952E+01    0.120206E+00    0.383831E+01    0.287990E+01
    0.149744E+03    0.393905E+01    0.126934E+00    0.409353E+01    0.271462E+01
    0.151665E+03    0.373147E+01    0.133996E+00    0.435397E+01    0.256034E+01
    0.153571E+03    0.354283E+01    0.141130E+00    0.461558E+01    0.242150E+01
    0.155430E+03    0.337801E+01    0.148016E+00    0.487413E+01    0.230160E+01
    0.157212E+03    0.324023E+01    0.154310E+00    0.512522E+01    0.220289E+01
    0.158886E+03    0.313063E+01    0.159712E+00    0.536438E+01    0.212613E+01
    0.160426E+03    0.304864E+01    0.164008E+00    0.558710E+01    0.207051E+01
    0.161806E+03    0.299517E+01    0.166936E+00    0.578901E+01    0.203376E+01
    0.163005E+03    0.297065E+01    0.168313E+00    0.596601E+01    0.201248E+01
    0.164001E+03    0.294012E+01    0.170061E+00    0.611444E+01    0.200262E+01
