#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.10000
    0.638873E+00    0.138349E+02    0.361405E-01   -0.683485E+01    0.123100E+02
    0.334081E+01    0.138289E+02    0.361563E-01   -0.682791E+01    0.123031E+02
    0.809926E+01    0.137989E+02    0.362348E-01   -0.679314E+01    0.122683E+02
    0.147433E+02    0.137139E+02    0.364594E-01   -0.669634E+01    0.121715E+02
    0.230330E+02    0.135357E+02    0.369393E-01   -0.649567E+01    0.119708E+02
    0.326688E+02    0.132271E+02    0.378011E-01   -0.615127E+01    0.116264E+02
    0.433023E+02    0.127605E+02    0.391833E-01   -0.563438E+01    0.111095E+02
    0.545493E+02    0.121234E+02    0.412426E-01   -0.494126E+01    0.104164E+02
    0.660033E+02    0.113224E+02    0.441602E-01   -0.409948E+01    0.957463E+01
    0.772504E+02    0.103858E+02    0.481429E-01   -0.316265E+01    0.863779E+01
    0.878839E+02    0.936535E+01    0.533883E-01   -0.219085E+01    0.766599E+01
    0.975196E+02    0.832610E+01    0.600521E-01   -0.124564E+01    0.672079E+01
    0.105809E+03    0.734286E+01    0.680934E-01   -0.385323E+00    0.586047E+01
    0.112453E+03    0.649349E+01    0.770003E-01    0.337313E+00    0.513783E+01
    0.117212E+03    0.585550E+01    0.853898E-01    0.873756E+00    0.460139E+01
    0.119914E+03    0.548103E+01    0.912238E-01    0.118566E+01    0.428949E+01
    0.120625E+03    0.538100E+01    0.929196E-01    0.126864E+01    0.420650E+01
    0.120932E+03    0.533750E+01    0.936768E-01    0.130458E+01    0.417057E+01
    0.121479E+03    0.525967E+01    0.950631E-01    0.136878E+01    0.410637E+01
    0.122256E+03    0.514845E+01    0.971167E-01    0.146051E+01    0.401464E+01
    0.123253E+03    0.500470E+01    0.999062E-01    0.157866E+01    0.389648E+01
    0.124451E+03    0.483007E+01    0.103518E+00    0.172180E+01    0.375334E+01
    0.125831E+03    0.462633E+01    0.108077E+00    0.188813E+01    0.358701E+01
    0.127371E+03    0.439636E+01    0.113730E+00    0.207552E+01    0.339962E+01
    0.129046E+03    0.414283E+01    0.120690E+00    0.228149E+01    0.319365E+01
    0.130827E+03    0.386903E+01    0.129231E+00    0.250322E+01    0.297193E+01
    0.132686E+03    0.357875E+01    0.139714E+00    0.273754E+01    0.273760E+01
    0.134592E+03    0.327611E+01    0.152620E+00    0.298099E+01    0.249416E+01
    0.136514E+03    0.296572E+01    0.168593E+00    0.322978E+01    0.224537E+01
    0.138419E+03    0.265245E+01    0.188505E+00    0.347984E+01    0.199530E+01
    0.140278E+03    0.234139E+01    0.213548E+00    0.372691E+01    0.174823E+01
    0.142060E+03    0.203785E+01    0.245357E+00    0.396662E+01    0.150852E+01
    0.143734E+03    0.174720E+01    0.286173E+00    0.419460E+01    0.128056E+01
    0.145274E+03    0.147537E+01    0.338898E+00    0.440659E+01    0.106860E+01
    0.146655E+03    0.122876E+01    0.406913E+00    0.459856E+01    0.876863E+00
    0.147853E+03    0.101380E+01    0.493193E+00    0.476670E+01    0.709638E+00
    0.148849E+03    0.838531E+00    0.596281E+00    0.490760E+01    0.571449E+00
    0.149627E+03    0.703743E+00    0.710486E+00    0.501834E+01    0.466385E+00
    0.150174E+03    0.612054E+00    0.816921E+00    0.509657E+01    0.396159E+00
    0.150480E+03    0.574024E+00    0.871044E+00    0.514061E+01    0.358984E+00
    0.150625E+03    0.559356E+00    0.893886E+00    0.516136E+01    0.342241E+00
    0.150932E+03    0.533546E+00    0.937126E+00    0.520555E+01    0.308613E+00
    0.151479E+03    0.423165E+00    0.118157E+01    0.528453E+01    0.257178E+00
    0.152256E+03    0.396723E+00    0.126033E+01    0.539746E+01    0.209959E+00
    0.153253E+03    0.440397E+00    0.113534E+01    0.554304E+01    0.207625E+00
    0.154451E+03    0.470872E+00    0.106186E+01    0.571961E+01    0.290911E+00
    0.155831E+03    0.700825E+00    0.713445E+00    0.592505E+01    0.460026E+00
    0.157371E+03    0.980803E+00    0.509787E+00    0.615685E+01    0.683200E+00
    0.159046E+03    0.130191E+01    0.384052E+00    0.641203E+01    0.937050E+00
    0.160827E+03    0.164844E+01    0.303317E+00    0.668722E+01    0.121209E+01
    0.162686E+03    0.201138E+01    0.248586E+00    0.697861E+01    0.150347E+01
    0.164592E+03    0.238414E+01    0.209720E+00    0.728201E+01    0.180687E+01
    0.166514E+03    0.276105E+01    0.181090E+00    0.759285E+01    0.211770E+01
    0.168419E+03    0.313684E+01    0.159396E+00    0.790615E+01    0.243100E+01
    0.170278E+03    0.350554E+01    0.142631E+00    0.821664E+01    0.274149E+01
    0.172060E+03    0.386114E+01    0.129496E+00    0.851880E+01    0.304365E+01
    0.173734E+03    0.419761E+01    0.119116E+00    0.880701E+01    0.333187E+01
    0.175274E+03    0.450909E+01    0.110887E+00    0.907573E+01    0.360059E+01
    0.176655E+03    0.478992E+01    0.104386E+00    0.931961E+01    0.384446E+01
    0.177853E+03    0.503479E+01    0.993091E-01    0.953361E+01    0.405847E+01
    0.178849E+03    0.523925E+01    0.954334E-01    0.971322E+01    0.423807E+01
    0.179627E+03    0.539954E+01    0.926004E-01    0.985453E+01    0.437938E+01
    0.180174E+03    0.551239E+01    0.907048E-01    0.995443E+01    0.447928E+01
    0.180480E+03    0.557589E+01    0.896717E-01    0.100107E+02    0.453555E+01
    0.180848E+03    0.565202E+01    0.884640E-01    0.100783E+02    0.460316E+01
    0.182107E+03    0.591327E+01    0.845555E-01    0.103114E+02    0.483627E+01
    0.184362E+03    0.638468E+01    0.783124E-01    0.107354E+02    0.526028E+01
    0.187598E+03    0.707001E+01    0.707213E-01    0.113585E+02    0.588340E+01
    0.191793E+03    0.797449E+01    0.626999E-01    0.121928E+02    0.671763E+01
    0.196922E+03    0.909907E+01    0.549507E-01    0.132530E+02    0.777789E+01
    0.202956E+03    0.104545E+02    0.478261E-01    0.145558E+02    0.908061E+01
    0.209864E+03    0.120514E+02    0.414891E-01    0.161168E+02    0.106417E+02
    0.217615E+03    0.139009E+02    0.359689E-01    0.179504E+02    0.124753E+02
    0.226183E+03    0.160145E+02    0.312218E-01    0.200731E+02    0.145980E+02
    0.235543E+03    0.184124E+02    0.271555E-01    0.225135E+02    0.170384E+02
    0.245674E+03    0.211128E+02    0.236823E-01    0.253055E+02    0.198304E+02
    0.256562E+03    0.241378E+02    0.207144E-01    0.284596E+02    0.229844E+02
    0.268201E+03    0.275116E+02    0.181741E-01    0.319643E+02    0.264891E+02
    0.280593E+03    0.312641E+02    0.159928E-01    0.358505E+02    0.303753E+02
    0.293748E+03    0.354300E+02    0.141123E-01    0.401625E+02    0.346873E+02
    0.307689E+03    0.400490E+02    0.124847E-01    0.448875E+02    0.394124E+02
    0.322450E+03    0.451690E+02    0.110695E-01    0.500699E+02    0.445947E+02
    0.338078E+03    0.508469E+02    0.983345E-02    0.557826E+02    0.503075E+02
    0.354639E+03    0.571508E+02    0.874878E-02    0.620865E+02    0.566113E+02
    0.372217E+03    0.641639E+02    0.779255E-02    0.690701E+02    0.635950E+02
    0.390919E+03    0.719886E+02    0.694554E-02    0.768402E+02    0.713651E+02
    0.410883E+03    0.807529E+02    0.619173E-02    0.855245E+02    0.800494E+02
    0.432282E+03    0.906187E+02    0.551762E-02    0.952947E+02    0.898195E+02
    0.455340E+03    0.101794E+03    0.491187E-02    0.106366E+03    0.100891E+03
    0.480345E+03    0.114552E+03    0.436485E-02    0.119013E+03    0.113537E+03
    0.507672E+03    0.129252E+03    0.386840E-02    0.133595E+03    0.128120E+03
    0.537826E+03    0.146391E+03    0.341550E-02    0.150609E+03    0.145134E+03
    0.571499E+03    0.166667E+03    0.299999E-02    0.170741E+03    0.165266E+03
    0.609675E+03    0.191102E+03    0.261640E-02    0.194995E+03    0.189520E+03
    0.653814E+03    0.221265E+03    0.225974E-02    0.224926E+03    0.219451E+03
    0.706225E+03    0.259710E+03    0.192522E-02    0.263116E+03    0.257640E+03
    0.770861E+03    0.310966E+03    0.160789E-02    0.314327E+03    0.308852E+03
    0.855391E+03    0.384168E+03    0.130152E-02    0.387978E+03    0.382503E+03
    0.978023E+03    0.502816E+03    0.994399E-03    0.508683E+03    0.503208E+03
    0.120442E+04    0.765557E+03    0.653119E-03    0.772657E+03    0.767182E+03
