#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   1.00000
    0.538008E+00    0.102277E+02    0.488870E-01   -0.463892E+01    0.880422E+01
    0.281337E+01    0.102231E+02    0.489088E-01   -0.463388E+01    0.879920E+01
    0.682055E+01    0.102004E+02    0.490175E-01   -0.460878E+01    0.877415E+01
    0.124157E+02    0.101367E+02    0.493258E-01   -0.453852E+01    0.870407E+01
    0.193966E+02    0.100055E+02    0.499725E-01   -0.439405E+01    0.856000E+01
    0.275110E+02    0.978297E+01    0.511092E-01   -0.414977E+01    0.831650E+01
    0.364658E+02    0.945179E+01    0.529000E-01   -0.379187E+01    0.796011E+01
    0.459371E+02    0.900423E+01    0.555295E-01   -0.332006E+01    0.749114E+01
    0.555828E+02    0.844810E+01    0.591849E-01   -0.274991E+01    0.692633E+01
    0.650541E+02    0.780449E+01    0.640657E-01   -0.210810E+01    0.629452E+01
    0.740088E+02    0.711048E+01    0.703188E-01   -0.143201E+01    0.563642E+01
    0.821233E+02    0.641728E+01    0.779146E-01   -0.767078E+00    0.500152E+01
    0.891042E+02    0.578020E+01    0.865022E-01   -0.156659E+00    0.443584E+01
    0.946993E+02    0.525100E+01    0.952200E-01    0.357830E+00    0.397810E+01
    0.987065E+02    0.486825E+01    0.102706E+00    0.739944E+00    0.365356E+01
    0.100982E+03    0.465169E+01    0.107488E+00    0.961886E+00    0.347258E+01
    0.101592E+03    0.459406E+01    0.108836E+00    0.102201E+01    0.342462E+01
    0.101899E+03    0.456506E+01    0.109528E+00    0.105234E+01    0.340061E+01
    0.102446E+03    0.451348E+01    0.110779E+00    0.110655E+01    0.335802E+01
    0.103224E+03    0.444048E+01    0.112600E+00    0.118403E+01    0.329786E+01
    0.104220E+03    0.434799E+01    0.114996E+00    0.128386E+01    0.322165E+01
    0.105418E+03    0.423735E+01    0.117998E+00    0.140486E+01    0.313135E+01
    0.106798E+03    0.411223E+01    0.121589E+00    0.154553E+01    0.302939E+01
    0.108339E+03    0.397496E+01    0.125788E+00    0.170408E+01    0.291863E+01
    0.110013E+03    0.383010E+01    0.130545E+00    0.187842E+01    0.280231E+01
    0.111794E+03    0.368151E+01    0.135814E+00    0.206614E+01    0.268396E+01
    0.113653E+03    0.353340E+01    0.141507E+00    0.226455E+01    0.256725E+01
    0.115559E+03    0.339084E+01    0.147456E+00    0.247070E+01    0.245580E+01
    0.117481E+03    0.325908E+01    0.153418E+00    0.268140E+01    0.235297E+01
    0.119387E+03    0.314149E+01    0.159160E+00    0.289329E+01    0.226160E+01
    0.121245E+03    0.303857E+01    0.164551E+00    0.310284E+01    0.218379E+01
    0.123027E+03    0.295131E+01    0.169416E+00    0.330640E+01    0.212073E+01
    0.124701E+03    0.288985E+01    0.173020E+00    0.350028E+01    0.207259E+01
    0.126241E+03    0.286182E+01    0.174714E+00    0.368081E+01    0.203855E+01
    0.127622E+03    0.281782E+01    0.177442E+00    0.384445E+01    0.201685E+01
    0.128820E+03    0.284631E+01    0.175666E+00    0.398789E+01    0.200509E+01
    0.129816E+03    0.289971E+01    0.172431E+00    0.410816E+01    0.200049E+01
    0.130594E+03    0.240466E+01    0.207930E+00    0.420273E+01    0.200027E+01
    0.131141E+03    0.269963E+01    0.185210E+00    0.426955E+01    0.200190E+01
    0.131448E+03    0.274918E+01    0.181873E+00    0.430718E+01    0.200348E+01
    0.131592E+03    0.275406E+01    0.181550E+00    0.432491E+01    0.200439E+01
    0.131899E+03    0.274136E+01    0.182391E+00    0.436268E+01    0.200666E+01
    0.132446E+03    0.271644E+01    0.184064E+00    0.443019E+01    0.201192E+01
    0.133224E+03    0.276685E+01    0.180711E+00    0.452676E+01    0.202205E+01
    0.134220E+03    0.278305E+01    0.179659E+00    0.465133E+01    0.203964E+01
    0.135418E+03    0.283078E+01    0.176630E+00    0.480252E+01    0.206778E+01
    0.136798E+03    0.286805E+01    0.174334E+00    0.497862E+01    0.210975E+01
    0.138339E+03    0.294416E+01    0.169828E+00    0.517755E+01    0.216879E+01
    0.140013E+03    0.304348E+01    0.164286E+00    0.539689E+01    0.224767E+01
    0.141794E+03    0.316466E+01    0.157995E+00    0.563385E+01    0.234836E+01
    0.143653E+03    0.331122E+01    0.151002E+00    0.588528E+01    0.247172E+01
    0.145559E+03    0.348331E+01    0.143542E+00    0.614766E+01    0.261727E+01
    0.147481E+03    0.367831E+01    0.135932E+00    0.641708E+01    0.278302E+01
    0.149387E+03    0.389174E+01    0.128477E+00    0.668924E+01    0.296559E+01
    0.151245E+03    0.411766E+01    0.121428E+00    0.695957E+01    0.316029E+01
    0.153027E+03    0.434921E+01    0.114963E+00    0.722325E+01    0.336153E+01
    0.154701E+03    0.457910E+01    0.109192E+00    0.747536E+01    0.356311E+01
    0.156241E+03    0.480013E+01    0.104164E+00    0.771101E+01    0.375859E+01
    0.157622E+03    0.500543E+01    0.998914E-01    0.792538E+01    0.394163E+01
    0.158820E+03    0.518875E+01    0.963623E-01    0.811392E+01    0.410622E+01
    0.159816E+03    0.534484E+01    0.935482E-01    0.827247E+01    0.424696E+01
    0.160594E+03    0.546845E+01    0.914337E-01    0.839740E+01    0.435922E+01
    0.161141E+03    0.555661E+01    0.899829E-01    0.848583E+01    0.443935E+01
    0.161448E+03    0.560643E+01    0.891834E-01    0.853567E+01    0.448474E+01
    0.161777E+03    0.566000E+01    0.883392E-01    0.858931E+01    0.453378E+01
    0.162872E+03    0.584064E+01    0.856071E-01    0.876905E+01    0.469934E+01
    0.164833E+03    0.617137E+01    0.810193E-01    0.909608E+01    0.500500E+01
    0.167648E+03    0.666092E+01    0.750647E-01    0.957682E+01    0.546260E+01
    0.171298E+03    0.731781E+01    0.683265E-01    0.102204E+02    0.608620E+01
    0.175760E+03    0.815005E+01    0.613493E-01    0.110390E+02    0.689051E+01
    0.181008E+03    0.916438E+01    0.545591E-01    0.120471E+02    0.789040E+01
    0.187017E+03    0.103677E+02    0.482268E-01    0.132622E+02    0.910160E+01
    0.193760E+03    0.117678E+02    0.424889E-01    0.146990E+02    0.105369E+02
    0.201213E+03    0.133748E+02    0.373836E-01    0.163646E+02    0.122021E+02
    0.209355E+03    0.151995E+02    0.328959E-01    0.182592E+02    0.140966E+02
    0.218167E+03    0.172567E+02    0.289743E-01    0.203896E+02    0.162269E+02
    0.227639E+03    0.195619E+02    0.255599E-01    0.227794E+02    0.186168E+02
    0.237763E+03    0.221341E+02    0.225895E-01    0.254602E+02    0.212976E+02
    0.248543E+03    0.249960E+02    0.200032E-01    0.284435E+02    0.242808E+02
    0.259986E+03    0.281729E+02    0.177476E-01    0.317232E+02    0.275606E+02
    0.272113E+03    0.316947E+02    0.157755E-01    0.353331E+02    0.311704E+02
    0.284953E+03    0.355978E+02    0.140458E-01    0.393338E+02    0.351712E+02
    0.298547E+03    0.399256E+02    0.125233E-01    0.437378E+02    0.395752E+02
    0.312953E+03    0.447303E+02    0.111781E-01    0.485756E+02    0.444129E+02
    0.328244E+03    0.500752E+02    0.998498E-02    0.539431E+02    0.497805E+02
    0.344512E+03    0.560382E+02    0.892249E-02    0.598953E+02    0.557327E+02
    0.361878E+03    0.627162E+02    0.797242E-02    0.665484E+02    0.623857E+02
    0.380493E+03    0.702313E+02    0.711933E-02    0.740180E+02    0.698554E+02
    0.400551E+03    0.787401E+02    0.635000E-02    0.824700E+02    0.783073E+02
    0.422302E+03    0.884476E+02    0.565306E-02    0.921099E+02    0.879472E+02
    0.446073E+03    0.996276E+02    0.501869E-02    0.103211E+03    0.990486E+02
    0.472304E+03    0.112655E+03    0.443833E-02    0.116149E+03    0.111987E+03
    0.501595E+03    0.128059E+03    0.390445E-02    0.131451E+03    0.127288E+03
    0.534803E+03    0.146619E+03    0.341020E-02    0.149891E+03    0.145729E+03
    0.573199E+03    0.169539E+03    0.294917E-02    0.172668E+03    0.168505E+03
    0.618790E+03    0.198799E+03    0.251511E-02    0.201778E+03    0.197615E+03
    0.675015E+03    0.237930E+03    0.210146E-02    0.240772E+03    0.236610E+03
    0.748546E+03    0.294096E+03    0.170013E-02    0.296798E+03    0.292635E+03
    0.855221E+03    0.385275E+03    0.129777E-02    0.387847E+03    0.383684E+03
    0.105216E+04    0.584106E+03    0.856008E-03    0.587496E+03    0.583333E+03
