#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   1.10000
    0.638873E+00    0.136007E+02    0.367627E-01   -0.653529E+01    0.119331E+02
    0.334081E+01    0.135948E+02    0.367788E-01   -0.652852E+01    0.119263E+02
    0.809926E+01    0.135651E+02    0.368594E-01   -0.649370E+01    0.118915E+02
    0.147433E+02    0.134809E+02    0.370896E-01   -0.639636E+01    0.117942E+02
    0.230330E+02    0.133038E+02    0.375832E-01   -0.619263E+01    0.115906E+02
    0.326688E+02    0.129977E+02    0.384682E-01   -0.584210E+01    0.112402E+02
    0.433023E+02    0.125349E+02    0.398885E-01   -0.532067E+01    0.107192E+02
    0.545493E+02    0.119040E+02    0.420027E-01   -0.462958E+01    0.100291E+02
    0.660033E+02    0.111130E+02    0.449925E-01   -0.379615E+01    0.919777E+01
    0.772504E+02    0.101921E+02    0.490576E-01   -0.287233E+01    0.827863E+01
    0.878839E+02    0.919492E+01    0.543779E-01   -0.191881E+01    0.733506E+01
    0.975196E+02    0.819060E+01    0.610456E-01   -0.992403E+00    0.642818E+01
    0.105809E+03    0.725999E+01    0.688706E-01   -0.148047E+00    0.561753E+01
    0.112453E+03    0.648106E+01    0.771479E-01    0.562674E+00    0.495542E+01
    0.117212E+03    0.591411E+01    0.845435E-01    0.109143E+01    0.448119E+01
    0.119914E+03    0.559257E+01    0.894043E-01    0.139949E+01    0.421463E+01
    0.120625E+03    0.550853E+01    0.907683E-01    0.148154E+01    0.414506E+01
    0.120932E+03    0.547231E+01    0.913691E-01    0.151707E+01    0.411513E+01
    0.121479E+03    0.540775E+01    0.924600E-01    0.158059E+01    0.406194E+01
    0.122256E+03    0.531617E+01    0.940527E-01    0.167138E+01    0.398664E+01
    0.123253E+03    0.519991E+01    0.961555E-01    0.178838E+01    0.389090E+01
    0.124451E+03    0.506075E+01    0.987995E-01    0.193021E+01    0.377693E+01
    0.125831E+03    0.490266E+01    0.101985E+00    0.209516E+01    0.364748E+01
    0.127371E+03    0.472909E+01    0.105729E+00    0.228114E+01    0.350583E+01
    0.129046E+03    0.454442E+01    0.110025E+00    0.248575E+01    0.335574E+01
    0.130827E+03    0.435378E+01    0.114843E+00    0.270622E+01    0.320139E+01
    0.132686E+03    0.416292E+01    0.120108E+00    0.293940E+01    0.304723E+01
    0.134592E+03    0.397731E+01    0.125713E+00    0.318182E+01    0.289783E+01
    0.136514E+03    0.380241E+01    0.131495E+00    0.342971E+01    0.275751E+01
    0.138419E+03    0.364315E+01    0.137244E+00    0.367904E+01    0.263015E+01
    0.140278E+03    0.350342E+01    0.142718E+00    0.392560E+01    0.251878E+01
    0.142060E+03    0.338582E+01    0.147675E+00    0.416505E+01    0.242540E+01
    0.143734E+03    0.329118E+01    0.151921E+00    0.439305E+01    0.235073E+01
    0.145274E+03    0.321853E+01    0.155351E+00    0.460531E+01    0.229423E+01
    0.146655E+03    0.316735E+01    0.157861E+00    0.479772E+01    0.225420E+01
    0.147853E+03    0.313727E+01    0.159374E+00    0.496640E+01    0.222806E+01
    0.148849E+03    0.311509E+01    0.160509E+00    0.510786E+01    0.221268E+01
    0.149627E+03    0.311833E+01    0.160342E+00    0.521911E+01    0.220481E+01
    0.150174E+03    0.311984E+01    0.160265E+00    0.529773E+01    0.220150E+01
    0.150480E+03    0.313149E+01    0.159668E+00    0.534201E+01    0.220046E+01
    0.150625E+03    0.316038E+01    0.158209E+00    0.536287E+01    0.220018E+01
    0.150932E+03    0.278643E+01    0.179441E+00    0.540731E+01    0.220002E+01
    0.151479E+03    0.303907E+01    0.164524E+00    0.548676E+01    0.220121E+01
    0.152256E+03    0.307668E+01    0.162513E+00    0.560040E+01    0.220625E+01
    0.153253E+03    0.308888E+01    0.161871E+00    0.574698E+01    0.221849E+01
