#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.04000 temp=   0.40000
    0.947423E+00    0.255183E+02    0.195938E-01   -0.137305E+02    0.228960E+02
    0.495429E+01    0.255043E+02    0.196045E-01   -0.137163E+02    0.228819E+02
    0.120109E+02    0.254367E+02    0.196566E-01   -0.136387E+02    0.228042E+02
    0.218638E+02    0.252500E+02    0.198020E-01   -0.134194E+02    0.225849E+02
    0.341570E+02    0.248662E+02    0.201076E-01   -0.129712E+02    0.221367E+02
    0.484465E+02    0.242055E+02    0.206565E-01   -0.122165E+02    0.213821E+02
    0.642156E+02    0.232027E+02    0.215492E-01   -0.111099E+02    0.202754E+02
    0.808945E+02    0.218301E+02    0.229042E-01   -0.965585E+01    0.188214E+02
    0.978803E+02    0.201024E+02    0.248727E-01   -0.789596E+01    0.170615E+02
    0.114559E+03    0.180786E+02    0.276571E-01   -0.590812E+01    0.150736E+02
    0.130328E+03    0.158631E+02    0.315198E-01   -0.381423E+01    0.129797E+02
    0.144618E+03    0.135984E+02    0.367691E-01   -0.176743E+01    0.109330E+02
    0.156911E+03    0.114520E+02    0.436604E-01    0.956315E-01    0.906989E+01
    0.166764E+03    0.959634E+01    0.521032E-01    0.166175E+01    0.750376E+01
    0.173820E+03    0.819241E+01    0.610321E-01    0.282551E+01    0.634001E+01
    0.177827E+03    0.736647E+01    0.678751E-01    0.350365E+01    0.566188E+01
    0.178847E+03    0.715298E+01    0.699009E-01    0.367830E+01    0.548723E+01
    0.179154E+03    0.708848E+01    0.705370E-01    0.373103E+01    0.543450E+01
    0.179701E+03    0.697336E+01    0.717015E-01    0.382518E+01    0.534035E+01
    0.180479E+03    0.680870E+01    0.734355E-01    0.395955E+01    0.520599E+01
    0.181475E+03    0.659691E+01    0.757930E-01    0.413238E+01    0.503317E+01
    0.182673E+03    0.634050E+01    0.788581E-01    0.434136E+01    0.482421E+01
    0.184053E+03    0.604282E+01    0.827428E-01    0.458370E+01    0.458191E+01
    0.185593E+03    0.570790E+01    0.875980E-01    0.485607E+01    0.430963E+01
    0.187268E+03    0.534040E+01    0.936259E-01    0.515467E+01    0.401120E+01
    0.189049E+03    0.494583E+01    0.101095E+00    0.547519E+01    0.369105E+01
    0.190908E+03    0.453073E+01    0.110357E+00    0.581287E+01    0.335418E+01
    0.192814E+03    0.410236E+01    0.121881E+00    0.616252E+01    0.300630E+01
    0.194736E+03    0.366957E+01    0.136256E+00    0.651859E+01    0.265401E+01
    0.196642E+03    0.324296E+01    0.154180E+00    0.687530E+01    0.230521E+01
    0.198500E+03    0.283473E+01    0.176384E+00    0.722666E+01    0.196954E+01
    0.200282E+03    0.245944E+01    0.203298E+00    0.756663E+01    0.165872E+01
    0.201956E+03    0.213239E+01    0.234478E+00    0.788918E+01    0.138585E+01
    0.203496E+03    0.186698E+01    0.267812E+00    0.818844E+01    0.116312E+01
    0.204877E+03    0.167062E+01    0.299290E+00    0.845881E+01    0.998016E+00
    0.206075E+03    0.154097E+01    0.324471E+00    0.869513E+01    0.890136E+00
    0.207071E+03    0.146727E+01    0.340769E+00    0.889279E+01    0.830755E+00
    0.207849E+03    0.145918E+01    0.342658E+00    0.904788E+01    0.805758E+00
    0.208396E+03    0.156867E+01    0.318741E+00    0.915729E+01    0.800028E+00
    0.208703E+03    0.137979E+01    0.362374E+00    0.921884E+01    0.801184E+00
    0.208847E+03    0.138243E+01    0.361682E+00    0.924783E+01    0.802821E+00
    0.209154E+03    0.139614E+01    0.358130E+00    0.930953E+01    0.808623E+00
    0.209701E+03    0.143364E+01    0.348762E+00    0.941972E+01    0.826745E+00
    0.210479E+03    0.147141E+01    0.339811E+00    0.957704E+01    0.869349E+00
    0.211475E+03    0.156046E+01    0.320419E+00    0.977948E+01    0.951224E+00
    0.212673E+03    0.170800E+01    0.292740E+00    0.100244E+02    0.108608E+01
    0.214053E+03    0.192552E+01    0.259670E+00    0.103086E+02    0.128229E+01
    0.215593E+03    0.221702E+01    0.225528E+00    0.106281E+02    0.154013E+01
    0.217268E+03    0.257482E+01    0.194188E+00    0.109785E+02    0.185243E+01
    0.219049E+03    0.298599E+01    0.167449E+00    0.113548E+02    0.220778E+01
    0.220908E+03    0.343625E+01    0.145507E+00    0.117515E+02    0.259406E+01
    0.222814E+03    0.391149E+01    0.127829E+00    0.121625E+02    0.300035E+01
    0.224736E+03    0.439945E+01    0.113650E+00    0.125815E+02    0.341727E+01
    0.226642E+03    0.488959E+01    0.102258E+00    0.130016E+02    0.383657E+01
    0.228500E+03    0.537232E+01    0.930697E-01    0.134159E+02    0.425055E+01
    0.230282E+03    0.583864E+01    0.856363E-01    0.138172E+02    0.465177E+01
    0.231956E+03    0.628051E+01    0.796113E-01    0.141984E+02    0.503296E+01
    0.233496E+03    0.668995E+01    0.747389E-01    0.145526E+02    0.538707E+01
    0.234877E+03    0.705893E+01    0.708323E-01    0.148729E+02    0.570735E+01
    0.236075E+03    0.738095E+01    0.677420E-01    0.151531E+02    0.598758E+01
    0.237071E+03    0.764988E+01    0.653605E-01    0.153877E+02    0.622217E+01
    0.237849E+03    0.786059E+01    0.636085E-01    0.155719E+02    0.640637E+01
    0.238396E+03    0.800920E+01    0.624282E-01    0.157019E+02    0.653638E+01
    0.238703E+03    0.809264E+01    0.617845E-01    0.157751E+02    0.660954E+01
    0.239188E+03    0.822494E+01    0.607907E-01    0.158910E+02    0.672550E+01
    0.240948E+03    0.870669E+01    0.574271E-01    0.163145E+02    0.714900E+01
    0.244100E+03    0.957850E+01    0.522002E-01    0.170848E+02    0.791927E+01
    0.248624E+03    0.108488E+02    0.460882E-01    0.182165E+02    0.905095E+01
    0.254490E+03    0.125294E+02    0.399061E-01    0.197312E+02    0.105657E+02
    0.261661E+03    0.146373E+02    0.341593E-01    0.216584E+02    0.124929E+02
    0.270096E+03    0.171927E+02    0.290821E-01    0.240344E+02    0.148689E+02
    0.279753E+03    0.202196E+02    0.247285E-01    0.269002E+02    0.177347E+02
    0.290591E+03    0.237453E+02    0.210568E-01    0.302946E+02    0.211291E+02
    0.302569E+03    0.278014E+02    0.179847E-01    0.342748E+02    0.251093E+02
    0.315654E+03    0.324233E+02    0.154210E-01    0.388946E+02    0.297291E+02
    0.329818E+03    0.376502E+02    0.132801E-01    0.441390E+02    0.349735E+02
    0.345040E+03    0.435265E+02    0.114873E-01    0.500638E+02    0.408983E+02
    0.361312E+03    0.501017E+02    0.997969E-02    0.566689E+02    0.475034E+02
    0.378637E+03    0.574331E+02    0.870578E-02    0.640032E+02    0.548377E+02
    0.397028E+03    0.655866E+02    0.762351E-02    0.720962E+02    0.629307E+02
    0.416518E+03    0.746390E+02    0.669891E-02    0.810288E+02    0.718632E+02
    0.437154E+03    0.846810E+02    0.590451E-02    0.908878E+02    0.817223E+02
    0.459004E+03    0.958209E+02    0.521807E-02    0.101776E+03    0.926102E+02
    0.482157E+03    0.108189E+03    0.462153E-02    0.113822E+03    0.104657E+03
    0.506731E+03    0.121945E+03    0.410019E-02    0.127184E+03    0.118019E+03
    0.532878E+03    0.137287E+03    0.364202E-02    0.142060E+03    0.132895E+03
    0.560788E+03    0.154459E+03    0.323710E-02    0.158713E+03    0.149548E+03
    0.590706E+03    0.173776E+03    0.287727E-02    0.177485E+03    0.168320E+03
    0.622943E+03    0.195637E+03    0.255576E-02    0.198803E+03    0.189638E+03
    0.657900E+03    0.220568E+03    0.226687E-02    0.223169E+03    0.214004E+03
    0.696105E+03    0.249274E+03    0.200583E-02    0.251245E+03    0.242080E+03
    0.738263E+03    0.282718E+03    0.176854E-02    0.284013E+03    0.274847E+03
    0.785339E+03    0.322270E+03    0.155149E-02    0.322806E+03    0.313641E+03
    0.838710E+03    0.369941E+03    0.135157E-02    0.369636E+03    0.360471E+03
    0.900420E+03    0.428834E+03    0.116595E-02    0.427592E+03    0.418427E+03
    0.973693E+03    0.504056E+03    0.991953E-03    0.501773E+03    0.492608E+03
    0.106406E+04    0.604798E+03    0.826722E-03    0.601219E+03    0.592053E+03
    0.118224E+04    0.749975E+03    0.666689E-03    0.744457E+03    0.735292E+03
    0.135368E+04    0.987993E+03    0.506076E-03    0.979623E+03    0.970458E+03
    0.167020E+04    0.151314E+04    0.330439E-03    0.149902E+04    0.148985E+04
