#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.08000 temp=   0.90000
    0.123500E+01    0.416883E+02    0.119938E-01   -0.239143E+02    0.367607E+02
    0.645811E+01    0.416645E+02    0.120006E-01   -0.238946E+02    0.367411E+02
    0.156566E+02    0.415466E+02    0.120347E-01   -0.237827E+02    0.366292E+02
    0.285002E+02    0.412172E+02    0.121308E-01   -0.234769E+02    0.363234E+02
    0.445250E+02    0.405391E+02    0.123338E-01   -0.228101E+02    0.356565E+02
    0.631518E+02    0.393790E+02    0.126971E-01   -0.216381E+02    0.344846E+02
    0.837074E+02    0.376295E+02    0.132874E-01   -0.198808E+02    0.327272E+02
    0.105449E+03    0.352366E+02    0.141898E-01   -0.174923E+02    0.303387E+02
    0.127591E+03    0.322239E+02    0.155164E-01   -0.145532E+02    0.273997E+02
    0.149332E+03    0.286885E+02    0.174286E-01   -0.112280E+02    0.240744E+02
    0.169888E+03    0.248136E+02    0.201502E-01   -0.774757E+01    0.205940E+02
    0.188515E+03    0.208462E+02    0.239851E-01   -0.428584E+01    0.171323E+02
    0.204539E+03    0.170775E+02    0.292783E-01   -0.105492E+01    0.139014E+02
    0.217383E+03    0.138148E+02    0.361931E-01    0.170675E+01    0.111398E+02
    0.226582E+03    0.113422E+02    0.440833E-01    0.378326E+01    0.906396E+01
    0.231805E+03    0.988759E+01    0.505684E-01    0.500076E+01    0.784827E+01
    0.233112E+03    0.951825E+01    0.525306E-01    0.530971E+01    0.754022E+01
    0.233419E+03    0.943125E+01    0.530152E-01    0.538248E+01    0.746771E+01
    0.233966E+03    0.927591E+01    0.539031E-01    0.551238E+01    0.733832E+01
    0.234743E+03    0.905443E+01    0.552216E-01    0.569766E+01    0.715387E+01
    0.235740E+03    0.876985E+01    0.570135E-01    0.593580E+01    0.691705E+01
    0.236938E+03    0.842625E+01    0.593383E-01    0.622351E+01    0.663139E+01
    0.238318E+03    0.802889E+01    0.622751E-01    0.655675E+01    0.630132E+01
    0.239858E+03    0.758407E+01    0.659277E-01    0.693077E+01    0.593225E+01
    0.241533E+03    0.709945E+01    0.704280E-01    0.734015E+01    0.553061E+01
    0.243314E+03    0.658420E+01    0.759394E-01    0.777879E+01    0.510414E+01
    0.245173E+03    0.604936E+01    0.826533E-01    0.823995E+01    0.466198E+01
    0.247079E+03    0.550771E+01    0.907818E-01    0.871637E+01    0.421490E+01
    0.249001E+03    0.497397E+01    0.100523E+00    0.920035E+01    0.377524E+01
    0.250906E+03    0.446440E+01    0.111997E+00    0.968397E+01    0.335663E+01
    0.252765E+03    0.399588E+01    0.125129E+00    0.101591E+02    0.297313E+01
    0.254547E+03    0.358461E+01    0.139485E+00    0.106178E+02    0.263772E+01
    0.256221E+03    0.324300E+01    0.154178E+00    0.110518E+02    0.236030E+01
    0.257761E+03    0.297291E+01    0.168185E+00    0.114537E+02    0.214567E+01
    0.259142E+03    0.278546E+01    0.179504E+00    0.118160E+02    0.199247E+01
    0.260340E+03    0.266170E+01    0.187850E+00    0.121321E+02    0.189351E+01
    0.261336E+03    0.259217E+01    0.192888E+00    0.123962E+02    0.183739E+01
    0.262114E+03    0.258001E+01    0.193798E+00    0.126032E+02    0.181095E+01
    0.262661E+03    0.247565E+01    0.201967E+00    0.127490E+02    0.180176E+01
    0.262968E+03    0.307735E+01    0.162477E+00    0.128311E+02    0.180004E+01
    0.263112E+03    0.213280E+01    0.234434E+00    0.128697E+02    0.180010E+01
    0.263419E+03    0.252738E+01    0.197833E+00    0.129519E+02    0.180206E+01
    0.263966E+03    0.249219E+01    0.200626E+00    0.130985E+02    0.181175E+01
    0.264743E+03    0.255519E+01    0.195680E+00    0.133078E+02    0.183924E+01
    0.265740E+03    0.261503E+01    0.191203E+00    0.135768E+02    0.189771E+01
    0.266938E+03    0.272524E+01    0.183470E+00    0.139018E+02    0.200168E+01
    0.268318E+03    0.292800E+01    0.170765E+00    0.142784E+02    0.216459E+01
    0.269858E+03    0.318975E+01    0.156752E+00    0.147011E+02    0.239601E+01
    0.271533E+03    0.354641E+01    0.140988E+00    0.151639E+02    0.269953E+01
    0.273314E+03    0.398692E+01    0.125410E+00    0.156600E+02    0.307185E+01
    0.275173E+03    0.449757E+01    0.111171E+00    0.161820E+02    0.350359E+01
    0.277079E+03    0.506258E+01    0.987639E-01    0.167218E+02    0.398128E+01
    0.279001E+03    0.566331E+01    0.882876E-01    0.172707E+02    0.448962E+01
    0.280906E+03    0.628104E+01    0.796046E-01    0.178201E+02    0.501336E+01
    0.282765E+03    0.689876E+01    0.724768E-01    0.183606E+02    0.553824E+01
    0.284547E+03    0.750117E+01    0.666562E-01    0.188830E+02    0.605133E+01
    0.286221E+03    0.807465E+01    0.619222E-01    0.193782E+02    0.654096E+01
    0.287761E+03    0.860711E+01    0.580915E-01    0.198372E+02    0.699667E+01
