    0.122190E+00    0.548958E+99
    0.643251E+00    0.365391E+99
    0.157839E+01    0.740283E+97
    0.292388E+01   -0.498391E+99
    0.467412E+01   -0.952919E+99
    0.682176E+01   -0.820525E+99
    0.935780E+01    0.940322E+99
    0.122716E+02    0.451762+100
    0.155510E+02    0.711772+100
    0.191821E+02    0.327792+100
    0.231498E+02   -0.139760+101
    0.274374E+02   -0.371402+101
    0.320270E+02   -0.432152+101
    0.368992E+02    0.613758E+99
    0.420337E+02    0.114026+102
    0.474089E+02    0.222606+102
    0.530023E+02    0.203991+102
    0.587903E+02   -0.904669+101
    0.647488E+02   -0.659307+102
    0.708528E+02   -0.109747+103
    0.770765E+02   -0.887069+102
    0.833940E+02    0.530837+102
    0.897787E+02    0.296831+103
    0.962039E+02    0.477353+103
    0.102643E+03    0.408886+103
    0.109068E+03   -0.922064+102
    0.115453E+03   -0.101188+104
    0.121770E+03   -0.181904+104
    0.127994E+03   -0.193196+104
    0.134098E+03   -0.831983+103
    0.140056E+03    0.182639+104
    0.145844E+03    0.511020+104
    0.151438E+03    0.738871+104
    0.156813E+03    0.734322+104
    0.161947E+03    0.401702+104
    0.166820E+03   -0.313314+104
    0.171409E+03   -0.126554+105
    0.175697E+03   -0.213162+105
    0.179664E+03   -0.268435+105
    0.183296E+03   -0.280254+105
    0.186575E+03   -0.245699+105
    0.189489E+03   -0.169352+105
    0.192025E+03   -0.613925+104
    0.194172E+03    0.640975+104
    0.195923E+03    0.186724+105
    0.197268E+03    0.288822+105
    0.198203E+03    0.361904+105
    0.198724E+03    0.402915+105
    0.198865E+03    0.413991+105
    0.198944E+03    0.420204+105
    0.199086E+03    0.431370+105
    0.199291E+03    0.447462+105
    0.199558E+03    0.468423+105
    0.199888E+03    0.494155+105
    0.200281E+03    0.524495+105
    0.200735E+03    0.559193+105
    0.201250E+03    0.597883+105
    0.201826E+03    0.640051+105
    0.202462E+03    0.685005+105
    0.203158E+03    0.731828+105
    0.203913E+03    0.779350+105
    0.204726E+03    0.826100+105
    0.205596E+03    0.870268+105
    0.206523E+03    0.909661+105
    0.207505E+03    0.941667+105
    0.208543E+03    0.963210+105
    0.209634E+03    0.970715+105
    0.210777E+03    0.960071+105
    0.211972E+03    0.926599+105
    0.213217E+03    0.865025+105
    0.214512E+03    0.769454+105
    0.215854E+03    0.633352+105
    0.217243E+03    0.449531+105
    0.218677E+03    0.210142+105
    0.220155E+03   -0.932379+104
    0.221675E+03   -0.461484+105
    0.223235E+03   -0.879677+105
    0.224836E+03   -0.132817+106
    0.226474E+03   -0.178391+106
    0.228148E+03   -0.222052+106
    0.229856E+03   -0.260827+106
    0.231598E+03   -0.291425+106
    0.233370E+03   -0.310247+106
    0.235172E+03   -0.313404+106
    0.237002E+03   -0.296733+106
    0.238858E+03   -0.255830+106
    0.240737E+03   -0.186069+106
    0.242639E+03   -0.826366+105
    0.244561E+03    0.592188+105
    0.246502E+03    0.234939+106
    0.248459E+03    0.426614+106
    0.250431E+03    0.614403+106
    0.252416E+03    0.777587+106
    0.254411E+03    0.894754+106
    0.256415E+03    0.943997+106
    0.258426E+03    0.903107+106
    0.260443E+03    0.749788+106
    0.262462E+03    0.461863+106
    0.264482E+03    0.174885+105
    0.266501E+03   -0.584378+106
    0.268517E+03   -0.125500+107
    0.270528E+03   -0.188165+107
    0.272532E+03   -0.235341+107
    0.274528E+03   -0.256225+107
    0.276512E+03   -0.240402+107
    0.278484E+03   -0.177950+107
    0.280441E+03   -0.595315+106
    0.282382E+03    0.120531+107
    0.284304E+03    0.328353+107
    0.286206E+03    0.504624+107
    0.288086E+03    0.593290+107
    0.289941E+03    0.542602+107
    0.291771E+03    0.305518+107
    0.293573E+03   -0.158053+107
    0.295345E+03   -0.725280+107
    0.297087E+03   -0.101555+108
    0.298796E+03   -0.662584+107
    0.300470E+03    0.528386+107
    0.302108E+03    0.200912+108
    0.303708E+03    0.726158+109
    0.305269E+03   -0.653701+109
    0.306789E+03   -0.818185+110
    0.308267E+03    0.115509+111
    0.309700E+03    0.181107+112
    0.311089E+03   -0.129069+113
    0.312432E+03    0.412249+113
    0.313726E+03   -0.348034+113
    0.314971E+03   -0.182145+114
    0.316166E+03    0.569593+114
    0.317310E+03    0.133398+114
    0.318401E+03   -0.273807+115
    0.319438E+03    0.158918+115
    0.320421E+03    0.101711+116
    0.321347E+03   -0.791402+115
    0.322218E+03   -0.356545+116
    0.323031E+03    0.148133+116
    0.323786E+03    0.115995+117
    0.324481E+03    0.415309+116
    0.325118E+03   -0.277852+117
    0.325694E+03   -0.379956+117
    0.326209E+03    0.128085+117
    0.326663E+03    0.987160+117
    0.327055E+03    0.125889+118
    0.327385E+03    0.578641+117
    0.327652E+03   -0.872750+117
    0.327857E+03   -0.228916+118
    0.327999E+03   -0.315099+118
    0.328078E+03   -0.351824+118
    0.328098E+03   -0.359209+118
    0.328102E+03   -0.360655+118
    0.328109E+03   -0.363172+118
    0.328120E+03   -0.366616+118
    0.328133E+03   -0.370767+118
    0.328150E+03   -0.375326+118
    0.328170E+03   -0.379901+118
    0.328194E+03   -0.384000+118
    0.328220E+03   -0.387009+118
    0.328250E+03   -0.388182+118
    0.328282E+03   -0.386621+118
    0.328318E+03   -0.381255+118
    0.328357E+03   -0.370826+118
    0.328398E+03   -0.353861+118
    0.328443E+03   -0.328659+118
    0.328490E+03   -0.293264+118
    0.328541E+03   -0.245450+118
    0.328594E+03   -0.182698+118
    0.328650E+03   -0.102181+118
    0.328709E+03   -0.746530+115
    0.328770E+03    0.123847+118
    0.328834E+03    0.268429+118
    0.328900E+03    0.427024+118
    0.328969E+03    0.591881+118
    0.329040E+03    0.753388+118
    0.329114E+03    0.899989+118
    0.329190E+03    0.101813+119
    0.329267E+03    0.109220+119
    0.329347E+03    0.110457+119
    0.329430E+03    0.103551+119
    0.329514E+03    0.863284+118
    0.329599E+03    0.564176+118
    0.329687E+03    0.112550+118
    0.329776E+03   -0.508317+118
    0.329867E+03   -0.123362+119
    0.329960E+03   -0.195258+119
    0.330053E+03   -0.254293+119
    0.330149E+03   -0.287183+119
    0.330245E+03   -0.279670+119
    0.330343E+03   -0.216622+119
    0.330441E+03   -0.821403+118
    0.330541E+03    0.136815+119
    0.330641E+03    0.395623+119
    0.330742E+03    0.599372+119
    0.330844E+03    0.647679+119
    0.330946E+03    0.436928+119
    0.331049E+03   -0.137698+119
    0.331152E+03   -0.898600+119
    0.331256E+03   -0.100114+120
    0.331359E+03    0.483064+119
    0.331463E+03    0.827664+119
    0.331566E+03   -0.780394+120
    0.331670E+03   -0.154283+121
    0.331773E+03   -0.430635+120
    0.331876E+03    0.382445+121
    0.331978E+03    0.949399+121
    0.332080E+03    0.137549+122
    0.332181E+03    0.138779+122
    0.332281E+03    0.725547+121
    0.332381E+03   -0.844096+121
    0.332479E+03   -0.317110+122
    0.332577E+03   -0.570922+122
