#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   1.00000
    0.638873E+00    0.136198E+02    0.367114E-01   -0.652687E+01    0.119453E+02
    0.334081E+01    0.136138E+02    0.367274E-01   -0.652008E+01    0.119385E+02
    0.809926E+01    0.135840E+02    0.368079E-01   -0.648519E+01    0.119036E+02
    0.147433E+02    0.134998E+02    0.370376E-01   -0.638766E+01    0.118061E+02
    0.230330E+02    0.133225E+02    0.375306E-01   -0.618345E+01    0.116019E+02
    0.326688E+02    0.130159E+02    0.384147E-01   -0.583196E+01    0.112505E+02
    0.433023E+02    0.125520E+02    0.398342E-01   -0.530918E+01    0.107279E+02
    0.545493E+02    0.119195E+02    0.419482E-01   -0.461667E+01    0.100358E+02
    0.660033E+02    0.111257E+02    0.449409E-01   -0.378228E+01    0.920239E+01
    0.772504E+02    0.102006E+02    0.490167E-01   -0.285834E+01    0.828080E+01
    0.878839E+02    0.919661E+01    0.543679E-01   -0.190554E+01    0.733346E+01
    0.975196E+02    0.818202E+01    0.611096E-01   -0.980353E+00    0.641993E+01
    0.105809E+03    0.723697E+01    0.690897E-01   -0.137360E+00    0.559873E+01
    0.112453E+03    0.644063E+01    0.776322E-01    0.572126E+00    0.492289E+01
    0.117212E+03    0.585684E+01    0.853703E-01    0.109994E+01    0.443493E+01
    0.119914E+03    0.552379E+01    0.905176E-01    0.140743E+01    0.415884E+01
    0.120625E+03    0.543649E+01    0.919711E-01    0.148933E+01    0.408654E+01
    0.120932E+03    0.539879E+01    0.926133E-01    0.152480E+01    0.405540E+01
    0.121479E+03    0.533158E+01    0.937808E-01    0.158820E+01    0.400003E+01
    0.122256E+03    0.523615E+01    0.954900E-01    0.167882E+01    0.392151E+01
    0.123253E+03    0.511476E+01    0.977564E-01    0.179561E+01    0.382148E+01
    0.124451E+03    0.496913E+01    0.100621E+00    0.193719E+01    0.370212E+01
    0.125831E+03    0.480320E+01    0.104097E+00    0.210183E+01    0.356613E+01
    0.127371E+03    0.462042E+01    0.108215E+00    0.228747E+01    0.341680E+01
    0.129046E+03    0.442523E+01    0.112988E+00    0.249172E+01    0.325791E+01
    0.130827E+03    0.422286E+01    0.118403E+00    0.271179E+01    0.309375E+01
    0.132686E+03    0.401924E+01    0.124402E+00    0.294456E+01    0.292899E+01
    0.134592E+03    0.382025E+01    0.130881E+00    0.318655E+01    0.276844E+01
    0.136514E+03    0.363177E+01    0.137674E+00    0.343400E+01    0.261682E+01
    0.138419E+03    0.345922E+01    0.144541E+00    0.368289E+01    0.247840E+01
    0.140278E+03    0.330704E+01    0.151193E+00    0.392902E+01    0.235666E+01
    0.142060E+03    0.317827E+01    0.157319E+00    0.416805E+01    0.225396E+01
    0.143734E+03    0.307400E+01    0.162655E+00    0.439565E+01    0.217132E+01
    0.145274E+03    0.299322E+01    0.167044E+00    0.460755E+01    0.210836E+01
    0.146655E+03    0.293573E+01    0.170315E+00    0.479963E+01    0.206338E+01
    0.147853E+03    0.290221E+01    0.172282E+00    0.496803E+01    0.203367E+01
    0.148849E+03    0.287513E+01    0.173905E+00    0.510927E+01    0.201589E+01
    0.149627E+03    0.287709E+01    0.173787E+00    0.522034E+01    0.200652E+01
    0.150174E+03    0.287020E+01    0.174204E+00    0.529883E+01    0.200238E+01
    0.150480E+03    0.286974E+01    0.174232E+00    0.534303E+01    0.200094E+01
    0.150625E+03    0.288030E+01    0.173593E+00    0.536387E+01    0.200049E+01
    0.150932E+03    0.318254E+01    0.157107E+00    0.540823E+01    0.200002E+01
    0.151479E+03    0.278425E+01    0.179581E+00    0.548756E+01    0.200080E+01
    0.152256E+03    0.283741E+01    0.176217E+00    0.560102E+01    0.200556E+01
    0.153253E+03    0.284695E+01    0.175626E+00    0.574737E+01    0.201802E+01
    0.154451E+03    0.287955E+01    0.173638E+00    0.592498E+01    0.204261E+01
    0.155831E+03    0.292851E+01    0.170735E+00    0.613179E+01    0.208415E+01
    0.157371E+03    0.299991E+01    0.166671E+00    0.636529E+01    0.214729E+01
    0.159046E+03    0.310064E+01    0.161257E+00    0.662250E+01    0.223606E+01
