#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03000 temp=   0.40000
    0.846253E+00    0.209181E+02    0.239027E-01   -0.111671E+02    0.188601E+02
    0.442525E+01    0.209068E+02    0.239157E-01   -0.111556E+02    0.188487E+02
    0.107283E+02    0.208514E+02    0.239792E-01   -0.110944E+02    0.187874E+02
    0.195291E+02    0.206985E+02    0.241564E-01   -0.109191E+02    0.186122E+02
    0.305096E+02    0.203858E+02    0.245269E-01   -0.105480E+02    0.182411E+02
    0.432731E+02    0.198514E+02    0.251871E-01   -0.991705E+01    0.176101E+02
    0.573584E+02    0.190473E+02    0.262504E-01   -0.900824E+01    0.167013E+02
    0.722562E+02    0.179514E+02    0.278530E-01   -0.782883E+01    0.155219E+02
    0.874282E+02    0.165756E+02    0.301649E-01   -0.639889E+01    0.140920E+02
    0.102326E+03    0.149696E+02    0.334009E-01   -0.478719E+01    0.124803E+02
    0.116411E+03    0.132184E+02    0.378262E-01   -0.310531E+01    0.107984E+02
    0.129175E+03    0.114345E+02    0.437274E-01   -0.146907E+01    0.916214E+01
    0.140155E+03    0.974586E+01    0.513038E-01    0.142768E-01    0.767880E+01
    0.148956E+03    0.828406E+01    0.603569E-01    0.125420E+01    0.643887E+01
    0.155259E+03    0.717485E+01    0.696879E-01    0.217383E+01    0.551925E+01
    0.158838E+03    0.652193E+01    0.766644E-01    0.270820E+01    0.498491E+01
    0.159757E+03    0.635183E+01    0.787175E-01    0.284677E+01    0.484636E+01
    0.160064E+03    0.629467E+01    0.794323E-01    0.289320E+01    0.479993E+01
    0.160610E+03    0.619261E+01    0.807413E-01    0.297611E+01    0.471704E+01
    0.161388E+03    0.604685E+01    0.826877E-01    0.309441E+01    0.459875E+01
    0.162384E+03    0.585895E+01    0.853395E-01    0.324657E+01    0.444663E+01
    0.163583E+03    0.563123E+01    0.887906E-01    0.343056E+01    0.426272E+01
    0.164963E+03    0.536671E+01    0.931670E-01    0.364387E+01    0.404953E+01
    0.166503E+03    0.506870E+01    0.986447E-01    0.388358E+01    0.381005E+01
    0.168178E+03    0.474134E+01    0.105455E+00    0.414631E+01    0.354776E+01
    0.169959E+03    0.438955E+01    0.113907E+00    0.442828E+01    0.326665E+01
    0.171818E+03    0.401908E+01    0.124407E+00    0.472535E+01    0.297129E+01
    0.173724E+03    0.363681E+01    0.137483E+00    0.503300E+01    0.266697E+01
    0.175645E+03    0.325063E+01    0.153816E+00    0.534642E+01    0.235998E+01
    0.177551E+03    0.287036E+01    0.174194E+00    0.566059E+01    0.205789E+01
    0.179410E+03    0.250771E+01    0.199385E+00    0.597033E+01    0.176980E+01
    0.181191E+03    0.217543E+01    0.229840E+00    0.627037E+01    0.150627E+01
    0.182866E+03    0.188646E+01    0.265047E+00    0.655541E+01    0.127823E+01
    0.184406E+03    0.165228E+01    0.302613E+00    0.682018E+01    0.109483E+01
    0.185786E+03    0.148252E+01    0.337264E+00    0.705964E+01    0.960586E+00
    0.186984E+03    0.138995E+01    0.359726E+00    0.726912E+01    0.873523E+00
    0.187981E+03    0.131332E+01    0.380714E+00    0.744446E+01    0.825590E+00
    0.188759E+03    0.126765E+01    0.394431E+00    0.758210E+01    0.805124E+00
    0.189305E+03    0.107401E+01    0.465545E+00    0.767925E+01    0.800080E+00
    0.189612E+03    0.104004E+01    0.480751E+00    0.773391E+01    0.800695E+00
    0.189757E+03    0.107644E+01    0.464493E+00    0.775966E+01    0.801847E+00
    0.190064E+03    0.120702E+01    0.414242E+00    0.781447E+01    0.806131E+00
    0.190610E+03    0.131462E+01    0.380338E+00    0.791239E+01    0.819943E+00
    0.191388E+03    0.127975E+01    0.390702E+00    0.805227E+01    0.853051E+00
    0.192384E+03    0.137249E+01    0.364301E+00    0.823241E+01    0.917682E+00
    0.193583E+03    0.151221E+01    0.330643E+00    0.845059E+01    0.102592E+01
    0.194963E+03    0.169935E+01    0.294230E+00    0.870406E+01    0.118648E+01
    0.196503E+03    0.195117E+01    0.256256E+00    0.898957E+01    0.140205E+01
    0.198178E+03    0.226804E+01    0.220455E+00    0.930330E+01    0.166877E+01
    0.199959E+03    0.264008E+01    0.189388E+00    0.964085E+01    0.197792E+01
    0.201818E+03    0.304738E+01    0.164075E+00    0.999722E+01    0.231871E+01
    0.203724E+03    0.347919E+01    0.143711E+00    0.103669E+02    0.268056E+01
    0.205645E+03    0.392366E+01    0.127432E+00    0.107441E+02    0.305401E+01
    0.207551E+03    0.437043E+01    0.114405E+00    0.111226E+02    0.343079E+01
    0.209410E+03    0.481030E+01    0.103944E+00    0.114959E+02    0.380343E+01
    0.211191E+03    0.523529E+01    0.955057E-01    0.118577E+02    0.416489E+01
    0.212866E+03    0.563739E+01    0.886935E-01    0.122014E+02    0.450844E+01
    0.214406E+03    0.600982E+01    0.831972E-01    0.125207E+02    0.482767E+01
    0.215786E+03    0.634585E+01    0.787917E-01    0.128095E+02    0.511646E+01
    0.216984E+03    0.663915E+01    0.753109E-01    0.130622E+02    0.536919E+01
    0.217981E+03    0.688411E+01    0.726311E-01    0.132739E+02    0.558081E+01
    0.218759E+03    0.707614E+01    0.706600E-01    0.134401E+02    0.574700E+01
    0.219305E+03    0.721139E+01    0.693348E-01    0.135574E+02    0.586432E+01
    0.219612E+03    0.728749E+01    0.686107E-01    0.136234E+02    0.593035E+01
    0.220059E+03    0.739826E+01    0.675834E-01    0.137198E+02    0.602669E+01
    0.221654E+03    0.779585E+01    0.641367E-01    0.140662E+02    0.637314E+01
    0.224513E+03    0.851458E+01    0.587228E-01    0.146961E+02    0.700303E+01
    0.228615E+03    0.956062E+01    0.522979E-01    0.156217E+02    0.792867E+01
    0.233933E+03    0.109443E+02    0.456858E-01    0.168630E+02    0.916993E+01
    0.240434E+03    0.126788E+02    0.394360E-01    0.184475E+02    0.107544E+02
    0.248081E+03    0.147786E+02    0.338326E-01    0.204101E+02    0.127170E+02
    0.256837E+03    0.172626E+02    0.289643E-01    0.227933E+02    0.151003E+02
    0.266663E+03    0.201535E+02    0.248095E-01    0.256420E+02    0.179489E+02
    0.277523E+03    0.234769E+02    0.212975E-01    0.289757E+02    0.212826E+02
    0.289387E+03    0.272614E+02    0.183409E-01    0.328062E+02    0.251132E+02
    0.302228E+03    0.315380E+02    0.158539E-01    0.371876E+02    0.294945E+02
    0.316029E+03    0.363429E+02    0.137578E-01    0.421177E+02    0.344246E+02
    0.330782E+03    0.417165E+02    0.119857E-01    0.475961E+02    0.399030E+02
    0.346489E+03    0.477044E+02    0.104812E-01    0.536817E+02    0.459886E+02
    0.363164E+03    0.543600E+02    0.919794E-02    0.603950E+02    0.527019E+02
