
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.909731E-02    1.000000E-04    1.050000E+00    2.527036E+00
    3.909731E-02    1.001000E-01    1.050000E+00    2.527036E+00
    3.909731E-02    2.001000E-01    1.050000E+00    2.527030E+00
    3.909731E-02    3.001000E-01    1.050000E+00    2.526548E+00
    3.909731E-02    4.001000E-01    1.050000E+00    2.522433E+00
    3.909731E-02    5.001000E-01    1.050000E+00    2.508621E+00
    3.909731E-02    6.001000E-01    1.050000E+00    2.478883E+00
    3.909731E-02    7.001000E-01    1.050000E+00    2.428004E+00
    3.909731E-02    8.001000E-01    1.050000E+00    2.351405E+00
    3.909731E-02    9.001000E-01    1.050000E+00    2.244275E+00
    3.909731E-02    1.000100E+00    1.050000E+00    2.100475E+00
    3.909731E-02    1.100100E+00    1.050000E+00    1.910756E+00
    3.909731E-02    1.200100E+00    1.050000E+00    1.658804E+00
    3.909731E-02    1.300100E+00    1.050000E+00    1.308818E+00
    3.909731E-02    1.400100E+00    1.050000E+00    7.315023E-01
    3.909731E-02    1.500100E+00    1.050000E+00    5.373054E-06
