#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.04000 temp=   0.20000
    0.947423E+00    0.254034E+02    0.196824E-01   -0.132784E+02    0.227927E+02
    0.495429E+01    0.253896E+02    0.196931E-01   -0.132650E+02    0.227794E+02
    0.120109E+02    0.253221E+02    0.197456E-01   -0.131886E+02    0.227029E+02
    0.218638E+02    0.251351E+02    0.198925E-01   -0.129688E+02    0.224831E+02
    0.341570E+02    0.247508E+02    0.202014E-01   -0.125147E+02    0.220290E+02
    0.484465E+02    0.240902E+02    0.207553E-01   -0.117547E+02    0.212690E+02
    0.642156E+02    0.230894E+02    0.216550E-01   -0.106550E+02    0.201693E+02
    0.808945E+02    0.217206E+02    0.230196E-01   -0.921949E+01    0.187338E+02
    0.978803E+02    0.199976E+02    0.250031E-01   -0.749372E+01    0.170080E+02
    0.114559E+03    0.179792E+02    0.278099E-01   -0.555311E+01    0.150674E+02
    0.130328E+03    0.157706E+02    0.317046E-01   -0.350245E+01    0.130168E+02
    0.144618E+03    0.135147E+02    0.369968E-01   -0.148403E+01    0.109983E+02
    0.156911E+03    0.113779E+02    0.439450E-01    0.367725E+00    0.914659E+01
    0.166764E+03    0.953037E+01    0.524639E-01    0.193376E+01    0.758056E+01
    0.173820E+03    0.813249E+01    0.614818E-01    0.310266E+01    0.641166E+01
    0.177827E+03    0.730972E+01    0.684021E-01    0.378573E+01    0.572859E+01
    0.178847E+03    0.709661E+01    0.704561E-01    0.396181E+01    0.555251E+01
    0.179154E+03    0.703227E+01    0.711008E-01    0.401498E+01    0.549934E+01
    0.179701E+03    0.691721E+01    0.722835E-01    0.410993E+01    0.540438E+01
    0.180479E+03    0.675281E+01    0.740433E-01    0.424548E+01    0.526884E+01
    0.181475E+03    0.654134E+01    0.764369E-01    0.441986E+01    0.509445E+01
    0.182673E+03    0.628568E+01    0.795459E-01    0.463082E+01    0.488350E+01
    0.184053E+03    0.598923E+01    0.834832E-01    0.487554E+01    0.463878E+01
    0.185593E+03    0.565575E+01    0.884056E-01    0.515072E+01    0.436360E+01
    0.187268E+03    0.528934E+01    0.945297E-01    0.545254E+01    0.406178E+01
    0.189049E+03    0.489497E+01    0.102146E+00    0.577662E+01    0.373770E+01
    0.190908E+03    0.447855E+01    0.111643E+00    0.611811E+01    0.339621E+01
    0.192814E+03    0.404656E+01    0.123562E+00    0.647169E+01    0.304263E+01
    0.194736E+03    0.360642E+01    0.138642E+00    0.683170E+01    0.268262E+01
    0.196642E+03    0.316557E+01    0.157949E+00    0.719223E+01    0.232213E+01
    0.198500E+03    0.273241E+01    0.182988E+00    0.754723E+01    0.196730E+01
