#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.06000 temp=   0.40000
    0.110754E+01    0.337835E+02    0.148001E-01   -0.185367E+02    0.298151E+02
    0.579156E+01    0.337650E+02    0.148082E-01   -0.185168E+02    0.297951E+02
    0.140407E+02    0.336742E+02    0.148482E-01   -0.184208E+02    0.296992E+02
    0.255587E+02    0.334208E+02    0.149608E-01   -0.181653E+02    0.294437E+02
    0.399295E+02    0.328908E+02    0.152018E-01   -0.176130E+02    0.288914E+02
    0.566338E+02    0.319754E+02    0.156370E-01   -0.166502E+02    0.279286E+02
    0.750679E+02    0.305950E+02    0.163426E-01   -0.151838E+02    0.264621E+02
    0.945655E+02    0.287081E+02    0.174167E-01   -0.132032E+02    0.244816E+02
    0.114422E+03    0.263312E+02    0.189889E-01   -0.108278E+02    0.221061E+02
    0.133920E+03    0.235441E+02    0.212368E-01   -0.820751E+01    0.194859E+02
    0.152354E+03    0.204880E+02    0.244045E-01   -0.546836E+01    0.167467E+02
    0.169058E+03    0.173617E+02    0.287991E-01   -0.274851E+01    0.140269E+02
    0.183429E+03    0.143954E+02    0.347334E-01   -0.229300E+00    0.115077E+02
    0.194947E+03    0.118282E+02    0.422718E-01    0.190876E+01    0.936961E+01
    0.203196E+03    0.988276E+01    0.505931E-01    0.351255E+01    0.776582E+01
    0.207880E+03    0.873675E+01    0.572295E-01    0.445216E+01    0.682621E+01
    0.209060E+03    0.844333E+01    0.592183E-01    0.469213E+01    0.658624E+01
    0.209367E+03    0.836669E+01    0.597608E-01    0.475477E+01    0.652360E+01
    0.209913E+03    0.822984E+01    0.607545E-01    0.486661E+01    0.641176E+01
    0.210691E+03    0.803433E+01    0.622329E-01    0.502620E+01    0.625216E+01
    0.211687E+03    0.778270E+01    0.642451E-01    0.523145E+01    0.604692E+01
    0.212886E+03    0.747824E+01    0.668607E-01    0.547959E+01    0.579878E+01
    0.214266E+03    0.712494E+01    0.701760E-01    0.576722E+01    0.551115E+01
    0.215806E+03    0.672771E+01    0.743195E-01    0.609035E+01    0.518804E+01
    0.217481E+03    0.629201E+01    0.794658E-01    0.644434E+01    0.483408E+01
    0.219262E+03    0.582444E+01    0.858451E-01    0.682404E+01    0.445445E+01
    0.221121E+03    0.533190E+01    0.937753E-01    0.722375E+01    0.405494E+01
    0.223027E+03    0.482238E+01    0.103683E+00    0.763732E+01    0.364186E+01
    0.224948E+03    0.430467E+01    0.116153E+00    0.805822E+01    0.322220E+01
    0.226854E+03    0.378943E+01    0.131946E+00    0.847959E+01    0.280390E+01
    0.228713E+03    0.328900E+01    0.152022E+00    0.889434E+01    0.239636E+01
    0.230494E+03    0.281839E+01    0.177406E+00    0.929532E+01    0.201113E+01
    0.232169E+03    0.239497E+01    0.208771E+00    0.967544E+01    0.166229E+01
