#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.02000 temp=   0.60000
    0.719171E+00    0.165047E+02    0.302944E-01   -0.836286E+01    0.148098E+02
    0.376071E+01    0.164970E+02    0.303086E-01   -0.835315E+01    0.148001E+02
    0.911723E+01    0.164580E+02    0.303804E-01   -0.830687E+01    0.147538E+02
    0.165964E+02    0.163481E+02    0.305847E-01   -0.818119E+01    0.146281E+02
    0.259280E+02    0.161226E+02    0.310124E-01   -0.792469E+01    0.143716E+02
    0.367748E+02    0.157382E+02    0.317698E-01   -0.748710E+01    0.139340E+02
    0.487449E+02    0.151574E+02    0.329872E-01   -0.683227E+01    0.132792E+02
    0.614055E+02    0.143648E+02    0.348074E-01   -0.595905E+01    0.124060E+02
    0.742991E+02    0.133707E+02    0.373953E-01   -0.490363E+01    0.113506E+02
    0.869598E+02    0.122096E+02    0.409513E-01   -0.372664E+01    0.101736E+02
    0.989298E+02    0.109433E+02    0.456899E-01   -0.250644E+01    0.895339E+01
    0.109777E+03    0.965132E+01    0.518064E-01   -0.132122E+01    0.776819E+01
    0.119108E+03    0.843077E+01    0.593066E-01   -0.240863E+00    0.668800E+01
    0.126587E+03    0.737866E+01    0.677629E-01    0.666493E+00    0.578120E+01
    0.131944E+03    0.658487E+01    0.759316E-01    0.134120E+01    0.510780E+01
    0.134985E+03    0.612027E+01    0.816957E-01    0.173377E+01    0.471683E+01
    0.135777E+03    0.599788E+01    0.833628E-01    0.183700E+01    0.461418E+01
    0.136084E+03    0.595022E+01    0.840305E-01    0.187716E+01    0.457428E+01
    0.136631E+03    0.586517E+01    0.852490E-01    0.194888E+01    0.450306E+01
    0.137408E+03    0.574388E+01    0.870492E-01    0.205128E+01    0.440145E+01
    0.138405E+03    0.558750E+01    0.894855E-01    0.218307E+01    0.427087E+01
    0.139603E+03    0.539866E+01    0.926157E-01    0.234256E+01    0.411316E+01
    0.140983E+03    0.517976E+01    0.965295E-01    0.252769E+01    0.393067E+01
    0.142523E+03    0.493407E+01    0.101336E+00    0.273600E+01    0.372626E+01
    0.144198E+03    0.466576E+01    0.107164E+00    0.296465E+01    0.350336E+01
    0.145979E+03    0.437991E+01    0.114158E+00    0.321042E+01    0.326606E+01
    0.147838E+03    0.408232E+01    0.122479E+00    0.346974E+01    0.301917E+01
    0.149744E+03    0.377984E+01    0.132281E+00    0.373869E+01    0.276826E+01
    0.151665E+03    0.348012E+01    0.143673E+00    0.401307E+01    0.251962E+01
    0.153571E+03    0.319135E+01    0.156673E+00    0.428848E+01    0.228004E+01
    0.155430E+03    0.292199E+01    0.171116E+00    0.456042E+01    0.205647E+01
    0.157212E+03    0.267990E+01    0.186574E+00    0.482426E+01    0.185538E+01
    0.158886E+03    0.247142E+01    0.202312E+00    0.507533E+01    0.168208E+01
    0.160426E+03    0.230061E+01    0.217334E+00    0.530896E+01    0.153985E+01
    0.161806E+03    0.216897E+01    0.230525E+00    0.552061E+01    0.142939E+01
    0.163005E+03    0.207387E+01    0.241095E+00    0.570605E+01    0.134874E+01
    0.164001E+03    0.200431E+01    0.249462E+00    0.586146E+01    0.129374E+01
    0.164779E+03    0.196800E+01    0.254065E+00    0.598361E+01    0.125905E+01
    0.165326E+03    0.193896E+01    0.257870E+00    0.606988E+01    0.123923E+01
    0.165632E+03    0.192548E+01    0.259675E+00    0.611846E+01    0.122982E+01
    0.165777E+03    0.192165E+01    0.260193E+00    0.614135E+01    0.122583E+01
    0.166084E+03    0.191826E+01    0.260652E+00    0.619008E+01    0.121827E+01
    0.166631E+03    0.190786E+01    0.262074E+00    0.627718E+01    0.120799E+01
    0.167408E+03    0.187009E+01    0.267367E+00    0.640171E+01    0.120057E+01
    0.168405E+03    0.189922E+01    0.263266E+00    0.656225E+01    0.120369E+01
    0.169603E+03    0.191994E+01    0.260425E+00    0.675695E+01    0.122658E+01
    0.170983E+03    0.198225E+01    0.252239E+00    0.698350E+01    0.127892E+01
    0.172523E+03    0.208672E+01    0.239611E+00    0.723913E+01    0.136946E+01
