# 1S0 GAP DATA FOR SRC CDBONN
# kf [fm-1]   gap0 [MeV]  Tc [MeV]	delta Tc
0.666         2.08 	      0.85		  0.05
0.763         2.09        0.85      0.05
0.840	        2.33 	      0.95		  0.05
1.058	        1.68	      0.65		  0.05
1.211	        0.826	      0.25		  0.05
1.333	        0.247	      0.05		  0.05
