
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    1.211130E+00    0.000000E+00    8.265303E-01
    1.211130E+00    2.000000E-01    3.491894E-01
    1.211130E+00    3.000000E-01    2.126214E-06
    1.211130E+00    4.000000E-01    9.076096E-07
