
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    3.909731E-02    1.000000E-01    1.050000E+00    1.998752E+00
    3.909731E-02    2.000000E-01    1.050000E+00    1.998679E+00
    3.909731E-02    3.000000E-01    1.050000E+00    1.996268E+00
    3.909731E-02    4.000000E-01    1.050000E+00    1.983330E+00
    3.909731E-02    5.000000E-01    1.050000E+00    1.949954E+00
    3.909731E-02    6.000000E-01    1.050000E+00    1.887947E+00
    3.909731E-02    7.000000E-01    1.050000E+00    1.789768E+00
    3.909731E-02    8.000000E-01    1.050000E+00    1.646027E+00
    3.909731E-02    9.000000E-01    1.050000E+00    1.441203E+00
    3.909731E-02    1.000000E+00    1.050000E+00    1.141504E+00
    3.909731E-02    1.100000E+00    1.050000E+00    6.210419E-01
    3.909731E-02    1.200000E+00    1.050000E+00    4.411392E-06
    3.909731E-02    1.300000E+00    1.050000E+00    1.765667E-06
    3.909731E-02    1.400000E+00    1.050000E+00    1.098061E-06
