
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    1.139717E+00    0.000000E+00    6.509703E-01
    1.139717E+00    1.000000E-01    6.509703E-01
    1.139717E+00    2.000000E-01    3.716185E-01
    1.139717E+00    3.000000E-01    1.146011E-01
    1.139717E+00    4.000000E-01    1.349641E-01
    1.139717E+00    5.000000E-01    7.632081E-02
    1.139717E+00    6.000000E-01    2.874563E-02
