
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    8.397506E-01    0.000000E+00    2.328572E+00
    8.397506E-01    2.000000E-01    2.295376E+00
    8.397506E-01    4.000000E-01    2.143929E+00
    8.397506E-01    6.000000E-01    1.846107E+00
    8.397506E-01    7.000000E-01    1.618847E+00
    8.397506E-01    8.000000E-01    1.305884E+00
    8.397506E-01    9.000000E-01    8.120008E-01
    8.397506E-01    1.000000E+00    5.911249E-06
