
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    7.420088E-02    1.000000E-04    1.300000E+00    1.116631E+00
    7.420088E-02    1.001000E-01    1.300000E+00    1.116619E+00
    7.420088E-02    2.001000E-01    1.300000E+00    1.112194E+00
    7.420088E-02    3.001000E-01    1.300000E+00    1.079169E+00
    7.420088E-02    4.001000E-01    1.300000E+00    9.909420E-01
    7.420088E-02    5.001000E-01    1.300000E+00    8.176561E-01
    7.420088E-02    6.001000E-01    1.300000E+00    4.655331E-01
    7.420088E-02    7.001000E-01    1.300000E+00    3.056833E-06
    7.420088E-02    8.001000E-01    1.300000E+00    1.230011E-06
    7.420088E-02    9.001000E-01    1.300000E+00    8.054181E-07
    7.420088E-02    1.000100E+00    1.300000E+00    6.141026E-07
    7.420088E-02    1.100100E+00    1.300000E+00    5.011363E-07
    7.420088E-02    1.200100E+00    1.300000E+00    4.352452E-07
    7.420088E-02    1.300100E+00    1.300000E+00    3.854983E-07
    7.420088E-02    1.400100E+00    1.300000E+00    3.465931E-07
    7.420088E-02    1.500100E+00    1.300000E+00    3.140453E-07
