#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   0.90000
    0.538008E+00    0.102378E+02    0.488384E-01   -0.464857E+01    0.881115E+01
    0.281337E+01    0.102335E+02    0.488593E-01   -0.464421E+01    0.880679E+01
    0.682055E+01    0.102117E+02    0.489637E-01   -0.462092E+01    0.878352E+01
    0.124157E+02    0.101504E+02    0.492590E-01   -0.455503E+01    0.871770E+01
    0.193966E+02    0.100230E+02    0.498854E-01   -0.441762E+01    0.858045E+01
    0.275110E+02    0.980430E+01    0.509980E-01   -0.418092E+01    0.834408E+01
    0.364658E+02    0.947597E+01    0.527651E-01   -0.382946E+01    0.799327E+01
    0.459371E+02    0.902877E+01    0.553785E-01   -0.336179E+01    0.752690E+01
    0.555828E+02    0.847025E+01    0.590301E-01   -0.279349E+01    0.696121E+01
    0.650541E+02    0.782266E+01    0.639168E-01   -0.215415E+01    0.632707E+01
    0.740088E+02    0.712301E+01    0.701950E-01   -0.148148E+01    0.566447E+01
    0.821233E+02    0.641882E+01    0.778959E-01   -0.817077E+00    0.501824E+01
    0.891042E+02    0.576609E+01    0.867138E-01   -0.204824E+00    0.443520E+01
    0.946993E+02    0.521873E+01    0.958087E-01    0.311622E+00    0.395830E+01
    0.987065E+02    0.481918E+01    0.103752E+00    0.695056E+00    0.361701E+01
    0.100982E+03    0.459175E+01    0.108891E+00    0.917684E+00    0.342534E+01
    0.101592E+03    0.453119E+01    0.110346E+00    0.977984E+00    0.337438E+01
    0.101899E+03    0.450069E+01    0.111094E+00    0.100841E+01    0.334883E+01
    0.102446E+03    0.444631E+01    0.112453E+00    0.106277E+01    0.330346E+01
    0.103224E+03    0.436908E+01    0.114441E+00    0.114046E+01    0.323928E+01
    0.104220E+03    0.427105E+01    0.117067E+00    0.124057E+01    0.315776E+01
    0.105418E+03    0.415365E+01    0.120376E+00    0.136189E+01    0.306088E+01
    0.106798E+03    0.402014E+01    0.124374E+00    0.150293E+01    0.295108E+01
    0.108339E+03    0.387319E+01    0.129093E+00    0.166189E+01    0.283127E+01
    0.110013E+03    0.371747E+01    0.134500E+00    0.183667E+01    0.270480E+01
    0.111794E+03    0.355661E+01    0.140583E+00    0.202485E+01    0.257540E+01
    0.113653E+03    0.339563E+01    0.147248E+00    0.222369E+01    0.244703E+01
    0.115559E+03    0.324014E+01    0.154314E+00    0.243021E+01    0.232364E+01
    0.117481E+03    0.309502E+01    0.161550E+00    0.264120E+01    0.220900E+01
    0.119387E+03    0.296307E+01    0.168744E+00    0.285331E+01    0.210633E+01
    0.121245E+03    0.284680E+01    0.175636E+00    0.306304E+01    0.201812E+01
    0.123027E+03    0.275170E+01    0.181706E+00    0.326677E+01    0.194589E+01
    0.124701E+03    0.268661E+01    0.186108E+00    0.346082E+01    0.189003E+01
    0.126241E+03    0.263982E+01    0.189407E+00    0.364152E+01    0.184981E+01
    0.127622E+03    0.258678E+01    0.193290E+00    0.380531E+01    0.182344E+01
    0.128820E+03    0.263106E+01    0.190038E+00    0.394888E+01    0.180837E+01
    0.129816E+03    0.257149E+01    0.194440E+00    0.406927E+01    0.180158E+01
    0.130594E+03    0.721383E+00    0.693113E+00    0.416392E+01    0.180000E+01
    0.131141E+03    0.235733E+01    0.212105E+00    0.423080E+01    0.180089E+01
    0.131448E+03    0.247330E+01    0.202159E+00    0.426846E+01    0.180211E+01
    0.131592E+03    0.250453E+01    0.199638E+00    0.428621E+01    0.180288E+01
    0.131899E+03    0.252952E+01    0.197666E+00    0.432401E+01    0.180488E+01
    0.132446E+03    0.250221E+01    0.199824E+00    0.439158E+01    0.180979E+01
    0.133224E+03    0.251715E+01    0.198637E+00    0.448824E+01    0.181972E+01
    0.134220E+03    0.256744E+01    0.194747E+00    0.461291E+01    0.183756E+01
    0.135418E+03    0.259450E+01    0.192716E+00    0.476424E+01    0.186676E+01
    0.136798E+03    0.264530E+01    0.189014E+00    0.494051E+01    0.191098E+01
    0.138339E+03    0.273116E+01    0.183072E+00    0.513964E+01    0.197375E+01
    0.140013E+03    0.283490E+01    0.176373E+00    0.535921E+01    0.205809E+01
    0.141794E+03    0.296366E+01    0.168710E+00    0.559642E+01    0.216602E+01
    0.143653E+03    0.312115E+01    0.160197E+00    0.584810E+01    0.229827E+01
    0.145559E+03    0.330610E+01    0.151235E+00    0.611073E+01    0.245405E+01
    0.147481E+03    0.351488E+01    0.142253E+00    0.638040E+01    0.263094E+01
    0.149387E+03    0.374221E+01    0.133611E+00    0.665281E+01    0.282501E+01
    0.151245E+03    0.398160E+01    0.125578E+00    0.692337E+01    0.303106E+01
    0.153027E+03    0.422569E+01    0.118324E+00    0.718728E+01    0.324303E+01
    0.154701E+03    0.446686E+01    0.111935E+00    0.743962E+01    0.345437E+01
    0.156241E+03    0.469774E+01    0.106434E+00    0.767549E+01    0.365846E+01
    0.157622E+03    0.491138E+01    0.101804E+00    0.789010E+01    0.384883E+01
    0.158820E+03    0.510172E+01    0.980061E-01    0.807889E+01    0.401948E+01
    0.159816E+03    0.526309E+01    0.950011E-01    0.823767E+01    0.416502E+01
    0.160594E+03    0.539078E+01    0.927509E-01    0.836283E+01    0.428089E+01
    0.161141E+03    0.548168E+01    0.912129E-01    0.845141E+01    0.436347E+01
    0.161448E+03    0.553303E+01    0.903664E-01    0.850135E+01    0.441021E+01
    0.161777E+03    0.558831E+01    0.894725E-01    0.855510E+01    0.446067E+01
    0.162872E+03    0.577394E+01    0.865959E-01    0.873520E+01    0.463077E+01
    0.164833E+03    0.611312E+01    0.817912E-01    0.906296E+01    0.494384E+01
    0.167648E+03    0.661275E+01    0.756115E-01    0.954477E+01    0.541044E+01
    0.171298E+03    0.727970E+01    0.686842E-01    0.101898E+02    0.604310E+01
    0.175760E+03    0.812129E+01    0.615665E-01    0.110106E+02    0.685584E+01
    0.181008E+03    0.914414E+01    0.546798E-01    0.120225E+02    0.786349E+01
    0.187017E+03    0.103540E+02    0.482904E-01    0.132417E+02    0.908087E+01
    0.193760E+03    0.117582E+02    0.425235E-01    0.146827E+02    0.105213E+02
    0.201213E+03    0.133678E+02    0.374033E-01    0.163540E+02    0.121924E+02
    0.209355E+03    0.151946E+02    0.329064E-01    0.182552E+02    0.140936E+02
    0.218167E+03    0.172533E+02    0.289799E-01    0.203923E+02    0.162307E+02
    0.227639E+03    0.195604E+02    0.255619E-01    0.227881E+02    0.186266E+02
    0.237763E+03    0.221338E+02    0.225899E-01    0.254729E+02    0.213114E+02
    0.248543E+03    0.249964E+02    0.200029E-01    0.284593E+02    0.242977E+02
    0.259986E+03    0.281733E+02    0.177473E-01    0.317422E+02    0.275806E+02
    0.272113E+03    0.316947E+02    0.157755E-01    0.353548E+02    0.311932E+02
    0.284953E+03    0.355968E+02    0.140462E-01    0.393562E+02    0.351946E+02
    0.298547E+03    0.399232E+02    0.125240E-01    0.437591E+02    0.395975E+02
    0.312953E+03    0.447261E+02    0.111792E-01    0.485956E+02    0.444340E+02
    0.328244E+03    0.500689E+02    0.998625E-02    0.539598E+02    0.497982E+02
    0.344512E+03    0.560291E+02    0.892393E-02    0.599066E+02    0.557450E+02
    0.361878E+03    0.627037E+02    0.797401E-02    0.665549E+02    0.623933E+02
    0.380493E+03    0.702149E+02    0.712100E-02    0.740209E+02    0.698593E+02
    0.400551E+03    0.787198E+02    0.635164E-02    0.824711E+02    0.783095E+02
    0.422302E+03    0.884238E+02    0.565459E-02    0.921111E+02    0.879495E+02
    0.446073E+03    0.996013E+02    0.502001E-02    0.103213E+03    0.990510E+02
    0.472304E+03    0.112629E+03    0.443936E-02    0.116154E+03    0.111992E+03
    0.501595E+03    0.128037E+03    0.390513E-02    0.131462E+03    0.127300E+03
    0.534803E+03    0.146604E+03    0.341054E-02    0.149912E+03    0.145750E+03
    0.573199E+03    0.169537E+03    0.294920E-02    0.172705E+03    0.168544E+03
    0.618790E+03    0.198807E+03    0.251501E-02    0.201826E+03    0.197665E+03
    0.675015E+03    0.237939E+03    0.210138E-02    0.240817E+03    0.236655E+03
    0.748546E+03    0.294094E+03    0.170014E-02    0.296810E+03    0.292649E+03
    0.855221E+03    0.385281E+03    0.129775E-02    0.387862E+03    0.383700E+03
    0.105216E+04    0.584114E+03    0.855998E-03    0.587549E+03    0.583387E+03
