
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    4.221716E-03    1.000000E-04    5.000000E-01    1.884155E+00
    4.221716E-03    1.001000E-01    5.000000E-01    1.884155E+00
    4.221716E-03    2.001000E-01    5.000000E-01    1.884038E+00
    4.221716E-03    3.001000E-01    5.000000E-01    1.880761E+00
    4.221716E-03    4.001000E-01    5.000000E-01    1.864575E+00
    4.221716E-03    5.001000E-01    5.000000E-01    1.824454E+00
    4.221716E-03    6.001000E-01    5.000000E-01    1.750981E+00
    4.221716E-03    7.001000E-01    5.000000E-01    1.634347E+00
    4.221716E-03    8.001000E-01    5.000000E-01    1.460353E+00
    4.221716E-03    9.001000E-01    5.000000E-01    1.200910E+00
    4.221716E-03    1.000100E+00    5.000000E-01    7.702273E-01
    4.221716E-03    1.100100E+00    5.000000E-01    6.458167E-06
    4.221716E-03    1.200100E+00    5.000000E-01    1.909585E-06
    4.221716E-03    1.300100E+00    5.000000E-01    1.156602E-06
    4.221716E-03    1.400100E+00    5.000000E-01    8.443057E-07
    4.221716E-03    1.500100E+00    5.000000E-01    6.829872E-07
    4.221716E-03    1.600100E+00    5.000000E-01    5.773870E-07
    4.221716E-03    1.700100E+00    5.000000E-01    5.034561E-07
    4.221716E-03    1.800100E+00    5.000000E-01    4.427321E-07
    4.221716E-03    1.900100E+00    5.000000E-01    4.012314E-07
