#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.00000
    0.245674E+03    0.213444E+02    0.234254E-01    0.252999E+02    0.200014E+02
    0.256562E+03    0.243465E+02    0.205368E-01    0.284110E+02    0.231126E+02
    0.268201E+03    0.277015E+02    0.180495E-01    0.318774E+02    0.265789E+02
    0.280593E+03    0.314344E+02    0.159061E-01    0.357318E+02    0.304334E+02
    0.293748E+03    0.355839E+02    0.140513E-01    0.400134E+02    0.347150E+02
    0.307689E+03    0.401876E+02    0.124417E-01    0.447112E+02    0.394127E+02
    0.322450E+03    0.452944E+02    0.110389E-01    0.498723E+02    0.445738E+02
    0.338078E+03    0.509614E+02    0.981134E-02    0.555649E+02    0.502665E+02
    0.354639E+03    0.572571E+02    0.873254E-02    0.618501E+02    0.565517E+02
    0.372217E+03    0.642654E+02    0.778024E-02    0.688149E+02    0.635165E+02
    0.390919E+03    0.720896E+02    0.693581E-02    0.765665E+02    0.712681E+02
    0.410883E+03    0.808582E+02    0.618367E-02    0.852305E+02    0.799321E+02
    0.432282E+03    0.907339E+02    0.551062E-02    0.949780E+02    0.896796E+02
    0.455340E+03    0.101926E+03    0.490554E-02    0.106023E+03    0.100724E+03
    0.480345E+03    0.114706E+03    0.435898E-02    0.118641E+03    0.113342E+03
    0.507672E+03    0.129437E+03    0.386288E-02    0.133195E+03    0.127897E+03
    0.537826E+03    0.146616E+03    0.341027E-02    0.150181E+03    0.144883E+03
    0.571499E+03    0.166941E+03    0.299508E-02    0.170290E+03    0.164991E+03
    0.609675E+03    0.191435E+03    0.261186E-02    0.194533E+03    0.189235E+03
    0.653814E+03    0.221674E+03    0.225556E-02    0.224492E+03    0.219194E+03
    0.706225E+03    0.260247E+03    0.192125E-02    0.262759E+03    0.257461E+03
    0.770861E+03    0.311805E+03    0.160357E-02    0.313978E+03    0.308679E+03
    0.855391E+03    0.385890E+03    0.129571E-02    0.387592E+03    0.382293E+03
    0.978023E+03    0.506854E+03    0.986478E-03    0.507736E+03    0.502438E+03
    0.120442E+04    0.772564E+03    0.647196E-03    0.772040E+03    0.766742E+03
