#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.06000 temp=   0.20000
    0.110754E+01    0.337865E+02    0.147988E-01   -0.185320E+02    0.298141E+02
    0.579156E+01    0.337680E+02    0.148069E-01   -0.185121E+02    0.297941E+02
    0.140407E+02    0.336771E+02    0.148469E-01   -0.184161E+02    0.296981E+02
    0.255587E+02    0.334237E+02    0.149594E-01   -0.181606E+02    0.294426E+02
    0.399295E+02    0.328935E+02    0.152006E-01   -0.176081E+02    0.288902E+02
    0.566338E+02    0.319781E+02    0.156357E-01   -0.166452E+02    0.279272E+02
    0.750679E+02    0.305976E+02    0.163411E-01   -0.151785E+02    0.264606E+02
    0.945655E+02    0.287106E+02    0.174152E-01   -0.131978E+02    0.244799E+02
    0.114422E+03    0.263336E+02    0.189871E-01   -0.108225E+02    0.221046E+02
    0.133920E+03    0.235462E+02    0.212349E-01   -0.820274E+01    0.194848E+02
    0.152354E+03    0.204897E+02    0.244025E-01   -0.546418E+01    0.167462E+02
    0.169058E+03    0.173628E+02    0.287971E-01   -0.274494E+01    0.140270E+02
    0.183429E+03    0.143959E+02    0.347321E-01   -0.226321E+00    0.115084E+02
    0.194947E+03    0.118280E+02    0.422726E-01    0.191123E+01    0.937082E+01
    0.203196E+03    0.988161E+01    0.505990E-01    0.351465E+01    0.776740E+01
    0.207880E+03    0.873496E+01    0.572412E-01    0.445406E+01    0.682799E+01
    0.209060E+03    0.844131E+01    0.592325E-01    0.469398E+01    0.658808E+01
    0.209367E+03    0.836461E+01    0.597757E-01    0.475660E+01    0.652545E+01
    0.209913E+03    0.822763E+01    0.607709E-01    0.486842E+01    0.641364E+01
    0.210691E+03    0.803192E+01    0.622516E-01    0.502798E+01    0.625407E+01
    0.211687E+03    0.778000E+01    0.642674E-01    0.523319E+01    0.604887E+01
    0.212886E+03    0.747515E+01    0.668883E-01    0.548127E+01    0.580078E+01
    0.214266E+03    0.712132E+01    0.702117E-01    0.576885E+01    0.551321E+01
    0.215806E+03    0.672325E+01    0.743688E-01    0.609190E+01    0.519015E+01
    0.217481E+03    0.628663E+01    0.795338E-01    0.644583E+01    0.483623E+01
