#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.08000 temp=   0.80000
    0.123500E+01    0.416918E+02    0.119928E-01   -0.239093E+02    0.367594E+02
    0.645811E+01    0.416680E+02    0.119996E-01   -0.238897E+02    0.367398E+02
    0.156566E+02    0.415501E+02    0.120337E-01   -0.237778E+02    0.366279E+02
    0.285002E+02    0.412206E+02    0.121299E-01   -0.234720E+02    0.363222E+02
    0.445250E+02    0.405424E+02    0.123328E-01   -0.228052E+02    0.356554E+02
    0.631518E+02    0.393823E+02    0.126961E-01   -0.216332E+02    0.344833E+02
    0.837074E+02    0.376327E+02    0.132863E-01   -0.198758E+02    0.327260E+02
    0.105449E+03    0.352397E+02    0.141886E-01   -0.174874E+02    0.303376E+02
    0.127591E+03    0.322267E+02    0.155151E-01   -0.145486E+02    0.273988E+02
    0.149332E+03    0.286910E+02    0.174271E-01   -0.112238E+02    0.240740E+02
    0.169888E+03    0.248157E+02    0.201486E-01   -0.774403E+01    0.205942E+02
    0.188515E+03    0.208477E+02    0.239835E-01   -0.428293E+01    0.171331E+02
    0.204539E+03    0.170781E+02    0.292773E-01   -0.105259E+01    0.139027E+02
    0.217383E+03    0.138140E+02    0.361950E-01    0.170861E+01    0.111416E+02
    0.226582E+03    0.113393E+02    0.440946E-01    0.378478E+01    0.906558E+01
    0.231805E+03    0.988189E+01    0.505976E-01    0.500209E+01    0.784892E+01
    0.233112E+03    0.951146E+01    0.525682E-01    0.531100E+01    0.754036E+01
    0.233419E+03    0.942417E+01    0.530551E-01    0.538376E+01    0.746771E+01
    0.233966E+03    0.926827E+01    0.539475E-01    0.551363E+01    0.733804E+01
    0.234743E+03    0.904593E+01    0.552735E-01    0.569889E+01    0.715314E+01
    0.235740E+03    0.876006E+01    0.570772E-01    0.593699E+01    0.691560E+01
    0.236938E+03    0.841463E+01    0.594203E-01    0.622465E+01    0.662885E+01
    0.238318E+03    0.801466E+01    0.623857E-01    0.655784E+01    0.629714E+01
    0.239858E+03    0.756614E+01    0.660839E-01    0.693180E+01    0.592560E+01
    0.241533E+03    0.707631E+01    0.706583E-01    0.734112E+01    0.552030E+01
    0.243314E+03    0.655377E+01    0.762920E-01    0.777969E+01    0.508841E+01
    0.245173E+03    0.600888E+01    0.832102E-01    0.824078E+01    0.463846E+01
    0.247079E+03    0.545365E+01    0.916817E-01    0.871712E+01    0.418046E+01
    0.249001E+03    0.490217E+01    0.101996E+00    0.920103E+01    0.372617E+01
    0.250906E+03    0.437047E+01    0.114404E+00    0.968458E+01    0.328899E+01
    0.252765E+03    0.387605E+01    0.128997E+00    0.101597E+02    0.288349E+01
    0.254547E+03    0.343665E+01    0.145490E+00    0.106182E+02    0.252408E+01
