#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.06000 temp=   0.70000
    0.110754E+01    0.339274E+02    0.147373E-01   -0.178320E+02    0.301677E+02
    0.579156E+01    0.339088E+02    0.147454E-01   -0.178141E+02    0.301498E+02
    0.140407E+02    0.338158E+02    0.147860E-01   -0.177233E+02    0.300590E+02
    0.255587E+02    0.335562E+02    0.149004E-01   -0.174771E+02    0.298128E+02
    0.399295E+02    0.330207E+02    0.151420E-01   -0.169542E+02    0.292899E+02
    0.566338E+02    0.320990E+02    0.155768E-01   -0.160489E+02    0.283846E+02
    0.750679E+02    0.307056E+02    0.162836E-01   -0.146690E+02    0.270047E+02
    0.945655E+02    0.288024E+02    0.173597E-01   -0.127829E+02    0.251186E+02
    0.114422E+03    0.264073E+02    0.189342E-01   -0.104481E+02    0.227838E+02
    0.133920E+03    0.235987E+02    0.211876E-01   -0.778538E+01    0.201211E+02
    0.152354E+03    0.205225E+02    0.243635E-01   -0.492825E+01    0.172640E+02
    0.169058E+03    0.173786E+02    0.287710E-01   -0.207588E+01    0.144116E+02
    0.183429E+03    0.143985E+02    0.347257E-01    0.558426E+00    0.117773E+02
    0.194947E+03    0.118206E+02    0.422992E-01    0.278517E+01    0.955055E+01
    0.203196E+03    0.986739E+01    0.506720E-01    0.444418E+01    0.789172E+01
    0.207880E+03    0.871829E+01    0.573507E-01    0.541122E+01    0.692517E+01
    0.209060E+03    0.842435E+01    0.593518E-01    0.565774E+01    0.667892E+01
    0.209367E+03    0.834755E+01    0.598978E-01    0.572207E+01    0.661468E+01
    0.209913E+03    0.821054E+01    0.608973E-01    0.583688E+01    0.650002E+01
    0.210691E+03    0.801485E+01    0.623842E-01    0.600067E+01    0.633652E+01
    0.211687E+03    0.776324E+01    0.644061E-01    0.621120E+01    0.612644E+01
    0.212886E+03    0.745905E+01    0.670326E-01    0.646559E+01    0.587278E+01
    0.214266E+03    0.710659E+01    0.703573E-01    0.676030E+01    0.557927E+01
    0.215806E+03    0.671120E+01    0.745023E-01    0.709116E+01    0.525039E+01
    0.217481E+03    0.627908E+01    0.796295E-01    0.745343E+01    0.489140E+01
    0.219262E+03    0.581783E+01    0.859427E-01    0.784179E+01    0.450857E+01
    0.221121E+03    0.533626E+01    0.936985E-01    0.825039E+01    0.410924E+01
    0.223027E+03    0.484491E+01    0.103201E+00    0.867289E+01    0.370213E+01
    0.224948E+03    0.435597E+01    0.114785E+00    0.910258E+01    0.329755E+01
    0.226854E+03    0.388386E+01    0.128738E+00    0.953240E+01    0.290740E+01
    0.228713E+03    0.344392E+01    0.145183E+00    0.995514E+01    0.254480E+01
    0.230494E+03    0.305234E+01    0.163809E+00    0.103635E+02    0.222290E+01
    0.232169E+03    0.272190E+01    0.183695E+00    0.107503E+02    0.195284E+01
    0.233709E+03    0.246298E+01    0.203006E+00    0.111086E+02    0.174142E+01
    0.235089E+03    0.226887E+01    0.220374E+00    0.114318E+02    0.158934E+01
    0.236287E+03    0.213961E+01    0.233688E+00    0.117139E+02    0.149086E+01
    0.237284E+03    0.206382E+01    0.242270E+00    0.119496E+02    0.143531E+01
    0.238062E+03    0.207161E+01    0.241358E+00    0.121344E+02    0.140963E+01
    0.238608E+03    0.198563E+01    0.251810E+00    0.122647E+02    0.140120E+01
    0.238915E+03    0.672398E+00    0.743607E+00    0.123379E+02    0.140000E+01
    0.239060E+03    0.177680E+01    0.281404E+00    0.123724E+02    0.140032E+01
    0.239367E+03    0.202866E+01    0.246468E+00    0.124458E+02    0.140289E+01
    0.239913E+03    0.199528E+01    0.250591E+00    0.125769E+02    0.141382E+01
    0.240691E+03    0.206546E+01    0.242077E+00    0.127638E+02    0.144337E+01
    0.241687E+03    0.212870E+01    0.234885E+00    0.130042E+02    0.150481E+01
    0.242886E+03    0.224215E+01    0.223000E+00    0.132947E+02    0.161240E+01
    0.244266E+03    0.242095E+01    0.206530E+00    0.136313E+02    0.177855E+01
    0.245806E+03    0.269930E+01    0.185233E+00    0.140093E+02    0.201092E+01
    0.247481E+03    0.304265E+01    0.164331E+00    0.144232E+02    0.231043E+01
    0.249262E+03    0.346790E+01    0.144180E+00    0.148670E+02    0.267121E+01
    0.251121E+03    0.395262E+01    0.126498E+00    0.153340E+02    0.308223E+01
    0.253027E+03    0.448008E+01    0.111605E+00    0.158170E+02    0.352986E+01
    0.254948E+03    0.503420E+01    0.993207E-01    0.163084E+02    0.400009E+01
    0.256854E+03    0.559917E+01    0.892990E-01    0.168003E+02    0.447978E+01
    0.258713E+03    0.616071E+01    0.811595E-01    0.172844E+02    0.495712E+01
    0.260494E+03    0.670611E+01    0.745589E-01    0.177525E+02    0.542151E+01
    0.262169E+03    0.722386E+01    0.692151E-01    0.181963E+02    0.586332E+01
    0.263709E+03    0.770369E+01    0.649040E-01    0.186078E+02    0.627373E+01
    0.265089E+03    0.813651E+01    0.614514E-01    0.189794E+02    0.664467E+01
    0.266287E+03    0.851400E+01    0.587268E-01    0.193039E+02    0.696889E+01
    0.267284E+03    0.882911E+01    0.566308E-01    0.195752E+02    0.724001E+01
    0.268062E+03    0.907599E+01    0.550904E-01    0.197880E+02    0.745269E+01
    0.268608E+03    0.924987E+01    0.540548E-01    0.199381E+02    0.760270E+01
    0.268915E+03    0.934766E+01    0.534893E-01    0.200225E+02    0.768708E+01
    0.269461E+03    0.952187E+01    0.525107E-01    0.201731E+02    0.783759E+01
    0.271481E+03    0.101691E+02    0.491686E-01    0.207334E+02    0.839779E+01
    0.275100E+03    0.113398E+02    0.440927E-01    0.217515E+02    0.941581E+01
    0.280292E+03    0.130449E+02    0.383291E-01    0.232451E+02    0.109094E+02
    0.287025E+03    0.153009E+02    0.326778E-01    0.252390E+02    0.129033E+02
    0.295255E+03    0.181286E+02    0.275807E-01    0.277668E+02    0.154311E+02
    0.304936E+03    0.215538E+02    0.231978E-01    0.308786E+02    0.185429E+02
    0.316020E+03    0.256068E+02    0.195260E-01    0.346507E+02    0.223150E+02
    0.328459E+03    0.303230E+02    0.164891E-01    0.391410E+02    0.268053E+02
    0.342207E+03    0.357416E+02    0.139893E-01    0.443468E+02    0.320111E+02
    0.357225E+03    0.419057E+02    0.119316E-01    0.503511E+02    0.380154E+02
    0.373482E+03    0.488641E+02    0.102325E-01    0.571707E+02    0.448350E+02
    0.390953E+03    0.566716E+02    0.882276E-02    0.648596E+02    0.525239E+02
    0.409630E+03    0.653893E+02    0.764651E-02    0.734351E+02    0.610994E+02
    0.429514E+03    0.750885E+02    0.665881E-02    0.829552E+02    0.706195E+02
    0.450623E+03    0.858511E+02    0.582404E-02    0.934907E+02    0.811550E+02
    0.472992E+03    0.977737E+02    0.511385E-02    0.105136E+03    0.928005E+02
    0.496677E+03    0.110971E+03    0.450567E-02    0.118009E+03    0.105673E+03
    0.521755E+03    0.125581E+03    0.398148E-02    0.132253E+03    0.119917E+03
    0.548329E+03    0.141771E+03    0.352682E-02    0.148051E+03    0.135715E+03
    0.576534E+03    0.159743E+03    0.313002E-02    0.165630E+03    0.153294E+03
    0.606544E+03    0.179747E+03    0.278169E-02    0.185251E+03    0.172916E+03
    0.638578E+03    0.202078E+03    0.247429E-02    0.207207E+03    0.194871E+03
    0.672916E+03    0.227098E+03    0.220169E-02    0.231663E+03    0.219328E+03
    0.709915E+03    0.255253E+03    0.195884E-02    0.259233E+03    0.246897E+03
    0.750038E+03    0.287103E+03    0.174154E-02    0.290408E+03    0.278073E+03
    0.793887E+03    0.323389E+03    0.154613E-02    0.326487E+03    0.314151E+03
    0.842273E+03    0.365223E+03    0.136903E-02    0.368719E+03    0.356383E+03
    0.896305E+03    0.414329E+03    0.120677E-02    0.419375E+03    0.407039E+03
    0.957562E+03    0.473437E+03    0.105611E-02    0.480420E+03    0.468084E+03
    0.102839E+04    0.546981E+03    0.914109E-03    0.557666E+03    0.545330E+03
    0.111249E+04    0.642200E+03    0.778573E-03    0.656892E+03    0.644556E+03
    0.121620E+04    0.771640E+03    0.647971E-03    0.788016E+03    0.775680E+03
    0.135184E+04    0.958999E+03    0.521377E-03    0.973844E+03    0.961509E+03
    0.154862E+04    0.126378E+04    0.395637E-03    0.127662E+04    0.126429E+04
    0.191190E+04    0.193290E+04    0.258678E-03    0.194524E+04    0.193291E+04
