
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    6.665105E-01    0.000000E+00    2.186637E+00
    6.665105E-01    2.000000E-01    2.022278E+00
    6.665105E-01    4.000000E-01    1.975000E+00
    6.665105E-01    6.000000E-01    1.607806E+00
    6.665105E-01    7.000000E-01    1.313142E+00
    6.665105E-01    8.000000E-01    1.103849E+00
    6.665105E-01    1.000000E+00    2.087940E-06
