
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    1.729215E-02    1.000000E-01    8.000000E-01    2.543722E+00
    1.729215E-02    2.000000E-01    8.000000E-01    2.538819E+00
    1.729215E-02    3.000000E-01    8.000000E-01    2.538371E+00
    1.729215E-02    4.000000E-01    8.000000E-01    2.534339E+00
    1.729215E-02    5.000000E-01    8.000000E-01    2.520626E+00
    1.729215E-02    6.000000E-01    8.000000E-01    2.490832E+00
    1.729215E-02    7.000000E-01    8.000000E-01    2.439487E+00
    1.729215E-02    8.000000E-01    8.000000E-01    2.361672E+00
    1.729215E-02    9.000000E-01    8.000000E-01    2.252112E+00
    1.729215E-02    1.000000E+00    8.000000E-01    2.103973E+00
    1.729215E-02    1.100000E+00    8.000000E-01    1.906813E+00
    1.729215E-02    1.200000E+00    8.000000E-01    1.641844E+00
    1.729215E-02    1.300000E+00    8.000000E-01    1.266073E+00
    1.729215E-02    1.400000E+00    8.000000E-01    5.964224E-01
    1.729215E-02    1.500000E+00    8.000000E-01    4.289355E-06
    1.729215E-02    1.600000E+00    8.000000E-01    1.836643E-06
