#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.08000 temp=   0.10000
    0.408242E+03    0.593299E+02    0.842746E-02    0.671289E+02    0.537985E+02
    0.427505E+03    0.690300E+02    0.724323E-02    0.765115E+02    0.631811E+02
    0.448095E+03    0.798682E+02    0.626032E-02    0.869771E+02    0.736467E+02
    0.470017E+03    0.919320E+02    0.543880E-02    0.985762E+02    0.852458E+02
    0.493289E+03    0.105323E+03    0.474731E-02    0.111392E+03    0.980620E+02
    0.517951E+03    0.120159E+03    0.416116E-02    0.125551E+03    0.112221E+03
    0.544063E+03    0.136581E+03    0.366082E-02    0.141207E+03    0.127876E+03
    0.571711E+03    0.154759E+03    0.323083E-02    0.158538E+03    0.145207E+03
    0.601008E+03    0.174898E+03    0.285880E-02    0.177739E+03    0.164409E+03
    0.632104E+03    0.197252E+03    0.253482E-02    0.199052E+03    0.185722E+03
    0.665189E+03    0.222137E+03    0.225086E-02    0.222755E+03    0.209424E+03
    0.700506E+03    0.249949E+03    0.200041E-02    0.249250E+03    0.235920E+03
    0.738363E+03    0.281194E+03    0.177813E-02    0.279115E+03    0.265784E+03
    0.779154E+03    0.316526E+03    0.157965E-02    0.313018E+03    0.299688E+03
    0.823388E+03    0.356809E+03    0.140131E-02    0.351848E+03    0.338518E+03
    0.871732E+03    0.403200E+03    0.124008E-02    0.396736E+03    0.383405E+03
    0.925076E+03    0.457293E+03    0.109339E-02    0.449229E+03    0.435898E+03
    0.984645E+03    0.521357E+03    0.959037E-03    0.511505E+03    0.498174E+03
    0.105218E+04    0.598723E+03    0.835111E-03    0.586870E+03    0.573540E+03
    0.113026E+04    0.694537E+03    0.719904E-03    0.680373E+03    0.667042E+03
    0.122298E+04    0.817259E+03    0.611801E-03    0.800348E+03    0.787018E+03
    0.133733E+04    0.982150E+03    0.509087E-03    0.961536E+03    0.948206E+03
    0.148686E+04    0.122055E+04    0.409650E-03    0.119470E+04    0.118137E+04
    0.170381E+04    0.161218E+04    0.310138E-03    0.157867E+04    0.156534E+04
    0.210432E+04    0.247506E+04    0.202015E-03    0.242436E+04    0.241103E+04
