#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03000 temp=   0.70000
    0.846253E+00    0.210388E+02    0.237656E-01   -0.111241E+02    0.191231E+02
    0.442525E+01    0.210278E+02    0.237780E-01   -0.111126E+02    0.191116E+02
    0.107283E+02    0.209731E+02    0.238401E-01   -0.110528E+02    0.190518E+02
    0.195291E+02    0.208201E+02    0.240153E-01   -0.108828E+02    0.188818E+02
    0.305096E+02    0.205068E+02    0.243822E-01   -0.105221E+02    0.185211E+02
    0.432731E+02    0.199718E+02    0.250352E-01   -0.990682E+01    0.179058E+02
    0.573584E+02    0.191679E+02    0.260852E-01   -0.900857E+01    0.170076E+02
    0.722562E+02    0.180742E+02    0.276638E-01   -0.783711E+01    0.158361E+02
    0.874282E+02    0.167015E+02    0.299374E-01   -0.641814E+01    0.144171E+02
    0.102326E+03    0.150986E+02    0.331157E-01   -0.481394E+01    0.128129E+02
    0.116411E+03    0.133491E+02    0.374556E-01   -0.312541E+01    0.111244E+02
    0.129175E+03    0.115664E+02    0.432285E-01   -0.147185E+01    0.947087E+01
    0.140155E+03    0.987985E+01    0.506081E-01    0.364669E-01    0.796272E+01
    0.148956E+03    0.842424E+01    0.593525E-01    0.130283E+01    0.669711E+01
    0.155259E+03    0.732553E+01    0.682544E-01    0.224367E+01    0.575843E+01
    0.158838E+03    0.668240E+01    0.748235E-01    0.279092E+01    0.521420E+01
    0.159757E+03    0.651523E+01    0.767432E-01    0.293293E+01    0.507336E+01
    0.160064E+03    0.645929E+01    0.774079E-01    0.298053E+01    0.502621E+01
    0.160610E+03    0.635941E+01    0.786236E-01    0.306552E+01    0.494207E+01
    0.161388E+03    0.621671E+01    0.804284E-01    0.318684E+01    0.482213E+01
    0.162384E+03    0.603355E+01    0.828700E-01    0.334291E+01    0.466814E+01
    0.163583E+03    0.581233E+01    0.860241E-01    0.353168E+01    0.448246E+01
    0.164963E+03    0.555651E+01    0.899846E-01    0.375064E+01    0.426806E+01
    0.166503E+03    0.527047E+01    0.948682E-01    0.399679E+01    0.402862E+01
    0.168178E+03    0.495947E+01    0.100817E+00    0.426667E+01    0.376860E+01
    0.169959E+03    0.462973E+01    0.107998E+00    0.455640E+01    0.349333E+01
    0.171818E+03    0.428865E+01    0.116587E+00    0.486170E+01    0.320910E+01
    0.173724E+03    0.394491E+01    0.126745E+00    0.517793E+01    0.292316E+01
    0.175645E+03    0.360829E+01    0.138570E+00    0.550015E+01    0.264368E+01
    0.177551E+03    0.328923E+01    0.152011E+00    0.582316E+01    0.237935E+01
    0.179410E+03    0.299797E+01    0.166779E+00    0.614159E+01    0.213878E+01
    0.181191E+03    0.274386E+01    0.182225E+00    0.644995E+01    0.192954E+01
    0.182866E+03    0.253317E+01    0.197381E+00    0.674276E+01    0.175701E+01
    0.184406E+03    0.236884E+01    0.211074E+00    0.701462E+01    0.162345E+01
    0.185786E+03    0.225046E+01    0.222177E+00    0.726039E+01    0.152755E+01
    0.186984E+03    0.217222E+01    0.230180E+00    0.747531E+01    0.146470E+01
    0.187981E+03    0.211733E+01    0.236146E+00    0.765515E+01    0.142804E+01
    0.188759E+03    0.211202E+01    0.236741E+00    0.779630E+01    0.140977E+01
    0.189305E+03    0.207958E+01    0.240433E+00    0.789591E+01    0.140253E+01
    0.189612E+03    0.213374E+01    0.234330E+00    0.795195E+01    0.140053E+01
    0.189757E+03    0.231715E+01    0.215782E+00    0.797835E+01    0.140010E+01
    0.190064E+03    0.192053E+01    0.260345E+00    0.803454E+01    0.140030E+01
    0.190610E+03    0.207002E+01    0.241544E+00    0.813491E+01    0.140439E+01
    0.191388E+03    0.206166E+01    0.242522E+00    0.827825E+01    0.141852E+01
    0.192384E+03    0.211015E+01    0.236950E+00    0.846280E+01    0.145084E+01
    0.193583E+03    0.217839E+01    0.229527E+00    0.868622E+01    0.151068E+01
    0.194963E+03    0.228398E+01    0.218916E+00    0.894565E+01    0.160713E+01
