#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.00000
    0.245674E+03    0.213161E+02    0.234565E-01    0.254011E+02    0.200275E+02
    0.256562E+03    0.243259E+02    0.205543E-01    0.285293E+02    0.231557E+02
    0.268201E+03    0.276869E+02    0.180591E-01    0.320126E+02    0.266390E+02
    0.280593E+03    0.314286E+02    0.159091E-01    0.358849E+02    0.305113E+02
    0.293748E+03    0.355851E+02    0.140508E-01    0.401845E+02    0.348109E+02
    0.307689E+03    0.401962E+02    0.124390E-01    0.448994E+02    0.395258E+02
    0.322450E+03    0.453099E+02    0.110351E-01    0.500775E+02    0.447039E+02
    0.338078E+03    0.509827E+02    0.980724E-02    0.557874E+02    0.504138E+02
    0.354639E+03    0.572827E+02    0.872865E-02    0.620917E+02    0.567181E+02
    0.372217E+03    0.642925E+02    0.777696E-02    0.690759E+02    0.637023E+02
    0.390919E+03    0.721146E+02    0.693340E-02    0.768478E+02    0.714742E+02
    0.410883E+03    0.808769E+02    0.618224E-02    0.855347E+02    0.801611E+02
    0.432282E+03    0.907409E+02    0.551019E-02    0.953066E+02    0.899329E+02
    0.455340E+03    0.101915E+03    0.490606E-02    0.106377E+03    0.101003E+03
    0.480345E+03    0.114670E+03    0.436032E-02    0.119021E+03    0.113648E+03
    0.507672E+03    0.129369E+03    0.386491E-02    0.133601E+03    0.128227E+03
    0.537826E+03    0.146506E+03    0.341284E-02    0.150610E+03    0.145237E+03
    0.571499E+03    0.166779E+03    0.299798E-02    0.170739E+03    0.165365E+03
    0.609675E+03    0.191211E+03    0.261491E-02    0.194992E+03    0.189618E+03
    0.653814E+03    0.221370E+03    0.225866E-02    0.224921E+03    0.219547E+03
    0.706225E+03    0.259811E+03    0.192447E-02    0.263111E+03    0.257738E+03
    0.770861E+03    0.311062E+03    0.160740E-02    0.314315E+03    0.308941E+03
    0.855391E+03    0.384260E+03    0.130120E-02    0.387965E+03    0.382592E+03
    0.978023E+03    0.502920E+03    0.994194E-03    0.508657E+03    0.503284E+03
    0.120442E+04    0.765661E+03    0.653031E-03    0.772644E+03    0.767271E+03
