#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03200 temp=   0.80000
    0.868113E+00    0.218745E+02    0.228577E-01   -0.114846E+02    0.197976E+02
    0.453956E+01    0.218635E+02    0.228692E-01   -0.114730E+02    0.197860E+02
    0.110054E+02    0.218073E+02    0.229281E-01   -0.114103E+02    0.197234E+02
    0.200335E+02    0.216493E+02    0.230954E-01   -0.112320E+02    0.195450E+02
    0.312977E+02    0.213243E+02    0.234475E-01   -0.108533E+02    0.191663E+02
    0.443909E+02    0.207669E+02    0.240768E-01   -0.102054E+02    0.185184E+02
    0.588400E+02    0.199239E+02    0.250955E-01   -0.926843E+01    0.175814E+02
    0.741227E+02    0.187735E+02    0.266333E-01   -0.804927E+01    0.163623E+02
    0.896866E+02    0.173295E+02    0.288526E-01   -0.657191E+01    0.148849E+02
    0.104969E+03    0.156418E+02    0.319656E-01   -0.490419E+01    0.132172E+02
    0.119418E+03    0.137988E+02    0.362349E-01   -0.314814E+01    0.114612E+02
    0.132512E+03    0.119196E+02    0.419475E-01   -0.142536E+01    0.973847E+01
    0.143776E+03    0.101415E+02    0.493023E-01    0.151457E+00    0.816216E+01
    0.152804E+03    0.860909E+01    0.580781E-01    0.147989E+01    0.683580E+01
    0.159270E+03    0.745592E+01    0.670608E-01    0.246881E+01    0.585206E+01
    0.162941E+03    0.678331E+01    0.737103E-01    0.304510E+01    0.528248E+01
    0.163882E+03    0.660930E+01    0.756510E-01    0.319443E+01    0.513565E+01
    0.164188E+03    0.655248E+01    0.763070E-01    0.324332E+01    0.508767E+01
    0.164735E+03    0.645106E+01    0.775066E-01    0.333062E+01    0.500210E+01
    0.165513E+03    0.630636E+01    0.792850E-01    0.345523E+01    0.488024E+01
    0.166509E+03    0.612090E+01    0.816873E-01    0.361555E+01    0.472402E+01
    0.167707E+03    0.589742E+01    0.847829E-01    0.380947E+01    0.453601E+01
    0.169088E+03    0.563971E+01    0.886571E-01    0.403441E+01    0.431950E+01
    0.170628E+03    0.535257E+01    0.934131E-01    0.428733E+01    0.407857E+01
    0.172302E+03    0.504177E+01    0.991715E-01    0.456470E+01    0.381815E+01
    0.174084E+03    0.471417E+01    0.106063E+00    0.486250E+01    0.354418E+01
    0.175943E+03    0.437789E+01    0.114210E+00    0.517631E+01    0.326359E+01
    0.177848E+03    0.404218E+01    0.123696E+00    0.550128E+01    0.298421E+01
    0.179770E+03    0.371722E+01    0.134509E+00    0.583227E+01    0.271457E+01
    0.181676E+03    0.341317E+01    0.146491E+00    0.616393E+01    0.246332E+01
    0.183535E+03    0.313977E+01    0.159248E+00    0.649073E+01    0.223854E+01
    0.185316E+03    0.290467E+01    0.172137E+00    0.680702E+01    0.204676E+01
    0.186991E+03    0.271306E+01    0.184294E+00    0.710721E+01    0.189203E+01
    0.188531E+03    0.256663E+01    0.194808E+00    0.738578E+01    0.177523E+01
    0.189911E+03    0.246273E+01    0.203027E+00    0.763750E+01    0.169396E+01
    0.191109E+03    0.239678E+01    0.208613E+00    0.785756E+01    0.164298E+01
    0.192106E+03    0.237181E+01    0.210810E+00    0.804165E+01    0.161531E+01
    0.192883E+03    0.235433E+01    0.212375E+00    0.818610E+01    0.160335E+01
    0.193430E+03    0.258941E+01    0.193094E+00    0.828802E+01    0.160013E+01
    0.193737E+03    0.222306E+01    0.224915E+00    0.834536E+01    0.160022E+01
    0.193882E+03    0.228808E+01    0.218524E+00    0.837237E+01    0.160073E+01
    0.194188E+03    0.230588E+01    0.216837E+00    0.842985E+01    0.160284E+01
    0.194735E+03    0.229911E+01    0.217476E+00    0.853252E+01    0.161003E+01
    0.195513E+03    0.233905E+01    0.213762E+00    0.867911E+01    0.162783E+01
    0.196509E+03    0.237373E+01    0.210639E+00    0.886779E+01    0.166361E+01
    0.197707E+03    0.243812E+01    0.205076E+00    0.909612E+01    0.172576E+01
    0.199088E+03    0.254513E+01    0.196453E+00    0.936110E+01    0.182256E+01
    0.200628E+03    0.270074E+01    0.185134E+00    0.965918E+01    0.196084E+01
    0.202302E+03    0.290683E+01    0.172009E+00    0.998621E+01    0.214471E+01
    0.204084E+03    0.316633E+01    0.157911E+00    0.103375E+02    0.237472E+01
    0.205943E+03    0.347861E+01    0.143735E+00    0.107079E+02    0.264756E+01
    0.207848E+03    0.383119E+01    0.130508E+00    0.110918E+02    0.295662E+01
    0.209770E+03    0.421678E+01    0.118574E+00    0.114830E+02    0.329292E+01
    0.211676E+03    0.462149E+01    0.108190E+00    0.118754E+02    0.364628E+01
    0.213535E+03    0.503394E+01    0.993259E-01    0.122621E+02    0.400621E+01
    0.215316E+03    0.544200E+01    0.918780E-01    0.126366E+02    0.436263E+01
    0.216991E+03    0.583484E+01    0.856921E-01    0.129922E+02    0.470619E+01
    0.218531E+03    0.620287E+01    0.806079E-01    0.133223E+02    0.502841E+01
    0.219911E+03    0.653734E+01    0.764837E-01    0.136208E+02    0.532171E+01
    0.221109E+03    0.683073E+01    0.731986E-01    0.138818E+02    0.557937E+01
    0.222106E+03    0.707661E+01    0.706553E-01    0.141003E+02    0.579566E+01
    0.222883E+03    0.726974E+01    0.687783E-01    0.142719E+02    0.596578E+01
    0.223430E+03    0.740619E+01    0.675111E-01    0.143929E+02    0.608600E+01
    0.223737E+03    0.748290E+01    0.668190E-01    0.144611E+02    0.615369E+01
    0.224192E+03    0.759690E+01    0.658163E-01    0.145623E+02    0.625435E+01
    0.225823E+03    0.800822E+01    0.624359E-01    0.149276E+02    0.661802E+01
    0.228745E+03    0.875392E+01    0.571173E-01    0.155918E+02    0.728038E+01
    0.232938E+03    0.984282E+01    0.507984E-01    0.165674E+02    0.825495E+01
    0.238374E+03    0.112859E+02    0.443031E-01    0.178739E+02    0.956104E+01
    0.245020E+03    0.130964E+02    0.381783E-01    0.195379E+02    0.112249E+02
    0.252838E+03    0.152908E+02    0.326995E-01    0.215924E+02    0.132793E+02
    0.261789E+03    0.178886E+02    0.279507E-01    0.240763E+02    0.157633E+02
    0.271833E+03    0.209132E+02    0.239084E-01    0.270252E+02    0.187122E+02
    0.282935E+03    0.243905E+02    0.204998E-01    0.304610E+02    0.221480E+02
    0.295062E+03    0.283505E+02    0.176364E-01    0.344278E+02    0.261147E+02
    0.308189E+03    0.328252E+02    0.152322E-01    0.389719E+02    0.306589E+02
    0.322298E+03    0.378517E+02    0.132094E-01    0.440661E+02    0.357531E+02
    0.337379E+03    0.434720E+02    0.115017E-01    0.497608E+02    0.414478E+02
    0.353435E+03    0.497335E+02    0.100536E-01    0.560743E+02    0.477613E+02
    0.370481E+03    0.566920E+02    0.881959E-02    0.630598E+02    0.547467E+02
    0.388545E+03    0.644125E+02    0.776247E-02    0.707604E+02    0.624474E+02
    0.407671E+03    0.729721E+02    0.685193E-02    0.792562E+02    0.709432E+02
    0.427921E+03    0.824634E+02    0.606330E-02    0.886332E+02    0.803202E+02
    0.449380E+03    0.929982E+02    0.537645E-02    0.990119E+02    0.906988E+02
    0.472156E+03    0.104714E+03    0.477492E-02    0.110537E+03    0.102224E+03
